"","Date","concentrations.TP","Flow"
"1",2009-07-08,0.02,37
"2",2009-07-15,0.024,33
"3",2009-07-22,0.032,115
"4",2009-07-29,0.042,35
"5",2009-08-05,0.032,21
"6",2009-08-12,0.03,53
"7",2009-08-19,0.04,15
"8",2009-08-26,0.034,15
"9",2009-09-02,0.034,14
"10",2009-09-09,0.024,51
"11",2009-09-16,0.03,142
"12",2009-09-17,0.164,495
"13",2009-09-22,0.46,2980
"14",2009-09-29,0.034,123
"15",2009-10-07,0.021,101
"16",2009-10-09,0.858,14800
"17",2009-10-14,0.126,1980
"18",2009-10-21,0.03,359
"19",2009-10-28,0.038,688
"20",2009-10-30,0.405,4170
"21",2009-11-04,0.026,517
"22",2009-11-11,0.026,263
"23",2009-11-18,0.034,388
"24",2009-11-24,0.022,237
"25",2009-12-02,0.02,192
"26",2009-12-09,0.01,163
"27",2009-12-16,0.006,135
"28",2009-12-22,0.014,112
"29",2009-12-31,0.024,324
"30",2010-01-06,0.014,208
"31",2010-01-13,0.02,143
"32",2010-01-20,0.02,138
"33",2010-01-27,0.016,297
"34",2010-02-04,0.044,958
"35",2010-02-11,0.022,602
"36",2010-02-17,0.026,386
"37",2010-02-24,0.028,483
"38",2010-03-03,0.008,207
"39",2010-03-10,0.008,156
"40",2010-03-17,0.026,109
"41",2010-03-23,0.156,2590
"42",2010-03-31,0.034,474
"43",2010-04-07,0.04,450
"44",2010-04-14,0.02,201
"45",2010-04-21,0.018,125
"46",2010-04-28,0.016,139
"47",2010-05-05,0.028,92
"48",2010-05-12,0.056,175
"49",2010-05-14,0.14,670
"50",2010-05-14,0.252,670
"51",2010-05-15,0.228,2350
"52",2010-05-17,0.076,1140
"53",2010-05-26,0.08,530
"54",2010-06-02,0.026,103
"55",2010-06-09,0.034,51
"56",2010-06-16,0.046,38
"57",2010-06-24,0.06,14
"58",2010-07-08,0.012,14
"59",2010-07-13,0.568,1480
"60",2010-07-22,0.034,231
"61",2010-07-28,0.014,108
"62",2010-08-05,0.018,58
"63",2010-08-10,0.018,42
"64",2010-08-19,0.024,27
"65",2010-08-26,0.042,16
"66",2010-09-01,0.024,17
"67",2010-09-09,0.11,679
"68",2010-09-16,0.052,236
"69",2010-09-22,0.01,80
"70",2010-09-29,0.012,60
"71",2010-10-06,0.02,36
"72",2010-10-14,0.022,21
"73",2010-10-20,0.026,24
"74",2010-10-27,0.022,35
"75",2010-11-02,0.028,22
"76",2010-11-10,0.024,19
"77",2010-11-17,0.0165,20
"78",2010-11-30,0.044,100
"79",2010-12-07,0.016,44
"80",2010-12-14,0.012,24
"81",2010-12-19,0.006,20
"82",2011-01-05,0.018,67
"83",2011-01-11,0.016,39
"84",2011-01-18,0.01,28
"85",2011-01-25,0.02,22
"86",2011-02-04,0.028,99
"87",2011-02-08,0.034,195
"88",2011-02-14,0.056,533
"89",2011-02-25,0.32,992
"90",2011-02-28,0.166,780
"91",2011-03-05,0.194,955
"92",2011-03-14,0.078,359
"93",2011-03-29,0.022,144
"94",2011-04-06,0.03,246
"95",2011-04-11,0.14,1020
"96",2011-04-22,0.05,506
"97",2011-04-23,0.985,3370
"98",2011-04-25,0.745,23200
"99",2011-04-26,1.316,12600
"100",2011-05-12,0.04,313
"101",2011-05-19,0.016,284
"102",2011-05-24,0.472,12300
"103",2011-06-08,0.027,185
"104",2011-06-15,0.012,112
"105",2011-07-15,0.024,30
"106",2011-07-21,0.013,22
"107",2011-07-29,0.012,20
"108",2011-08-03,0.024,17
"109",2011-08-11,0.034,278
"110",2011-08-18,0.04,227
"111",2011-09-01,0.011,34
"112",2011-09-08,0.012,16
"113",2011-09-16,0.01,15
"114",2011-09-22,0.025,144
"115",2011-09-26,0.022,106
"116",2011-10-06,0.022,27
"117",2011-10-13,0.016,33
"118",2011-10-26,0.05,24
"119",2011-11-03,0.022,50
"120",2011-11-09,0.182,3460
"121",2011-11-17,0.034,375
"122",2011-12-01,0.02,264
"123",2011-12-08,0.022,459
"124",2011-12-15,0.228,2530
"125",2012-01-05,0.01,133
"126",2012-01-12,0.028,362
"127",2012-01-19,0.01,114
"128",2012-01-25,0.398,2560
"129",2012-02-02,0.018,343
"130",2012-02-09,0.016,391
"131",2012-02-16,0.022,389
"132",2012-03-01,0.012,190
"133",2012-03-12,0.17,1700
"134",2012-03-20,0.45,4310
"135",2012-03-22,0.074,6410
"136",2012-03-29,0.026,422
"137",2012-04-12,0.002,99
"138",2012-04-19,0.016,88
"139",2012-04-26,0.014,52
"140",2012-05-02,0.022,64
"141",2012-05-10,0.026,30
"142",2012-05-16,0.018,25
"143",2012-05-24,0.016,19
"144",2012-06-01,0.024,22
"145",2012-06-05,0.35,29
"146",2012-06-14,0.016,15
"147",2012-06-21,0.026,13
"148",2012-06-28,0.03,11
"149",2012-07-12,0.024,11
"150",2012-07-19,0.024,9.6
"151",2012-08-02,0.07,8.6
"152",2012-08-17,0.034,10
"153",2012-08-20,0.024,13
"154",2012-08-29,0.022,11
"155",2012-09-05,0.024,9.8
"156",2012-09-11,0.026,53
"157",2012-09-25,0.02,12
"158",2012-10-01,0.018,13
"159",2012-10-09,0.024,12
"160",2012-10-15,0.026,389
"161",2012-10-24,0.022,44
"162",2012-10-31,0.018,21
"163",2012-11-07,0.018,13
"164",2012-11-14,0.017,16
"165",2012-11-28,0.014,12
"166",2012-12-05,0.014,56
"167",2012-12-12,0.012,27
"168",2013-01-04,0.01,94
"169",2013-01-10,0.008,58
"170",2013-01-15,0.032,291
"171",2013-01-23,0.014,76
"172",2013-01-30,1.072,4720
"173",2013-02-06,0.024,135
"174",2013-02-11,0.064,632
"175",2013-02-20,0.023,241
"176",2013-02-27,0.03,554
"177",2013-03-06,0.01,155
"178",2013-03-11,0.11,1650
"179",2013-03-19,0.03,236
"180",2013-03-29,0.04,268
"181",2013-04-03,0.046,781
"182",2013-04-11,0.1,791
"183",2013-04-19,0.33,1470
"184",2013-04-24,0.014,393
"185",2013-04-27,0.122,1590
"186",2013-05-10,0.272,1640
"187",2013-05-21,0.214,1740
"188",2013-05-22,0.196,3060
"189",2013-05-30,0.034,128
"190",2013-06-06,0.042,288
"191",2013-06-12,0.044,70
"192",2013-06-25,0.024,17
"193",2013-07-08,0.026,6.9
"194",2013-07-19,0.02,7.2
"195",2013-07-31,0.026,12
"196",2013-08-07,0.056,72
"197",2013-08-08,0.43,804
"198",2013-08-14,0.094,1040
"199",2013-08-20,0.03,180
"200",2013-08-28,0.022,45
"201",2013-09-04,0.024,30
"202",2013-09-11,0.028,21
"203",2013-09-18,0.018,26
"204",2013-09-23,0.034,24
"205",2013-10-02,0.024,19
"206",2013-10-06,0.328,536
"207",2013-10-24,0.026,71
"208",2013-10-30,0.028,44
"209",2013-11-06,0.022,60
"210",2013-11-13,0.022,94
"211",2013-11-22,0.048,503
"212",2013-12-02,0.012,81
"213",2013-12-12,0.014,101
"214",2013-12-18,0.036,650
"215",2014-01-09,0.028,323
"216",2014-01-11,0.118,1590
"217",2014-01-22,0.01,231
"218",2014-01-28,0.026,138
"219",2014-02-06,0.026,105
"220",2014-02-12,0.016,80
"221",2014-02-21,0.014,110
"222",2014-02-25,0.02,83
"223",2014-03-07,0.028,408
"224",2014-03-11,0.032,477
"225",2014-03-17,0.13,3740
"226",2014-03-27,0.032,349
"227",2014-04-03,0.037,457
"228",2014-04-04,0.21,3150
"229",2014-04-07,0.31,2930
"230",2014-04-14,0.062,696
"231",2014-04-22,0.018,298
"232",2014-04-28,0.028,233
"233",2014-05-09,0.024,365
"234",2014-05-13,0.126,964
"235",2014-05-20,0.026,246
"236",2014-05-28,0.026,53
"237",2014-06-02,0.028,71
"238",2014-06-10,0.092,468
"239",2014-07-01,0.023,36
"240",2014-07-09,0.018,16
"241",2014-07-23,0.026,11
"242",2014-07-29,0.026,6.7
"243",2014-08-05,0.026,7.6
"244",2014-08-12,0.026,8.6
"245",2014-08-19,0.044,259
"246",2014-08-27,0.03,13
"247",2014-09-04,0.026,23
"248",2014-09-10,0.026,13
"249",2014-09-17,0.024,15
"250",2014-09-24,0.024,12
"251",2014-10-01,0.022,10
"252",2014-10-08,0.028,16
"253",2014-10-10,0.054,75
"254",2014-10-11,0.162,726
"255",2014-10-13,0.464,1720
"256",2014-10-22,0.038,114
"257",2014-10-29,0.022,48
"258",2014-11-06,0.034,391
"259",2014-11-12,0.024,56
"260",2014-11-19,0.026,19
"261",2014-12-05,0.018,24
"262",2014-12-10,0.022,60
"263",2014-12-17,0.048,258
"264",2015-01-05,0.098,642
"265",2015-01-07,0.032,368
"266",2015-01-14,0.03,105
"267",2015-01-21,0.028,46
"268",2015-01-28,0.012,30
"269",2015-02-04,0.006,31
"270",2015-02-11,0.008,23
"271",2015-02-18,0.016,22
"272",2015-02-25,0.044,195
"273",2015-03-05,0.108,1390
"274",2015-03-11,0.056,915
"275",2015-03-14,0.27,4240
"276",2015-03-19,0.049,914
"277",2015-03-26,0.338,2320
"278",2015-04-01,0.056,377
"279",2015-04-14,0.038,418
"280",2015-04-22,0.036,235
"281",2015-04-29,0.02,89
"282",2015-05-11,0.43,6670
"283",2015-05-17,0.458,2520
"284",2015-06-01,0.052,1010
"285",2015-06-20,0.238,1790
