"","Date","concentrations.TSS","Flow"
"1",2009-07-08,6,37
"2",2009-07-15,4.2,33
"3",2009-07-22,6.9,115
"4",2009-07-29,6.7,35
"5",2009-08-05,6.2,21
"6",2009-08-12,6.3,53
"7",2009-08-19,6.3,15
"8",2009-08-26,6.2,15
"9",2009-09-02,4.8,14
"10",2009-09-09,7.9,51
"11",2009-09-16,5.75,142
"12",2009-09-17,33.6,495
"13",2009-09-22,189.1,2980
"14",2009-09-29,3.5,123
"15",2009-10-07,4.4,101
"16",2009-10-09,345.8,14800
"17",2009-10-14,42.1,1980
"18",2009-10-21,5.1,359
"19",2009-10-28,9.8,688
"20",2009-10-30,232.1,4170
"21",2009-11-04,4.8,517
"22",2009-11-11,3.2,263
"23",2009-11-18,4.1,388
"24",2009-11-24,1.9,237
"25",2009-12-02,1.8,192
"26",2009-12-09,1.5,163
"27",2009-12-16,1.5,135
"28",2009-12-22,1.4,112
"29",2009-12-31,2.9,324
"30",2010-01-06,1.8,208
"31",2010-01-13,1.5,143
"32",2010-01-20,2.5,138
"33",2010-01-27,5,297
"34",2010-02-04,7.1,958
"35",2010-02-11,4,602
"36",2010-02-17,2.5,386
"37",2010-02-24,3.7,483
"38",2010-03-03,2.05,207
"39",2010-03-10,5,156
"40",2010-03-17,4.4,109
"41",2010-03-23,87.7,2590
"42",2010-03-31,10.1,474
"43",2010-04-07,10.4,450
"44",2010-04-14,6.26,201
"45",2010-04-21,4.2,125
"46",2010-04-28,4.55,139
"47",2010-05-05,6.3,92
"48",2010-05-12,12.5,175
"49",2010-05-14,40.5,670
"50",2010-05-14,118.3,670
"51",2010-05-15,99.5,2350
"52",2010-05-17,26.5,1140
"53",2010-05-26,37.2,530
"54",2010-06-02,6.2,103
"55",2010-06-09,5.5,51
"56",2010-06-16,5.5,38
"57",2010-06-24,3,14
"58",2010-07-08,3.8,14
"59",2010-07-13,241.5,1480
"60",2010-07-22,8.9,231
"61",2010-07-28,3.7,108
"62",2010-08-05,4.9,58
"63",2010-08-10,4.8,42
"64",2010-08-19,6.1,27
"65",2010-08-26,6.2,16
"66",2010-09-01,4.6,17
"67",2010-09-09,16.8,679
"68",2010-09-16,8.5,236
"69",2010-09-22,4.2,80
"70",2010-09-29,3.8,60
"71",2010-10-06,3.3,36
"72",2010-10-14,4.5,21
"73",2010-10-20,4,24
"74",2010-10-27,4,35
"75",2010-11-02,3.4,22
"76",2010-11-10,2.7,19
"77",2010-11-17,2.95,20
"78",2010-11-30,4.5,100
"79",2010-12-07,0.8,44
"80",2010-12-14,1.1,24
"81",2010-12-19,1.1,20
"82",2011-01-05,2.2,67
"83",2011-01-11,1.3,39
"84",2011-01-18,2.9,28
"85",2011-01-25,0.8,22
"86",2011-02-04,2.1,99
"87",2011-02-08,3.2,195
"88",2011-02-14,16.4,533
"89",2011-02-25,130.1,992
"90",2011-02-28,47.7,780
"91",2011-03-05,72,955
"92",2011-03-14,21.9,359
"93",2011-03-29,5.1,144
"94",2011-04-06,5.9,246
"95",2011-04-11,93.6,1020
"96",2011-04-22,13.2,506
"97",2011-04-23,557.3,3370
"98",2011-04-25,384,23200
"99",2011-04-26,782.6,12600
"100",2011-05-12,5.7,313
"101",2011-05-19,3.7,284
"102",2011-05-24,222.2,12300
"103",2011-06-08,4.6,185
"104",2011-06-15,3.8,112
"105",2011-07-15,3.6,30
"106",2011-07-21,3.7,22
"107",2011-07-29,3.8,20
"108",2011-08-03,2.9,17
"109",2011-08-11,3.6,278
"110",2011-08-18,4.3,227
"111",2011-09-01,3.1,34
"112",2011-09-08,3.9,16
"113",2011-09-16,2.9,15
"114",2011-09-22,6.3,144
"115",2011-09-26,3.8,106
"116",2011-10-06,2.5,27
"117",2011-10-13,2.5,33
"118",2011-10-26,2,24
"119",2011-11-03,1.9,50
"120",2011-11-09,60.5,3460
"121",2011-11-17,3.3,375
"122",2011-12-01,1.3,264
"123",2011-12-08,3.1,459
"124",2011-12-15,130.7,2530
"125",2012-01-05,2.3,133
"126",2012-01-12,3.9,362
"127",2012-01-19,1.5,114
"128",2012-01-25,336.1,2560
"129",2012-02-02,2.9,343
"130",2012-02-09,3.2,391
"131",2012-02-16,5.2,389
"132",2012-03-01,3.7,190
"133",2012-03-12,119.1,1700
"134",2012-03-20,389.9,4310
