"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,37,6,3.61091791264422,1.79175946922805,0.777593151098357,0.68822218864747,0.00288078982265199,0.3,0.00280964595818392,-7.32777946961249,-7.23056446876313
"2",2009-07-15,33,4.2,3.49650756146648,1.43508452528932,0.464516418877739,0.376886307269781,NA,NA,NA,NA,NA
"3",2009-07-22,115,6.9,4.74493212836325,1.93152141160321,0.907814909052361,0.940232516302369,NA,NA,NA,NA,NA
"4",2009-07-29,35,6.7,3.55534806148941,1.90210752639692,0.910180279443918,0.808565902028177,NA,NA,NA,NA,NA
"5",2009-08-05,21,6.2,3.04452243772342,1.82454929205105,0.841670139619782,0.989778149995563,NA,NA,NA,NA,NA
"6",2009-08-12,53,6.3,3.97029191355212,1.84054963339749,0.767058813984752,0.764519100265099,NA,NA,NA,NA,NA
"7",2009-08-19,15,6.3,2.70805020110221,1.84054963339749,0.77811325882421,0.75112936173286,NA,NA,NA,NA,NA
"8",2009-08-26,15,6.2,2.70805020110221,1.82454929205105,0.76211291747777,0.73512902038642,NA,NA,NA,NA,NA
"9",2009-09-02,14,4.8,2.63905732961526,1.56861591791385,0.484389693971734,0.427379540446096,NA,NA,NA,NA,NA
"10",2009-09-09,51,7.9,3.93182563272433,2.06686275947298,0.993967094664873,0.981565741729509,NA,NA,NA,NA,NA
"11",2009-09-16,142,5.75,4.95582705760126,1.74919985480926,0.683365213481476,0.688799910050356,NA,NA,NA,NA,NA
"12",2009-09-17,495,33.6,6.20455776256869,3.51452606696916,1.22818975835501,1.18935214857826,NA,NA,NA,NA,NA
"13",2009-09-22,2980,189.1,7.99967857949945,5.24227597566441,0.16127529906553,0.117919382470552,NA,NA,NA,NA,NA
"14",2009-09-29,123,3.5,4.81218435537242,1.25276296849537,0.215817033341042,0.251948419440849,NA,NA,NA,NA,NA
"15",2009-10-07,101,4.4,4.61512051684126,1.48160454092422,0.476768857631886,0.494491419018677,NA,NA,NA,NA,NA
"16",2009-10-09,14800,345.8,9.60238245975221,5.84586057324919,0.0376067123323258,0.0243115603313218,NA,NA,NA,NA,NA
"17",2009-10-14,1980,42.1,7.59085212368858,3.74004774068834,-0.901911255841069,-0.998671209703873,NA,NA,NA,NA,NA
"18",2009-10-21,359,5.1,5.88332238848828,1.62924053973028,-0.115972947170194,0.034149388657122,NA,NA,NA,NA,NA
"19",2009-10-28,688,9.8,6.53378883793334,2.28238238567653,-0.62827697595612,-0.847331001131796,NA,NA,NA,NA,NA
"20",2009-10-30,4170,232.1,8.33567131479285,5.44716831328039,0.0904195521041187,0.0905269078202089,NA,NA,NA,NA,NA
"21",2009-11-04,517,4.8,6.24804287450843,1.56861591791385,-0.798978987660016,-0.885542320183223,NA,NA,NA,NA,NA
"22",2009-11-11,263,3.2,5.57215403217776,1.16315080980568,-0.172385807081163,-0.21647343486587,NA,NA,NA,NA,NA
"23",2009-11-18,388,4.1,5.96100533962327,1.41098697371026,-0.454960469752079,-0.322149182392113,NA,NA,NA,NA,NA
"24",2009-11-24,237,1.9,5.46806014113513,0.641853886172395,-0.60940721369442,-0.714276825124292,NA,NA,NA,NA,NA
"25",2009-12-02,192,1.8,5.25749537202778,0.587786664902119,-0.573911845939188,-0.630629045847612,NA,NA,NA,NA,NA
"26",2009-12-09,163,1.5,5.09375020080676,0.405465108108164,-0.690629041016993,-0.719728661448832,NA,NA,NA,NA,NA
"27",2009-12-16,135,1.5,4.90527477843843,0.405465108108164,-0.650939238356789,-0.630453324766997,NA,NA,NA,NA,NA
"28",2009-12-22,112,1.4,4.71849887129509,0.336472236621213,-0.682754347785778,-0.652803859074897,NA,NA,NA,NA,NA
"29",2009-12-31,324,2.9,5.78074351579233,1.06471073699243,-0.533909122800276,-0.394890168154951,NA,NA,NA,NA,NA
"30",2010-01-06,208,1.8,5.33753807970132,0.587786664902119,-0.607635878685915,-0.686622320387934,NA,NA,NA,NA,NA
"31",2010-01-13,143,1.5,4.96284463025991,0.405465108108164,-0.661684083540652,-0.657791589614561,NA,NA,NA,NA,NA
"32",2010-01-20,138,2.5,4.92725368515721,0.916290731874155,-0.144232652800743,-0.130796233952903,NA,NA,NA,NA,NA
"33",2010-01-27,297,5,5.6937321388027,1.6094379124341,0.129507750875012,0.234614209185629,NA,NA,NA,NA,NA
"34",2010-02-04,958,7.1,6.86484777797086,1.96009478404727,-1.59118295636379,-1.70592851012473,NA,NA,NA,NA,NA
"35",2010-02-11,602,4,6.40025744530882,1.38629436111989,-1.2790059484052,-1.44818792228348,NA,NA,NA,NA,NA
"36",2010-02-17,386,2.5,5.95583736946483,0.916290731874155,-0.941005983825859,-0.806581363346595,NA,NA,NA,NA,NA
"37",2010-02-24,483,3.7,6.18001665365257,1.30833281965018,-0.933900279171636,-0.940136843870051,NA,NA,NA,NA,NA
"38",2010-03-03,207,2.05,5.33271879326537,0.717839793150317,-0.475794192265391,-0.552967851304164,NA,NA,NA,NA,NA
"39",2010-03-10,156,5,5.04985600724954,1.6094379124341,0.524426157151259,0.507045315710348,NA,NA,NA,NA,NA
"40",2010-03-17,109,4.4,4.69134788222914,1.48160454092422,0.466606980914034,0.493622965050138,NA,NA,NA,NA,NA
"41",2010-03-23,2590,87.7,7.85941315469358,4.47392189937814,-0.473084653088564,-0.541130303121235,NA,NA,NA,NA,NA
"42",2010-03-31,474,10.1,6.16120732169508,2.31253542384721,0.103052508610251,0.120511861232667,NA,NA,NA,NA,NA
"43",2010-04-07,450,10.4,6.10924758276437,2.34180580614733,0.218374279990892,0.279640353418002,NA,NA,NA,NA,NA
"44",2010-04-14,201,6.26,5.30330490805908,1.83418018511201,0.651896465379816,0.585006222497163,NA,NA,NA,NA,NA
"45",2010-04-21,125,4.2,4.8283137373023,1.43508452528932,0.394525980128997,0.430840098300816,NA,NA,NA,NA,NA
"46",2010-04-28,139,4.55,4.93447393313069,1.51512723296286,0.453262610096819,0.464483457374572,NA,NA,NA,NA,NA
"47",2010-05-05,92,6.3,4.52178857704904,1.84054963339749,0.839747638923394,0.83827348575887,NA,NA,NA,NA,NA
"48",2010-05-12,175,12.5,5.16478597392351,2.52572864430826,1.40673135089224,1.360957843069,NA,NA,NA,NA,NA
"49",2010-05-14,670,40.5,6.50727771238501,3.70130197411249,0.837445513776535,0.618689511888261,NA,NA,NA,NA,NA
"50",2010-05-14,670,118.3,6.50727771238501,4.77322377098434,1.90936731064839,1.69061130876011,NA,NA,NA,NA,NA
"51",2010-05-15,2350,99.5,7.7621706071382,4.60015764416455,-0.244817854376339,-0.327589927137841,NA,NA,NA,NA,NA
"52",2010-05-17,1140,26.5,7.03878354138854,3.27714473299218,-0.576699803199265,-0.647558626909862,NA,NA,NA,NA,NA
"53",2010-05-26,530,37.2,6.27287700654617,3.6163087612791,1.20095687561735,1.10192776474972,NA,NA,NA,NA,NA
"54",2010-06-02,103,6.2,4.63472898822964,1.82454929205105,0.817312820108139,0.837473296615445,NA,NA,NA,NA,NA
"55",2010-06-09,51,5.5,3.93182563272433,1.70474809223843,0.631852427430323,0.619451074494959,NA,NA,NA,NA,NA
"56",2010-06-16,38,5.5,3.63758615972639,1.70474809223843,0.680052680544799,0.599744427805758,NA,NA,NA,NA,NA
"57",2010-06-24,14,3,2.63905732961526,1.09861228866811,0.0143860647259939,-0.0426240887996436,NA,NA,NA,NA,NA
"58",2010-07-08,14,3.8,2.63905732961526,1.33500106673234,0.250774842790224,0.193764689264586,NA,NA,NA,NA,NA
"59",2010-07-13,1480,241.5,7.29979736675816,5.48686947309263,1.24222840788196,1.13821962958327,NA,NA,NA,NA,NA
"60",2010-07-22,231,8.9,5.44241771052179,2.18605127673809,0.948408452475776,0.839450968231495,NA,NA,NA,NA,NA
