Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2009-07-08,1.652,1.87,0.009,0.02,6,9.762,4.692
2009-07-15,1.562,1.74,0.006,0.024,4.2,13.686,5.088
2009-07-22,2.004,,0.008,0.032,6.9,12.736,5.476
2009-07-29,1.643,1.86,0.006,0.042,6.7,11.779,5.701
2009-08-05,1.41,1.64,0.005,0.032,6.2,12.905,5.541
2009-08-12,1.47,1.58,0.003,0.03,6.3,13.557,5.977
2009-08-19,1.33,1.47,0.002,0.04,6.3,19.044,8.122
2009-08-26,1.157,1.39,0.001,0.034,6.2,15.92,6.114
2009-09-02,1.206,0.91,0.002,0.034,4.8,19.27,6.655
2009-09-09,1.22,1.46,0.005,0.024,7.9,35.427,10.25
2009-09-16,1.127,1.27,0.024,0.03,5.75,12.27,6.0215
2009-09-17,1.102,1.31,0.083,0.164,33.6,16.319,9.199
2009-09-22,0.494,0.96,0.03,0.46,189.1,1.932,3.298
2009-09-29,1.455,1.58,0.014,0.034,3.5,6.272,6.828
2009-10-07,1.412,1.585,0.0105,0.021,4.4,8.4075,6.773
2009-10-09,1.108,1.37,0.093,0.858,345.8,2.135,3.635
2009-10-14,1.043,1.34,0.033,0.126,42.1,3.22,4.897
2009-10-21,1.738,1.84,0.018,0.03,5.1,6.394,6.366
2009-10-28,0.88,1,0.025,0.038,9.8,4.918,7.022
2009-10-30,0.796,1.18,0.03,0.405,232.1,3.078,5.021
2009-11-04,1.442,1.53,0.016,0.026,4.8,4.429,5.644
2009-11-11,1.477,1.51,0.01,0.026,3.2,5.738,6.166
2009-11-18,0.864,1.01,0.011,0.034,4.1,4.574,6.249
2009-11-24,1.041,1.15,0.013,0.022,1.9,5.093,6.131
2009-12-02,0.992,1.09,0.006,0.02,1.8,5.28,6.237
2009-12-09,1.196,1.29,0.007,0.01,1.5,6.494,6.417
2009-12-16,1.1,1.2,0.007,0.006,1.5,7.0295,7.0495
2009-12-22,1.214,1.3,0.002,0.014,1.4,7.509,7.207
2009-12-31,0.944,1.03,0.01,0.024,2.9,4.156,6.268
2010-01-06,1.032,1.05,0.01,0.014,1.8,5.103,6.948
2010-01-13,1.231,1.29,0.009,0.02,1.5,6.255,6.988
2010-01-20,1.082,1.21,0.003,0.02,2.5,8.12,8.069
2010-01-27,1.276,1.35,0.008,0.016,5,4.916,6.382
2010-02-04,1.213,1.36,0.012,0.044,7.1,6.009,7.623
2010-02-11,1.49,1.56,0.01,0.022,4,4.767,6.066
2010-02-17,1.424,1.37,0.016,0.026,2.5,5.4,6.483
2010-02-24,1.218,1.25,0.011,0.028,3.7,4.716,6.109
2010-03-03,1.4225,1.46,0.0105,0.008,2.05,5.89,6.5825
2010-03-10,1.365,1.44,0.009,0.008,5,5.907,6.955
2010-03-17,1.174,1.36,0.006,0.026,4.4,5.818,7.13
2010-03-23,1.031,1.33,0.024,0.156,87.7,3.39,5.073
2010-03-31,1.27,1.38,0.006,0.034,10.1,4.632,5.665
2010-04-07,2.634,1.04,0.015,0.04,10.4,4.699,5.51
2010-04-14,1.035,1.18,0,0.02,6.26,5.463,5.725
2010-04-21,1.238,1.41,0.008,0.018,4.2,6.558,5.932
2010-04-28,1.258,1.435,0.004,0.016,4.55,5.531,6.7455
2010-05-05,1.127,1.32,0.005,0.028,6.3,5.888,7.153
2010-05-12,1.293,1.57,0.012,0.056,12.5,5.924,7.29
2010-05-14,1.211,1.49,0.037,0.14,40.5,6.53,8.301
2010-05-14,1.311,1.66,0.042,0.252,118.3,3.97,6.362
2010-05-15,0.964,1.32,0.031,0.228,99.5,3.401,5.52
2010-05-17,0.995,1.17,0.014,0.076,26.5,2.909,4.902
2010-05-26,1.12,1.23,0.018,0.08,37.2,4.39,5.797
2010-06-02,1.294,1.37,0.006,0.026,6.2,5.51,5.465
2010-06-09,1.626,1.71,0.015,0.034,5.5,9.028,5.634
2010-06-16,1.607,1.66,0.014,0.046,5.5,12.065,6.153
2010-06-24,1.596,1.72,0.0095,0.06,3,11.891,5.617
2010-07-08,1.465,1.59,0.009,0.012,3.8,12.07,5.041
2010-07-13,1.588,2,0.096,0.568,241.5,7.178,6.026
2010-07-22,1.876,2.02,0.016,0.034,8.9,6.449,5.333
2010-07-28,1.675,1.82,0.006,0.014,3.7,9.733,5.438
2010-08-05,1.563,1.73,0,0.018,4.9,11.705,5.106
2010-08-10,1.531,1.63,0,0.018,4.8,10.442,4.576
2010-08-19,1.595,1.685,0.003,0.024,6.1,12.744,4.5265
2010-08-26,1.441,1.68,0.014,0.042,6.2,13.568,4.318
2010-09-01,1.428,1.53,0.002,0.024,4.6,14.737,4.075
2010-09-09,1.394,1.68,0.047,0.11,16.8,11.079,6.559
2010-09-16,2.066,2.17,0.03,0.052,8.5,10.289,7.99
2010-09-22,1.6095,1.765,0.012,0.01,4.2,10.124,8.2155
2010-09-29,1.597,1.78,0.007,0.012,3.8,14.005,8.122
2010-10-06,1.529,1.77,0.007,0.02,3.3,12.483,6.932
2010-10-14,1.67,1.84,0.009,0.022,4.5,14.772,6.096
2010-10-20,1.825,1.87,0.001,0.026,4,15.616,5.662
2010-10-27,1.583,1.74,0.01,0.022,4,17.246,6.352
2010-11-02,1.696,2.07,0.009,0.028,3.4,18.553,6.823
2010-11-10,1.773,1.81,0.006,0.024,2.7,19.82,7.139
2010-11-17,1.758,1.9,0.009,0.0165,2.95,19.163,7.114
2010-11-30,1.035,1.19,0.009,0.044,4.5,9.951,9.058
2010-12-07,1.347,1.28,0.008,0.016,0.8,14.204,8.099
2010-12-14,1.441,1.58,0.003,0.012,1.1,13.635,7.645
2010-12-19,1.616,1.67,0.009,0.006,1.1,15.335,7.712
2011-01-05,2.13,2.23,0.006,0.018,2.2,14.833,10.132
2011-01-11,1.66,1.73,0.006,0.016,1.3,12.161,10.006
2011-01-18,1.607,1.66,0.005,0.01,2.9,12.839,9.373
2011-01-25,1.56,1.69,0.007,0.02,0.8,13.597,8.885
2011-02-04,1.684,1.84,0.013,0.028,2.1,20.408,11.643
2011-02-08,1.177,1.35,0.012,0.034,3.2,13.652,12.166
2011-02-14,1.702,1.96,0.014,0.056,16.4,13.217,11.45
2011-02-25,2.106,2.61,0.049,0.32,130.1,8.344,9.402
2011-02-28,2.887,3.06,0.041,0.166,47.7,5.59,6.478
2011-03-05,1.947,2.06,0.052,0.194,72,6.684,7.554
2011-03-14,1.928,1.94,0.017,0.078,21.9,7.108,8.132
2011-03-29,1.275,1.47,0.005,0.022,5.1,6.795,7.261
2011-04-06,0.707,0.81,0.006,0.03,5.9,5.588,6.395
2011-04-11,0.957,1.62,0.018,0.14,93.6,8.306,7.467
2011-04-22,1.88,2.05,0.016,0.05,13.2,4.819,5.687
2011-04-23,1.318,2.49,0.07,0.985,557.3,3.456,5.353
2011-04-25,0.702,1.33,0.066,0.745,384,1.371,2.864
2011-04-26,0.53,1.11,0.036,1.316,782.6,1.143,2.319
2011-05-12,1.918,1.99,0.011,0.04,5.7,5.383,5.483
2011-05-19,1.528,1.53,0.006,0.016,3.7,5.687,5.484
2011-05-24,0.68,1.1,0.054,0.472,222.2,1.26,2.933
2011-06-08,1.754,1.84,0.0015,0.027,4.6,6.648,4.975
2011-06-15,1.875,1.97,0.007,0.012,3.8,11.366,5.439
2011-07-15,1.65,1.77,0,0.024,3.6,12.981,4.634
2011-07-21,1.517,1.63,0.001,0.013,3.7,14.1385,4.4265
2011-07-29,1.41,1.53,0.005,0.012,3.8,,
2011-08-03,1.32,1.39,0.002,0.024,2.9,,
2011-08-11,1.76,1.94,0.01,0.034,3.6,,
2011-08-18,2.55,2.62,0.014,0.04,4.3,8.71,8.529
2011-09-01,3.25,1.715,0.0085,0.011,3.1,11.405,6.896
2011-09-08,1.35,1.62,0.007,0.012,3.9,13.018,6.249
2011-09-16,1.374,1.92,0.012,0.01,2.9,13.297,5.917
2011-09-22,2.424,2.635,0.0085,0.025,6.3,15.412,6.868
2011-09-26,3.191,3.48,0.006,0.022,3.8,20.105,11.089
2011-10-06,1.999,2.33,0.004,0.022,2.5,12.055,7.64
2011-10-13,1.988,2.065,0.012,0.016,2.5,12.549,6.8615
2011-10-26,1.887,2.06,0.002,0.05,2,17.769,8.761
2011-11-03,1.95,2.08,0.009,0.022,1.9,19.869,9.903
2011-11-09,2.855,3.57,0.032,0.182,60.5,3.362,4.919
2011-11-17,3.473,3.7,0.017,0.034,3.3,7.391,8.924
2011-12-01,2.293,2.514,0.013,0.02,1.3,5.367,6.874
2011-12-08,2.174,2.35,0.01,0.022,3.1,4.529,6.02
2011-12-15,1.325,1.99,0.027,0.228,130.7,3.178,4.478
2012-01-05,1.927,2.01,0.008,0.01,2.3,5.782,6.664
2012-01-12,1.303,1.4,0.008,0.028,3.9,4.707,7.161
2012-01-19,1.395,1.5,0.004,0.01,1.5,5.543,6.972
2012-01-25,0.903,1.79,0.024,0.398,336.1,4.728,7.78
2012-02-02,1.919,1.95,0.011,0.018,2.9,5.085,6.528
2012-02-09,1.554,1.75,0.011,0.016,3.2,4.232,5.923
2012-02-16,1.512,1.61,0.008,0.022,5.2,5.694,7.72
2012-03-01,1.412,1.5,0.008,0.012,3.7,7.917,7.576
2012-03-12,0.372,0.87,0.05,0.17,119.1,2.17,5.034
2012-03-20,0.525,1.17,0.018,0.45,389.9,1.898,3.542
2012-03-22,1.447,1.76,0.02,0.074,47,2.431,4.547
2012-03-29,1.56,1.72,0.006,0.026,6,3.886,5.689
2012-04-12,1.532,1.66,0.006,0.002,4.1,5.821,6.428
2012-04-19,1.441,1.62,0.005,0.016,2.8,7.177,6.896
2012-04-26,1.594,1.82,0,0.014,3.2,8.962,6.857
2012-05-02,1.676,1.83,0.002,0.022,3.3,10.723,7.279
2012-05-10,1.633,1.91,0.007,0.026,3.7,11.79,9.738
2012-05-16,1.685,1.91,0.005,0.018,6.5,10.863,6.532
2012-05-24,1.544,1.82,0.001,0.016,4.4,15.899,6.428
2012-06-01,1.355,1.64,0.006,0.024,3.9,15.217,6.056
2012-06-05,1.329,1.67,0.004,0.35,4.5,14.606,5.737
2012-06-14,1.133,1.39,0.005,0.016,3.3,16.251,5.998
2012-06-21,1.042,1.15,0.007,0.026,3.1,18.235,6.439
2012-06-28,0.748,0.8,0.005,0.03,4.9,15.235,5.237
2012-07-12,0.764,1.13,0,0.024,4,14.544,4.663
2012-07-19,0.625,0.85,0,0.024,5.8,15.188,4.508
2012-08-02,0.449,0.79,0,0.07,3.5,16.726,4.413
2012-08-17,0.43,0.685,0.0025,0.034,5.1,19.6695,4.7335
2012-08-20,0.532,0.77,0.005,0.024,3.6,20.364,4.941
2012-08-29,0.586,0.81,0.002,0.022,3.2,25.544,5.82
2012-09-05,0.662,0.87,0.002,0.024,2.8,26.466,6.256
2012-09-11,0.858,1.08,0.004,0.026,2.9,45.368,11.605
2012-09-25,1.34,1.61,0.001,0.02,5,18.637,7.734
2012-10-01,1.154,1.39,0.005,0.018,2.5,18.191,7
2012-10-09,1.105,1.38,0.008,0.024,1.5,21.312,7.515
2012-10-15,2.935,3.23,0.011,0.026,4.9,30.918,11.347
2012-10-24,1.954,2.51,0.003,0.022,0.9,15.282,12.514
2012-10-31,1.894,2.16,0.014,0.018,0.6,16.399,10.291
2012-11-07,1.742,1.91,0.003,0.018,1.2,18.338,9.72
2012-11-14,1.7475,1.92,0.0115,0.017,0.95,19.427,9.2255
2012-11-28,1.745,1.91,0.002,0.014,1.1,25.45,11.297
2012-12-05,1.602,1.77,0.004,0.014,2.3,19.939,9.94
2012-12-12,1.826,2.05,0.003,0.012,1.2,20.407,11.713
2013-01-04,2.1,2.23,0.003,0.01,1.7,17.494,14.086
2013-01-10,2.108,2.28,0.001,0.008,1,15.097,17.04
2013-01-15,1.561,1.79,0.006,0.032,5.1,8.631,14.612
2013-01-23,2.148,2.23,0.004,0.014,1.4,11.629,12.261
2013-01-30,0.934,2.57,0.027,1.072,538.6,1.72,3.362
2013-02-06,3.727,3.63,0.007,0.024,4.1,7.21,9.435
2013-02-11,2.647,2.62,0.007,0.064,27.1,5.052,9.871
2013-02-20,2.18,2.03,0.006,0.023,2.85,6.1135,8.208
2013-02-27,1.485,1.54,0.006,0.03,8.3,4.886,6.8
2013-03-06,2.239,2.22,0.006,0.01,1.4,7.34,8.459
2013-03-11,1.268,1.68,0.014,0.11,39.9,3.115,5.342
2013-03-19,1.949,1.98,0.007,0.03,2.9,5.636,7.905
2013-03-29,1.679,1.71,0.009,0.04,9,6.032,8.097
2013-04-03,1.423,1.44,0.01,0.046,15.6,4.46,7.489
2013-04-11,1.207,1.49,0.014,0.1,33.6,5.021,9.302
2013-04-19,0.95,3.26,0.018,0.33,204.3,6.02,7.422
2013-04-24,1.452,1.67,0.008,0.014,4.3,4.738,6.77
2013-04-27,1.195,1.56,0.022,0.122,53.4,4.194,7.016
2013-05-10,1.721,2.4,0.034,0.272,142.2,4.3,6.123
2013-05-21,0.962,1.53,0.016,0.214,170.4,7.07,7.61
2013-05-22,0.627,1.06,0.022,0.196,122.5,2.156,3.819
2013-05-30,1.705,1.85,0.009,0.034,5.3,5.275,6.095
2013-06-06,1.169,1.31,0.015,0.042,8.3,4.005,5.523
2013-06-12,1.311,1.53,0.007,0.044,3.1,5.447,6.004
2013-06-25,1.43,1.6,0.003,0.024,4.1,11.817,6.227
2013-07-08,1.365,1.61,0.003,0.026,3.1,13.076,6.023
2013-07-19,1.221,1.44,0.004,0.02,2.8,13.792,5.485
2013-07-31,1.778,2.02,0.007,0.026,3,14.892,8.831
