"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.55,0.11962526523119,5,0.55,0.113010745380378,5,0.75,0.0846421036735602,5,0.6,0.127251157726982,5,0.25,0.131943865615152,5,0.5,0.135032120139572,5,0.55,0.141237244322004
"folds.6",6,0.5,0.0977502022546057,6,0.75,0.117872293398493,6,0.8,0.087037406924159,6,0.5,0.130731848937168,6,0.3,0.120055259385512,6,0.65,0.109828251820555,6,0.65,0.114980033759194
"folds.7",7,0.5,0.101161620535595,7,0.7,0.0950885731026282,7,0.85,0.0908912784033535,7,0.6,0.134426218288194,7,0.25,0.120800898766761,7,0.65,0.110027825794113,7,0.55,0.144564793749504
"folds.8",8,0.5,0.0889221168053418,8,0.65,0.10546302185881,8,0.85,0.0961291648072042,8,0.6,0.124605499927752,8,0.25,0.127891056954658,8,0.6,0.0991031208965115,8,0.55,0.124883619291511
"folds.9",9,0.55,0.107076169722534,9,0.65,0.101644639076841,9,0.8,0.0811964108988639,9,0.6,0.130368394817712,9,0.25,0.133248272186983,9,0.7,0.122956770236286,9,0.6,0.122311913081403
"folds.10",10,0.55,0.0831828573391299,10,0.65,0.100893963331483,10,0.8,0.0695759752107767,10,0.55,0.113317325800297,10,0.25,0.116513991452021,10,0.65,0.128030608585189,10,0.65,0.106061206818689
"folds.11",11,0.5,0.0971060854773515,11,0.65,0.0931314629314664,11,0.8,0.0846903121944408,11,0.6,0.136010953940617,11,0.25,0.12737939473903,11,0.6,0.104510520903839,11,0.45,0.105699805958156
"folds.12",12,0.45,0.102723126978916,12,0.65,0.0995705062470093,12,0.8,0.0686978002202548,12,0.6,0.106947440839138,12,0.25,0.131277086612203,12,0.65,0.0891913787359312,12,0.5,0.114357120549654
"folds.13",13,0.55,0.0864551316922158,13,0.7,0.0932190748632883,13,0.8,0.0736511357408585,13,0.6,0.128813264623086,13,0.3,0.120796675180627,13,0.65,0.100208965340901,13,0.6,0.110194633003868
"folds.14",14,0.45,0.0754645476974697,14,0.65,0.0786947084806669,14,0.8,0.0701383472510013,14,0.6,0.11916375287813,14,0.3,0.124129622835591,14,0.65,0.101940358713779,14,0.65,0.109381377365097
"folds.15",15,0.55,0.0842069850222095,15,0.65,0.095831484749991,15,0.8,0.052731510929405,15,0.55,0.0973946317089104,15,0.25,0.113587150753624,15,0.6,0.115334473668225,15,0.65,0.113789099581961
"folds.16",16,0.45,0.0861240206839852,16,0.75,0.0901755657207717,16,0.75,0.0827092275778865,16,0.55,0.10713809513227,16,0.3,0.0906664665864139,16,0.65,0.105854154575134,16,0.5,0.0814160391358572
"folds.17",17,0.5,0.0966848446431677,17,0.65,0.0865200224555812,17,0.75,0.0629949787438553,17,0.6,0.113123555352147,17,0.25,0.124330862078995,17,0.7,0.112938487863156,17,0.55,0.0965158335323743
"folds.18",18,0.5,0.087970310390518,18,0.7,0.0787400787401181,18,0.8,0.0686680866374547,18,0.6,0.112145131915054,18,0.3,0.118820736182447,18,0.6,0.10032599923474,18,0.55,0.100635734311467
"folds.19",19,0.55,0.0897615889851715,19,0.65,0.0725694600407929,19,0.8,0.0616193052176849,19,0.6,0.0982707629823991,19,0.25,0.114731274315779,19,0.65,0.0974993458900089,19,0.6,0.0942694791217049
