"","Cl.Date","Cl.Flow","Cl.concentrations.Cl","lnC","lnQ"
"1",2009-07-08,37,9.762,2.27849729746496,3.61091791264422
"2",2009-07-15,33,13.686,2.61637341253031,3.49650756146648
"3",2009-07-22,115,12.736,2.54443262910203,4.74493212836325
"4",2009-07-29,35,11.779,2.46631828497665,3.55534806148941
"5",2009-08-05,21,12.905,2.55761483317058,3.04452243772342
"6",2009-08-12,53,13.557,2.60690301909725,3.97029191355212
"7",2009-08-19,15,19.044,2.94675209133227,2.70805020110221
"8",2009-08-26,15,15.92,2.76757618041624,2.70805020110221
"9",2009-09-02,14,19.27,2.95854948242628,2.63905732961526
"10",2009-09-09,51,35.427,3.56747424128725,3.93182563272433
"11",2009-09-16,142,12.27,2.50715725872282,4.95582705760126
"12",2009-09-17,495,16.319,2.7923300731488,6.20455776256869
"13",2009-09-22,2980,1.932,0.658555735790326,7.99967857949945
"14",2009-09-29,123,6.272,1.83609528304811,4.81218435537242
"15",2009-10-07,101,8.4075,2.12912416463229,4.61512051684126
"16",2009-10-09,14800,2.135,0.758466646680588,9.60238245975221
"17",2009-10-14,1980,3.22,1.16938135955632,7.59085212368858
"18",2009-10-21,359,6.394,1.85536005063765,5.88332238848828
"19",2009-10-28,688,4.918,1.592901943794,6.53378883793334
"20",2009-10-30,4170,3.078,1.12428003541669,8.33567131479285
"21",2009-11-04,517,4.429,1.48817382494106,6.24804287450843
"22",2009-11-11,263,5.738,1.74711071755917,5.57215403217776
"23",2009-11-18,388,4.574,1.52038809560059,5.96100533962327
"24",2009-11-24,237,5.093,1.62786704790247,5.46806014113513
"25",2009-12-02,192,5.28,1.66392609771817,5.25749537202778
"26",2009-12-09,163,6.494,1.87087867368065,5.09375020080676
"27",2009-12-16,135,7.0295,1.95011557953782,4.90527477843843
"28",2009-12-22,112,7.509,2.01610230111775,4.71849887129509
"29",2009-12-31,324,4.156,1.42455307323698,5.78074351579233
"30",2010-01-06,208,5.103,1.62982860208183,5.33753807970132
"31",2010-01-13,143,6.255,1.83338114391887,4.96284463025991
"32",2010-01-20,138,8.12,2.09433015417359,4.92725368515721
"33",2010-01-27,297,4.916,1.59249519170379,5.6937321388027
"34",2010-02-04,958,6.009,1.79325834535179,6.86484777797086
"35",2010-02-11,602,4.767,1.56171717622269,6.40025744530882
"36",2010-02-17,386,5.4,1.68639895357023,5.95583736946483
"37",2010-02-24,483,4.716,1.55096098267512,6.18001665365257
"38",2010-03-03,207,5.89,1.7732559976635,5.33271879326537
"39",2010-03-10,156,5.907,1.7761380883251,5.04985600724954
"40",2010-03-17,109,5.818,1.76095656007301,4.69134788222914
"41",2010-03-23,2590,3.39,1.22082992139236,7.85941315469358
"42",2010-03-31,474,4.632,1.53298874027069,6.16120732169508
"43",2010-04-07,450,4.699,1.54734972012068,6.10924758276437
"44",2010-04-14,201,5.463,1.69799808941358,5.30330490805908
"45",2010-04-21,125,6.558,1.88068567842246,4.8283137373023
"46",2010-04-28,139,5.531,1.71036863101254,4.93447393313069
"47",2010-05-05,92,5.888,1.77291638142658,4.52178857704904
"48",2010-05-12,175,5.924,1.77901189640555,5.16478597392351
"49",2010-05-14,670,6.53,1.87640694328834,6.50727771238501
"50",2010-05-14,670,3.97,1.3787660946991,6.50727771238501
"51",2010-05-15,2350,3.401,1.22406950602506,7.7621706071382
"52",2010-05-17,1140,2.909,1.06780937951306,7.03878354138854
"53",2010-05-26,530,4.39,1.47932922708708,6.27287700654617
"54",2010-06-02,103,5.51,1.70656462316482,4.63472898822964
"55",2010-06-09,51,9.028,2.20033085895529,3.93182563272433
"56",2010-06-16,38,12.065,2.490308699077,3.63758615972639
"57",2010-06-24,14,11.891,2.47578181145544,2.63905732961526
"58",2010-07-08,14,12.07,2.49072303510944,2.63905732961526
"59",2010-07-13,1480,7.178,1.97102079272542,7.29979736675816
"60",2010-07-22,231,6.449,1.86392508002824,5.44241771052179
"61",2010-07-28,108,9.733,2.27552217344436,4.68213122712422
"62",2010-08-05,58,11.705,2.46001610094287,4.06044301054642
"63",2010-08-10,42,10.442,2.34583613498836,3.73766961828337
"64",2010-08-19,27,12.744,2.54506057260775,3.29583686600433
"65",2010-08-26,16,13.568,2.60771407904955,2.77258872223978
"66",2010-09-01,17,14.737,2.69036133823113,2.83321334405622
"67",2010-09-09,679,11.079,2.40505142453854,6.5206211275587
"68",2010-09-16,236,10.289,2.33107536339367,5.46383180502561
"69",2010-09-22,80,10.124,2.31490884268288,4.38202663467388
