"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2009-07-08,37,1.652,0.501986675098786,3.61091791264422
"2",2009-07-15,33,1.562,0.445967051417494,3.49650756146648
"3",2009-07-22,115,2.004,0.695145183222618,4.74493212836325
"4",2009-07-29,35,1.643,0.496523839055131,3.55534806148941
"5",2009-08-05,21,1.41,0.343589704390077,3.04452243772342
"6",2009-08-12,53,1.47,0.385262400790645,3.97029191355212
"7",2009-08-19,15,1.33,0.285178942233662,2.70805020110221
"8",2009-08-26,15,1.157,0.14583044821154,2.70805020110221
"9",2009-09-02,14,1.206,0.187309098304994,2.63905732961526
"10",2009-09-09,51,1.22,0.198850858745165,3.93182563272433
"11",2009-09-16,142,1.127,0.119559235057639,4.95582705760126
"12",2009-09-17,495,1.102,0.0971267107307228,6.20455776256869
"13",2009-09-22,2980,0.494,-0.705219761794215,7.99967857949945
"14",2009-09-29,123,1.455,0.375005900623456,4.81218435537242
"15",2009-10-07,101,1.412,0.34500713907105,4.61512051684126
"16",2009-10-09,14800,1.108,0.102556588325092,9.60238245975221
"17",2009-10-14,1980,1.043,0.0421011760186353,7.59085212368858
"18",2009-10-21,359,1.738,0.5527350268432,5.88332238848828
"19",2009-10-28,688,0.88,-0.127833371509885,6.53378883793334
"20",2009-10-30,4170,0.796,-0.228156093137754,8.33567131479285
"21",2009-11-04,517,1.442,0.366031038862757,6.24804287450843
"22",2009-11-11,263,1.477,0.390013003549243,5.57215403217776
"23",2009-11-18,388,0.864,-0.146182510178081,5.96100533962327
"24",2009-11-24,237,1.041,0.0401817896328318,5.46806014113513
"25",2009-12-02,192,0.992,-0.00803217169726427,5.25749537202778
"26",2009-12-09,163,1.196,0.17898265552844,5.09375020080676
"27",2009-12-16,135,1.1,0.0953101798043249,4.90527477843843
"28",2009-12-22,112,1.214,0.193920692637306,4.71849887129509
"29",2009-12-31,324,0.944,-0.0576291128366364,5.78074351579233
"30",2010-01-06,208,1.032,0.031498667059371,5.33753807970132
"31",2010-01-13,143,1.231,0.207826847202317,4.96284463025991
"32",2010-01-20,138,1.082,0.0788111804242898,4.92725368515721
"33",2010-01-27,297,1.276,0.243730184922598,5.6937321388027
"34",2010-02-04,958,1.213,0.193096629961913,6.86484777797086
"35",2010-02-11,602,1.49,0.398776119957368,6.40025744530882
"36",2010-02-17,386,1.424,0.353469812989784,5.95583736946483
"37",2010-02-24,483,1.218,0.197210169287705,6.18001665365257
"38",2010-03-03,207,1.4225,0.352415887018349,5.33271879326537
"39",2010-03-10,156,1.365,0.311154428636923,5.04985600724954
"40",2010-03-17,109,1.174,0.160416721405905,4.69134788222914
"41",2010-03-23,2590,1.031,0.0305292050348228,7.85941315469358
"42",2010-03-31,474,1.27,0.2390169004705,6.16120732169508
"43",2010-04-07,450,2.634,0.968503603321089,6.10924758276437
"44",2010-04-14,201,1.035,0.0344014267173323,5.30330490805908
"45",2010-04-21,125,1.238,0.213497174262404,4.8283137373023
"46",2010-04-28,139,1.258,0.229523158278249,4.93447393313069
"47",2010-05-05,92,1.127,0.119559235057639,4.52178857704904
"48",2010-05-12,175,1.293,0.25696509978972,5.16478597392351
"49",2010-05-14,670,1.211,0.191446464570955,6.50727771238501
"50",2010-05-14,670,1.311,0.270790204781563,6.50727771238501
"51",2010-05-15,2350,0.964,-0.0366639843715915,7.7621706071382
"52",2010-05-17,1140,0.995,-0.00501254182354429,7.03878354138854
"53",2010-05-26,530,1.12,0.113328685307003,6.27287700654617
"54",2010-06-02,103,1.294,0.257738196078709,4.63472898822964
"55",2010-06-09,51,1.626,0.486123011125619,3.93182563272433
"56",2010-06-16,38,1.607,0.474369086755376,3.63758615972639
"57",2010-06-24,14,1.596,0.467500499027617,2.63905732961526
"58",2010-07-08,14,1.465,0.381855242469031,2.63905732961526
"59",2010-07-13,1480,1.588,0.462475362824944,7.29979736675816
"60",2010-07-22,231,1.876,0.629141850584033,5.44241771052179
"61",2010-07-28,108,1.675,0.51581316527703,4.68213122712422
"62",2010-08-05,58,1.563,0.44660705143934,4.06044301054642
"63",2010-08-10,42,1.531,0.425921116675547,3.73766961828337
"64",2010-08-19,27,1.595,0.466873736236808,3.29583686600433
"65",2010-08-26,16,1.441,0.365337317017385,2.77258872223978
"66",2010-09-01,17,1.428,0.356274863917393,2.83321334405622
"67",2010-09-09,679,1.394,0.332177312338332,6.5206211275587
"68",2010-09-16,236,2.066,0.725614370697447,5.46383180502561
"69",2010-09-22,80,1.6095,0.475923571756726,4.38202663467388
"70",2010-09-29,60,1.597,0.468126869232875,4.0943445622221
"71",2010-10-06,36,1.529,0.424613926946925,3.58351893845611
"72",2010-10-14,21,1.67,0.512823626428664,3.04452243772342
"73",2010-10-20,24,1.825,0.601579987034455,3.17805383034795
"74",2010-10-27,35,1.583,0.459321780898875,3.55534806148941
"75",2010-11-02,22,1.696,0.528272537369711,3.09104245335832
"76",2010-11-10,19,1.773,0.572673027092071,2.94443897916644
"77",2010-11-17,20,1.758,0.564176799262985,2.99573227355399
"78",2010-11-30,100,1.035,0.0344014267173323,4.60517018598809
"79",2010-12-07,44,1.347,0.297879897428227,3.78418963391826
"80",2010-12-14,24,1.441,0.365337317017385,3.17805383034795
"81",2010-12-19,20,1.616,0.479953960098904,2.99573227355399
"82",2011-01-05,67,2.13,0.756121979721334,4.20469261939097
"83",2011-01-11,39,1.66,0.506817602368452,3.66356164612965
"84",2011-01-18,28,1.607,0.474369086755376,3.3322045101752
"85",2011-01-25,22,1.56,0.444685821261446,3.09104245335832
"86",2011-02-04,99,1.684,0.521171915820135,4.59511985013459
"87",2011-02-08,195,1.177,0.16296882827814,5.27299955856375
"88",2011-02-14,533,1.702,0.531804030151182,6.27852142416584
"89",2011-02-25,992,2.106,0.744790413711784,6.89972310728487
"90",2011-02-28,780,2.887,1.0602179006808,6.65929391968364
"91",2011-03-05,955,1.947,0.666289726390063,6.86171134048073
"92",2011-03-14,359,1.928,0.656483196188354,5.88332238848828
"93",2011-03-29,144,1.275,0.242946178610389,4.969813299576
"94",2011-04-06,246,0.707,-0.346724613085564,5.50533153593236
"95",2011-04-11,1020,0.957,-0.0439518875291828,6.92755790627832
"96",2011-04-22,506,1.88,0.631271776841858,6.22653666928747
"97",2011-04-23,3370,1.318,0.276115436080316,8.12266802334641
"98",2011-04-25,23200,0.702,-0.353821874956326,10.0519075576544
"99",2011-04-26,12600,0.53,-0.63487827243597,9.44145209293957
"100",2011-05-12,313,1.918,0.651282976461246,5.74620319054015
"101",2011-05-19,284,1.528,0.423959690744329,5.64897423816121
"102",2011-05-24,12300,0.68,-0.385662480811985,9.41735454136051
"103",2011-06-08,185,1.754,0.561898893949991,5.22035582507832
"104",2011-06-15,112,1.875,0.628608659422374,4.71849887129509
"105",2011-07-15,30,1.65,0.500775287912489,3.40119738166216
"106",2011-07-21,22,1.517,0.416734700366395,3.09104245335832
"107",2011-07-29,20,1.41,0.343589704390077,2.99573227355399
"108",2011-08-03,17,1.32,0.27763173659828,2.83321334405622
"109",2011-08-11,278,1.76,0.56531380905006,5.62762111369064
"110",2011-08-18,227,2.55,0.936093359170335,5.4249500174814
"111",2011-09-01,34,3.25,1.17865499634165,3.52636052461616
"112",2011-09-08,16,1.35,0.300104592450338,2.77258872223978
"113",2011-09-16,15,1.374,0.317726193800158,2.70805020110221
"114",2011-09-22,144,2.424,0.885419068207068,4.969813299576
"115",2011-09-26,106,3.191,1.16033434729611,4.66343909411207
"116",2011-10-06,27,1.999,0.692647055518263,3.29583686600433
"117",2011-10-13,33,1.988,0.687129108234382,3.49650756146648
"118",2011-10-26,24,1.887,0.634988266386413,3.17805383034795
"119",2011-11-03,50,1.95,0.667829372575655,3.91202300542815
"120",2011-11-09,3460,2.855,1.04907184310797,8.14902386805177
"121",2011-11-17,375,3.473,1.24501877376194,5.92692602597041
"122",2011-12-01,264,2.293,0.829861003875767,5.57594910314632
"123",2011-12-08,459,2.174,0.776568788699018,6.12905021006055
"124",2011-12-15,2530,1.325,0.281412459438185,7.83597458172157
"125",2012-01-05,133,1.927,0.655964389432229,4.89034912822175
"126",2012-01-12,362,1.303,0.264669298142708,5.89164421182577
"127",2012-01-19,114,1.395,0.332894415273329,4.7361984483945
"128",2012-01-25,2560,0.903,-0.102032725565152,7.84776253747361
"129",2012-02-02,343,1.919,0.651804217025563,5.83773044716594
