"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"1",2009-07-08,37,0.02,-3.91202300542815,3.61091791264422
"2",2009-07-15,33,0.024,-3.72970144863419,3.49650756146648
"3",2009-07-22,115,0.032,-3.44201937618241,4.74493212836325
"4",2009-07-29,35,0.042,-3.17008566069877,3.55534806148941
"5",2009-08-05,21,0.032,-3.44201937618241,3.04452243772342
"6",2009-08-12,53,0.03,-3.50655789731998,3.97029191355212
"7",2009-08-19,15,0.04,-3.2188758248682,2.70805020110221
"8",2009-08-26,15,0.034,-3.38139475436598,2.70805020110221
"9",2009-09-02,14,0.034,-3.38139475436598,2.63905732961526
"10",2009-09-09,51,0.024,-3.72970144863419,3.93182563272433
"11",2009-09-16,142,0.03,-3.50655789731998,4.95582705760126
"12",2009-09-17,495,0.164,-1.80788885115794,6.20455776256869
"13",2009-09-22,2980,0.46,-0.776528789498996,7.99967857949945
"14",2009-09-29,123,0.034,-3.38139475436598,4.81218435537242
"15",2009-10-07,101,0.021,-3.86323284125871,4.61512051684126
"16",2009-10-09,14800,0.858,-0.153151179494175,9.60238245975221
"17",2009-10-14,1980,0.126,-2.07147337203066,7.59085212368858
"18",2009-10-21,359,0.03,-3.50655789731998,5.88332238848828
"19",2009-10-28,688,0.038,-3.27016911925575,6.53378883793334
"20",2009-10-30,4170,0.405,-0.903868211875598,8.33567131479285
"21",2009-11-04,517,0.026,-3.64965874096066,6.24804287450843
"22",2009-11-11,263,0.026,-3.64965874096066,5.57215403217776
"23",2009-11-18,388,0.034,-3.38139475436598,5.96100533962327
"24",2009-11-24,237,0.022,-3.81671282562382,5.46806014113513
"25",2009-12-02,192,0.02,-3.91202300542815,5.25749537202778
"26",2009-12-09,163,0.01,-4.60517018598809,5.09375020080676
"27",2009-12-16,135,0.006,-5.11599580975408,4.90527477843843
"28",2009-12-22,112,0.014,-4.26869794936688,4.71849887129509
"29",2009-12-31,324,0.024,-3.72970144863419,5.78074351579233
"30",2010-01-06,208,0.014,-4.26869794936688,5.33753807970132
"31",2010-01-13,143,0.02,-3.91202300542815,4.96284463025991
"32",2010-01-20,138,0.02,-3.91202300542815,4.92725368515721
"33",2010-01-27,297,0.016,-4.13516655674236,5.6937321388027
"34",2010-02-04,958,0.044,-3.12356564506388,6.86484777797086
"35",2010-02-11,602,0.022,-3.81671282562382,6.40025744530882
"36",2010-02-17,386,0.026,-3.64965874096066,5.95583736946483
"37",2010-02-24,483,0.028,-3.57555076880693,6.18001665365257
"38",2010-03-03,207,0.008,-4.8283137373023,5.33271879326537
"39",2010-03-10,156,0.008,-4.8283137373023,5.04985600724954
"40",2010-03-17,109,0.026,-3.64965874096066,4.69134788222914
"41",2010-03-23,2590,0.156,-1.8578992717326,7.85941315469358
"42",2010-03-31,474,0.034,-3.38139475436598,6.16120732169508
"43",2010-04-07,450,0.04,-3.2188758248682,6.10924758276437
"44",2010-04-14,201,0.02,-3.91202300542815,5.30330490805908
"45",2010-04-21,125,0.018,-4.01738352108597,4.8283137373023
"46",2010-04-28,139,0.016,-4.13516655674236,4.93447393313069
"47",2010-05-05,92,0.028,-3.57555076880693,4.52178857704904
"48",2010-05-12,175,0.056,-2.88240358824699,5.16478597392351
"49",2010-05-14,670,0.14,-1.96611285637283,6.50727771238501
"50",2010-05-14,670,0.252,-1.37832619147071,6.50727771238501
"51",2010-05-15,2350,0.228,-1.4784096500277,7.7621706071382
"52",2010-05-17,1140,0.076,-2.57702193869581,7.03878354138854
"53",2010-05-26,530,0.08,-2.52572864430826,6.27287700654617
"54",2010-06-02,103,0.026,-3.64965874096066,4.63472898822964
"55",2010-06-09,51,0.034,-3.38139475436598,3.93182563272433
"56",2010-06-16,38,0.046,-3.07911388249304,3.63758615972639
