"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"1",2009-07-08,37,6,1.79175946922805,3.61091791264422
"2",2009-07-15,33,4.2,1.43508452528932,3.49650756146648
"3",2009-07-22,115,6.9,1.93152141160321,4.74493212836325
"4",2009-07-29,35,6.7,1.90210752639692,3.55534806148941
"5",2009-08-05,21,6.2,1.82454929205105,3.04452243772342
"6",2009-08-12,53,6.3,1.84054963339749,3.97029191355212
"7",2009-08-19,15,6.3,1.84054963339749,2.70805020110221
"8",2009-08-26,15,6.2,1.82454929205105,2.70805020110221
"9",2009-09-02,14,4.8,1.56861591791385,2.63905732961526
"10",2009-09-09,51,7.9,2.06686275947298,3.93182563272433
"11",2009-09-16,142,5.75,1.74919985480926,4.95582705760126
"12",2009-09-17,495,33.6,3.51452606696916,6.20455776256869
"13",2009-09-22,2980,189.1,5.24227597566441,7.99967857949945
"14",2009-09-29,123,3.5,1.25276296849537,4.81218435537242
"15",2009-10-07,101,4.4,1.48160454092422,4.61512051684126
"16",2009-10-09,14800,345.8,5.84586057324919,9.60238245975221
"17",2009-10-14,1980,42.1,3.74004774068834,7.59085212368858
"18",2009-10-21,359,5.1,1.62924053973028,5.88332238848828
"19",2009-10-28,688,9.8,2.28238238567653,6.53378883793334
"20",2009-10-30,4170,232.1,5.44716831328039,8.33567131479285
"21",2009-11-04,517,4.8,1.56861591791385,6.24804287450843
"22",2009-11-11,263,3.2,1.16315080980568,5.57215403217776
"23",2009-11-18,388,4.1,1.41098697371026,5.96100533962327
"24",2009-11-24,237,1.9,0.641853886172395,5.46806014113513
"25",2009-12-02,192,1.8,0.587786664902119,5.25749537202778
"26",2009-12-09,163,1.5,0.405465108108164,5.09375020080676
"27",2009-12-16,135,1.5,0.405465108108164,4.90527477843843
"28",2009-12-22,112,1.4,0.336472236621213,4.71849887129509
"29",2009-12-31,324,2.9,1.06471073699243,5.78074351579233
"30",2010-01-06,208,1.8,0.587786664902119,5.33753807970132
"31",2010-01-13,143,1.5,0.405465108108164,4.96284463025991
"32",2010-01-20,138,2.5,0.916290731874155,4.92725368515721
"33",2010-01-27,297,5,1.6094379124341,5.6937321388027
"34",2010-02-04,958,7.1,1.96009478404727,6.86484777797086
"35",2010-02-11,602,4,1.38629436111989,6.40025744530882
"36",2010-02-17,386,2.5,0.916290731874155,5.95583736946483
"37",2010-02-24,483,3.7,1.30833281965018,6.18001665365257
"38",2010-03-03,207,2.05,0.717839793150317,5.33271879326537
"39",2010-03-10,156,5,1.6094379124341,5.04985600724954
"40",2010-03-17,109,4.4,1.48160454092422,4.69134788222914
"41",2010-03-23,2590,87.7,4.47392189937814,7.85941315469358
"42",2010-03-31,474,10.1,2.31253542384721,6.16120732169508
"43",2010-04-07,450,10.4,2.34180580614733,6.10924758276437
"44",2010-04-14,201,6.26,1.83418018511201,5.30330490805908
"45",2010-04-21,125,4.2,1.43508452528932,4.8283137373023
"46",2010-04-28,139,4.55,1.51512723296286,4.93447393313069
"47",2010-05-05,92,6.3,1.84054963339749,4.52178857704904
"48",2010-05-12,175,12.5,2.52572864430826,5.16478597392351
"49",2010-05-14,670,40.5,3.70130197411249,6.50727771238501
"50",2010-05-14,670,118.3,4.77322377098434,6.50727771238501
"51",2010-05-15,2350,99.5,4.60015764416455,7.7621706071382
"52",2010-05-17,1140,26.5,3.27714473299218,7.03878354138854
"53",2010-05-26,530,37.2,3.6163087612791,6.27287700654617
"54",2010-06-02,103,6.2,1.82454929205105,4.63472898822964
"55",2010-06-09,51,5.5,1.70474809223843,3.93182563272433
"56",2010-06-16,38,5.5,1.70474809223843,3.63758615972639
"57",2010-06-24,14,3,1.09861228866811,2.63905732961526
"58",2010-07-08,14,3.8,1.33500106673234,2.63905732961526
"59",2010-07-13,1480,241.5,5.48686947309263,7.29979736675816
"60",2010-07-22,231,8.9,2.18605127673809,5.44241771052179
"61",2010-07-28,108,3.7,1.30833281965018,4.68213122712422
"62",2010-08-05,58,4.9,1.58923520511658,4.06044301054642
"63",2010-08-10,42,4.8,1.56861591791385,3.73766961828337
"64",2010-08-19,27,6.1,1.80828877117927,3.29583686600433
"65",2010-08-26,16,6.2,1.82454929205105,2.77258872223978
"66",2010-09-01,17,4.6,1.52605630349505,2.83321334405622
"67",2010-09-09,679,16.8,2.82137888640921,6.5206211275587
