"","Date","concentrations.SO4","Flow"
"1",2009-07-08,31.234,6.9
"2",2009-07-15,24.359,4.2
"3",2009-07-22,34.66,16
"4",2009-07-29,33.567,3.1
"5",2009-07-30,31.92,74
"6",2009-08-05,38.959,142
"7",2009-08-12,38.628,16
"8",2009-08-19,31.44,8.7
"9",2009-08-20,25.236,190
"10",2009-08-26,27.51,13
"11",2009-09-02,40.382,38
"12",2009-09-05,33.822,182
"13",2009-09-09,23.847,31
"14",2009-09-09,33.648,31
"15",2009-09-16,31.985,237
"16",2009-09-22,10.243,2670
"17",2009-09-29,34.2415,67
"18",2009-10-07,34.995,56
"19",2009-10-09,5.431,6040
"20",2009-10-14,13.803,746
"21",2009-10-21,26.214,138
"22",2009-10-28,14.859,468
"23",2009-11-04,18.65,168
"24",2009-11-11,22.18,72
"25",2009-11-18,16.596,147
"26",2009-11-24,20.278,99
"27",2009-12-02,22.107,66
"28",2009-12-09,36.675,66
"29",2009-12-16,25.068,40
"30",2009-12-22,25.483,32
"31",2009-12-31,22.51,161
"32",2010-01-06,20.179,85
"33",2010-01-13,23.352,49
"34",2010-01-20,25.043,54
"35",2010-01-27,18.0455,186
"36",2010-02-04,23.737,632
"37",2010-02-11,20.507,201
"38",2010-02-17,22.602,125
"39",2010-02-24,19.259,161
"40",2010-03-03,21.635,81
"41",2010-03-10,25.553,73
"42",2010-03-17,24.953,46
"43",2010-03-23,13.348,1420
"44",2010-03-31,18.547,177
"45",2010-04-07,17.0345,168
"46",2010-04-14,20.578,75
"47",2010-04-21,24.662,48
"48",2010-04-24,28.827,229
"49",2010-04-28,15.86,83
"50",2010-05-05,13.361,65
"51",2010-05-12,12.037,128
"52",2010-05-13,15.912,379
"53",2010-05-14,10.231,1380
"54",2010-05-15,8.672,2640
"55",2010-05-15,5.603,2640
"56",2010-05-17,9.837,747
"57",2010-05-26,18.793,181
"58",2010-06-02,23.2785,25
"59",2010-06-09,26.244,18
"60",2010-06-16,19.615,15
"61",2010-06-24,23.066,13
"62",2010-07-08,33.937,3.2
"63",2010-07-13,7.563,2010
"64",2010-07-22,26.199,37
"65",2010-07-28,34.58,11
"66",2010-08-05,35.625,3.5
"67",2010-08-10,39.9195,2.2
"68",2010-08-19,35.233,0.25
"69",2010-08-26,33.128,0.49
"70",2010-09-01,30.629,0.3
"71",2010-09-09,42.588,733
"72",2010-09-16,33.419,78
"73",2010-09-22,30.852,8.5
"74",2010-09-29,38.757,5.3
"75",2010-10-06,44.108,0.33
"76",2010-10-14,45.021,0.06
"77",2010-10-20,49.651,9
"78",2010-10-27,41.9485,21
"79",2010-11-02,40.453,12
"80",2010-11-10,38.698,11
"81",2010-11-17,34.886,7.6
"82",2010-11-30,31.663,45
"83",2010-12-07,29.507,14
"84",2010-12-14,34.187,7.8
"85",2010-12-19,36.368,5.8
"86",2011-01-05,20.636,121
"87",2011-01-11,11.693,54
"88",2011-01-18,30.835,30
"89",2011-01-25,41.231,27
"90",2011-02-04,39.685,89
"91",2011-02-08,41.718,196
"92",2011-02-14,35.169,678
"93",2011-02-24,42.095,259
"94",2011-02-28,20.58,758
"95",2011-03-04,27.734,202
"96",2011-03-14,30.734,545
"97",2011-03-29,25.046,53
"98",2011-04-06,22.999,63
"99",2011-04-11,19.925,843
"100",2011-04-22,22.008,480
"101",2011-04-23,15.697,1090
"102",2011-04-25,7.313,7890
"103",2011-04-26,8.451,4090
"104",2011-05-12,31.775,124
"105",2011-05-19,18.602,142
"106",2011-05-24,4.962,5070
"107",2011-06-08,34.371,42
"108",2011-06-15,35.674,26
"109",2011-07-15,35.205,2.4
"110",2011-07-21,35.969,0.21
"111",2011-08-18,28.759,15
"112",2011-09-01,32.009,0.69
"113",2011-09-08,31.671,0.2
"114",2011-09-16,32.47,0.15
"115",2011-09-19,38.65,116
"116",2011-09-30,45.316,3.6
"117",2011-10-06,47.425,2.1
"118",2011-10-12,47.577,175
"119",2011-10-26,49.392,11
"120",2011-11-03,66.871,43
"121",2011-11-08,15.834,2360
"122",2011-11-17,53.05,43
"123",2011-12-01,27.267,88
"124",2011-12-08,20.508,185
"125",2011-12-15,10.814,1600
"126",2012-01-05,28.585,36
"127",2012-01-11,30.473,593
"128",2012-01-19,21.546,55
"129",2012-01-25,11.504,1460
"130",2012-02-02,20.744,129
"131",2012-02-04,11.905,1280
"132",2012-02-16,22.195,296
"133",2012-03-01,24.305,60
"134",2012-03-12,24.938,487
"135",2012-03-20,7.077,3030
"136",2012-03-29,21.209,175
"137",2012-04-12,34.425,39
"138",2012-04-15,24.048,106
"139",2012-04-26,26.812,21
"140",2012-05-01,35.52,46
"141",2012-05-10,31.542,11
"142",2012-05-16,30.209,6.4
"143",2012-05-24,31.029,2.5
"144",2012-06-01,32.709,5.8
"145",2012-06-05,26.391,102
"146",2012-06-14,24.621,2.9
"147",2012-06-21,23.938,1.3
"148",2012-06-28,24.13,0.84
"149",2012-07-12,31.033,5
"150",2012-07-19,28.9,3.1
"151",2012-08-02,32.395,2.5
"152",2012-08-15,46.293,4
"153",2012-08-17,28.364,105
"154",2012-08-20,19.4815,3
"155",2012-08-29,26.669,3.4
"156",2012-09-05,51.297,0.31
"157",2012-09-10,31.995,1.1
"158",2012-09-24,46.639,0.27
"159",2012-10-01,24.889,0.39
"160",2012-10-09,49.405,0.38
"161",2012-10-12,54.721,114
"162",2012-10-15,33.416,24
"163",2012-10-24,43.08,6.5
"164",2012-10-31,42.226,2.7
"165",2012-11-07,54.632,4.6
"166",2012-11-14,57.943,6.6
"167",2012-11-28,52.208,5.7
"168",2012-12-05,35.77,23
"169",2012-12-12,55.943,5.7
"170",2012-12-12,57.093,5.7
"171",2013-01-03,61.454,19
"172",2013-01-10,66.812,11
"173",2013-01-15,67.453,10
"174",2013-01-15,67.012,10
"175",2013-01-23,55.49,10
"176",2013-01-29,23.901,375
"177",2013-02-06,47.765,17
"178",2013-02-11,55.75,95
"179",2013-02-20,46.336,37
"180",2013-02-27,37.212,178
"181",2013-03-06,38.367,25
"182",2013-03-10,24.49,1340
"183",2013-03-19,46.317,48
"184",2013-03-29,31.251,778
"185",2013-04-03,16.697,1070
"186",2013-04-18,21.356,1100
"187",2013-04-24,27.298,108
"188",2013-04-27,14.241,1220
"189",2013-05-10,11.136,1550
"190",2013-05-21,26.547,1760
"191",2013-05-21,26.611,1760
"192",2013-05-21,9.501,1760
"193",2013-05-30,38.672,263
"194",2013-06-06,24.614,241
"195",2013-06-12,25.236,44
"196",2013-07-08,37.324,2.3
"197",2013-07-19,50.708,2.3
"198",2013-07-31,37.379,8.2
"199",2013-08-07,40.192,4.7
"200",2013-08-08,27.94,296
"201",2013-08-13,27.332,251
"202",2013-08-20,27.159,8.5
