"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30"
"1",0.3,0.6,0.3,0.75,0.55,0.55,0.35,0.65,0.55,0.25,0.5,0.6,0.5,0.35,0.6,0.25,0.25,0.7,0.65,0.25,0.55,0.25,0.55,0.25,0.55,0.3
"2",0.6,0.25,0.6,0.25,0.45,0.7,0.6,0.65,0.65,0.55,0.25,0.6,0.6,0.4,0.3,0.3,0.25,0.6,0.3,0.55,0.6,0.65,0.5,0.65,0.3,0.25
"3",0.65,0.3,0.65,0.4,0.3,0.2,0.5,0.55,0.5,0.6,0.25,0.25,0.25,0.6,0.35,0.7,0.7,0.6,0.65,0.35,0.7,0.55,0.55,0.3,0.2,0.25
"4",0.5,0.55,0.35,0.7,0.6,0.6,0.35,0.45,0.25,0.25,0.55,0.65,0.2,0.55,0.55,0.6,0.25,0.35,0.6,0.6,0.55,0.2,0.3,0.25,0.55,0.6
"5",0.65,0.6,0.3,0.7,0.4,0.7,0.7,0.55,0.25,0.25,0.25,0.25,0.75,0.65,0.55,0.55,0.55,0.2,0.2,0.35,0.6,0.25,0.6,0.25,0.55,0.25
"6",0.25,0.35,0.4,0.55,0.25,0.3,0.55,0.65,0.5,0.4,0.55,0.25,0.6,0.25,0.25,0.65,0.6,0.55,0.65,0.25,0.65,0.6,0.3,0.25,0.55,0.55
"7",0.65,0.55,0.25,0.6,0.7,0.35,0.25,0.3,0.2,0.65,0.45,0.65,0.25,0.65,0.65,0.2,0.2,0.55,0.25,0.25,0.55,0.25,0.3,0.25,0.3,0.7
"8",0.25,0.4,0.4,0.55,0.2,0.25,0.25,0.2,0.4,0.2,0.2,0.25,0.2,0.3,0.25,0.3,0.65,0.6,0.3,0.55,0.6,0.7,0.25,0.6,0.7,0.3
"9",0.55,0.7,0.25,0.6,0.25,0.55,0.25,0.3,0.3,0.25,0.55,0.35,0.35,0.55,0.65,0.25,0.35,0.7,0.25,0.55,0.7,0.6,0.55,0.3,0.6,0.7
"10",0.45,0.5,0.3,0.25,0.3,0.6,0.5,0.2,0.45,0.55,0.25,0.25,0.2,0.65,0.25,0.25,0.65,0.5,0.6,0.55,0.3,0.25,0.7,0.3,0.65,0.25
"11",0.4,0.25,0.25,0.7,0.65,0.3,0.25,0.25,0.25,0.55,0.6,0.35,0.6,0.25,0.3,0.55,0.5,0.65,0.55,0.25,0.25,0.6,0.7,0.7,0.25,0.25
"12",0.55,0.5,0.55,0.5,0.3,0.55,0.6,0.6,0.55,0.65,0.25,0.5,0.25,0.75,0.25,0.25,0.35,0.55,0.55,0.75,0.55,0.6,0.6,0.25,0.65,0.55
"13",0.4,0.75,0.6,0.65,0.6,0.35,0.35,0.25,0.6,0.2,0.6,0.2,0.2,0.65,0.65,0.55,0.25,0.55,0.2,0.25,0.5,0.6,0.6,0.25,0.65,0.25
"14",0.25,0.4,0.2,0.65,0.75,0.35,0.35,0.6,0.25,0.4,0.2,0.6,0.2,0.25,0.6,0.3,0.3,0.75,0.25,0.3,0.3,0.6,0.7,0.35,0.25,0.25
"15",0.35,0.55,0.45,0.25,0.4,0.25,0.45,0.6,0.5,0.3,0.3,0.6,0.6,0.2,0.25,0.2,0.25,0.6,0.6,0.25,0.6,0.6,0.25,0.25,0.35,0.25
"16",0.65,0.7,0.3,0.6,0.3,0.55,0.3,0.5,0.65,0.6,0.3,0.5,0.25,0.55,0.65,0.6,0.7,0.55,0.3,0.65,0.55,0.7,0.25,0.5,0.55,0.25
"17",0.75,0.5,0.65,0.6,0.25,0.2,0.75,0.25,0.65,0.3,0.2,0.25,0.5,0.6,0.25,0.6,0.25,0.4,0.6,0.6,0.6,0.55,0.6,0.65,0.25,0.25
"18",0.6,0.25,0.2,0.65,0.65,0.45,0.3,0.6,0.25,0.2,0.6,0.25,0.7,0.3,0.6,0.6,0.25,0.65,0.6,0.65,0.5,0.25,0.3,0.6,0.6,0.35
"19",0.55,0.6,0.5,0.3,0.2,0.5,0.6,0.5,0.25,0.6,0.25,0.6,0.2,0.2,0.3,0.65,0.6,0.7,0.6,0.3,0.55,0.55,0.5,0.55,0.7,0.55
"20",0.3,0.35,0.45,0.2,0.35,0.65,0.45,0.2,0.6,0.25,0.25,0.2,0.3,0.5,0.6,0.7,0.6,0.25,0.3,0.25,0.55,0.55,0.3,0.6,0.55,0.25
"21",0.6,0.65,0.6,0.6,0.3,0.65,0.2,0.25,0.25,0.25,0.25,0.6,0.65,0.25,0.6,0.55,0.55,0.25,0.5,0.7,0.6,0.65,0.25,0.25,0.25,0.6
"22",0.6,0.35,0.25,0.35,0.7,0.65,0.2,0.55,0.5,0.65,0.7,0.55,0.25,0.35,0.55,0.7,0.65,0.6,0.3,0.6,0.65,0.25,0.55,0.25,0.25,0.65
"23",0.6,0.65,0.7,0.45,0.3,0.3,0.6,0.55,0.65,0.2,0.6,0.6,0.25,0.5,0.25,0.25,0.2,0.5,0.6,0.25,0.55,0.7,0.2,0.7,0.55,0.6
"24",0.7,0.45,0.2,0.6,0.3,0.45,0.35,0.2,0.2,0.65,0.7,0.25,0.55,0.6,0.25,0.5,0.2,0.25,0.3,0.55,0.65,0.6,0.25,0.25,0.7,0.6
"25",0.3,0.5,0.6,0.25,0.55,0.35,0.4,0.25,0.45,0.65,0.7,0.5,0.25,0.2,0.65,0.25,0.25,0.25,0.55,0.35,0.5,0.55,0.55,0.6,0.3,0.6
"26",0.45,0.25,0.55,0.55,0.65,0.6,0.3,0.6,0.25,0.25,0.35,0.55,0.65,0.55,0.3,0.65,0.5,0.35,0.3,0.7,0.55,0.65,0.25,0.3,0.55,0.55
"27",0.25,0.45,0.5,0.4,0.3,0.45,0.55,0.45,0.65,0.6,0.55,0.55,0.2,0.2,0.6,0.2,0.3,0.65,0.25,0.55,0.25,0.3,0.3,0.3,0.3,0.5
"28",0.25,0.75,0.45,0.3,0.6,0.5,0.25,0.35,0.55,0.25,0.75,0.25,0.3,0.4,0.4,0.6,0.55,0.25,0.25,0.3,0.55,0.25,0.5,0.6,0.25,0.55
"29",0.65,0.2,0.25,0.25,0.55,0.2,0.25,0.65,0.3,0.25,0.3,0.55,0.25,0.55,0.25,0.6,0.65,0.55,0.6,0.5,0.65,0.2,0.25,0.3,0.65,0.5
"30",0.6,0.55,0.6,0.55,0.55,0.3,0.75,0.3,0.25,0.55,0.65,0.4,0.55,0.55,0.65,0.3,0.55,0.6,0.55,0.25,0.65,0.6,0.25,0.2,0.35,0.55
"31",0.2,0.55,0.65,0.35,0.25,0.6,0.55,0.7,0.2,0.55,0.65,0.55,0.5,0.65,0.55,0.2,0.7,0.55,0.6,0.7,0.65,0.3,0.3,0.7,0.25,0.6
"32",0.25,0.55,0.65,0.65,0.55,0.25,0.65,0.25,0.65,0.25,0.45,0.55,0.3,0.35,0.55,0.25,0.65,0.25,0.6,0.6,0.55,0.55,0.6,0.35,0.6,0.55
"33",0.3,0.3,0.3,0.55,0.2,0.35,0.65,0.7,0.35,0.25,0.3,0.65,0.7,0.25,0.25,0.2,0.2,0.5,0.25,0.3,0.65,0.7,0.45,0.3,0.65,0.65
"34",0.35,0.6,0.6,0.25,0.55,0.65,0.25,0.55,0.2,0.55,0.3,0.6,0.5,0.4,0.75,0.2,0.2,0.75,0.55,0.65,0.55,0.55,0.25,0.6,0.65,0.7
"35",0.4,0.2,0.2,0.35,0.6,0.25,0.65,0.6,0.6,0.55,0.3,0.65,0.6,0.55,0.6,0.7,0.25,0.3,0.25,0.6,0.5,0.65,0.25,0.55,0.3,0.25
"36",0.35,0.35,0.55,0.3,0.8,0.25,0.25,0.7,0.3,0.7,0.55,0.5,0.6,0.3,0.3,0.6,0.6,0.55,0.65,0.55,0.25,0.6,0.3,0.3,0.7,0.5
"37",0.25,0.6,0.6,0.25,0.55,0.25,0.25,0.55,0.3,0.3,0.6,0.7,0.6,0.5,0.25,0.6,0.2,0.6,0.7,0.25,0.55,0.55,0.55,0.3,0.25,0.65
"38",0.65,0.65,0.5,0.3,0.6,0.6,0.5,0.25,0.55,0.75,0.25,0.65,0.65,0.55,0.55,0.25,0.2,0.45,0.65,0.65,0.55,0.65,0.25,0.6,0.25,0.6
"39",0.6,0.25,0.7,0.3,0.2,0.55,0.25,0.6,0.25,0.25,0.55,0.55,0.55,0.55,0.2,0.3,0.6,0.65,0.6,0.6,0.6,0.3,0.2,0.25,0.25,0.65
"40",0.25,0.55,0.25,0.3,0.55,0.6,0.25,0.65,0.6,0.65,0.7,0.25,0.6,0.25,0.3,0.3,0.65,0.6,0.7,0.7,0.7,0.65,0.3,0.25,0.65,0.25
"41",0.7,0.25,0.2,0.35,0.4,0.3,0.55,0.6,0.45,0.55,0.25,0.6,0.5,0.6,0.3,0.65,0.3,0.25,0.65,0.65,0.6,0.6,0.45,0.6,0.3,0.55
"42",0.35,0.7,0.5,0.65,0.55,0.75,0.3,0.5,0.25,0.3,0.65,0.25,0.7,0.7,0.55,0.65,0.65,0.6,0.6,0.6,0.7,0.3,0.25,0.25,0.6,0.3
"43",0.55,0.3,0.55,0.4,0.55,0.6,0.3,0.5,0.65,0.25,0.3,0.6,0.7,0.7,0.3,0.6,0.6,0.25,0.35,0.2,0.2,0.6,0.35,0.25,0.25,0.65
"44",0.6,0.35,0.3,0.5,0.25,0.65,0.25,0.6,0.65,0.7,0.25,0.25,0.5,0.55,0.3,0.25,0.2,0.3,0.3,0.2,0.65,0.65,0.5,0.3,0.3,0.2
"45",0.55,0.6,0.6,0.55,0.6,0.25,0.3,0.6,0.65,0.6,0.3,0.25,0.25,0.55,0.55,0.25,0.25,0.25,0.5,0.6,0.25,0.2,0.55,0.25,0.6,0.55
