"","Date","concentrations.TN","Flow"
"1",2009-07-08,0.55,6.9
"2",2009-07-15,0.37,4.2
"3",2009-07-22,0.92,16
"4",2009-07-29,0.51,3.1
"5",2009-07-30,0.72,74
"6",2009-08-05,0.97,142
"7",2009-08-12,0.91,16
"8",2009-08-19,0.54,8.7
"9",2009-08-20,0.87,190
"10",2009-08-26,0.64,13
"11",2009-09-02,0.34,38
"12",2009-09-05,0.6,182
"13",2009-09-09,0.63,31
"14",2009-09-09,0.69,31
"15",2009-09-16,0.52,237
"16",2009-09-22,1.18,2670
"17",2009-09-29,0.895,67
"18",2009-10-07,0.69,56
"19",2009-10-09,0.63,6040
"20",2009-10-14,0.74,746
"21",2009-10-21,0.64,138
"22",2009-10-28,0.44,468
"23",2009-11-04,0.5,168
"24",2009-11-11,0.29,72
"25",2009-11-18,0.42,147
"26",2009-11-24,0.28,99
"27",2009-12-02,0.21,66
"28",2009-12-09,0.51,66
"29",2009-12-16,0.26,40
"30",2009-12-22,0.24,32
"31",2009-12-31,0.52,161
"32",2010-01-06,0.46,85
"33",2010-01-13,0.53,49
"34",2010-01-20,0.38,54
"35",2010-01-27,0.54,186
"36",2010-02-04,0.62,632
"37",2010-02-11,0.61,201
"38",2010-02-17,0.5,125
"39",2010-02-24,0.51,161
"40",2010-03-03,0.46,81
"41",2010-03-10,0.48,73
"42",2010-03-17,0.51,46
"43",2010-03-23,0.79,1420
"44",2010-03-31,0.62,177
"45",2010-04-07,0.405,168
"46",2010-04-14,0.38,75
"47",2010-04-21,0.2,48
"48",2010-04-24,0.78,229
"49",2010-04-28,0.45,83
"50",2010-05-05,0.39,65
"51",2010-05-12,0.61,128
"52",2010-05-13,0.71,379
"53",2010-05-14,0.91,1380
"54",2010-05-15,0.73,2640
"55",2010-05-15,0.89,2640
"56",2010-05-17,0.58,747
"57",2010-05-26,0.65,181
"58",2010-06-02,0.31,25
"59",2010-06-09,0.38,18
"60",2010-06-16,0.54,15
"61",2010-06-24,0.24,13
"62",2010-07-08,0.43,3.2
"63",2010-07-13,0.84,2010
"64",2010-07-22,0.65,37
"65",2010-07-28,0.34,11
"66",2010-08-05,0.27,3.5
"67",2010-08-10,0.24,2.2
"68",2010-08-19,0.26,0.25
"69",2010-08-26,0.27,0.49
"70",2010-09-01,0.25,0.3
"71",2010-09-09,0.85,733
"72",2010-09-16,1.34,78
"73",2010-09-22,0.8,8.5
"74",2010-09-29,0.57,5.3
"75",2010-10-06,0.37,0.33
"76",2010-10-14,0.22,0.06
"77",2010-10-20,0.42,9
"78",2010-10-27,0.365,21
"79",2010-11-02,0.3,12
"80",2010-11-10,0.25,11
"81",2010-11-17,0.36,7.6
"82",2010-11-30,0.68,45
"83",2010-12-07,0.71,14
"84",2010-12-14,0.73,7.8
"85",2010-12-19,0.56,5.8
"86",2011-01-05,1.11,121
"87",2011-01-11,1,54
"88",2011-01-18,0.865,30
"89",2011-01-25,0.68,27
"90",2011-02-04,0.54,89
"91",2011-02-08,0.64,196
"92",2011-02-14,0.95,678
"93",2011-02-24,0.83,259
"94",2011-02-28,1.42,758
"95",2011-03-04,0.95,202
"96",2011-03-14,0.75,545
"97",2011-03-29,0.52,53
"98",2011-04-06,0.345,63
"99",2011-04-11,0.7,843
"100",2011-04-22,0.85,480
"101",2011-04-23,1.05,1090
"102",2011-04-25,0.76,7890
"103",2011-04-26,1.03,4090
"104",2011-05-12,0.56,124
"105",2011-05-19,0.35,142
"106",2011-05-24,0.7,5070
"107",2011-06-08,0.31,42
"108",2011-06-15,0.535,26
"109",2011-07-15,0.25,2.4
"110",2011-07-21,0.22,0.21
"111",2011-07-29,0.25,0.08
"112",2011-08-03,0.24,0.03
"113",2011-08-11,0.38,55
"114",2011-08-18,1.88,15
"115",2011-09-01,0.44,0.69
"116",2011-09-08,0.26,0.2
"117",2011-09-16,0.26,0.15
"118",2011-09-19,1.1,116
"119",2011-09-30,0.81,3.6
"120",2011-10-06,0.49,2.1
"121",2011-10-12,0.33,175
"122",2011-10-26,0.37,11
"123",2011-11-03,0.42,43
"124",2011-11-08,1.58,2360
"125",2011-11-17,2.04,43
"126",2011-12-01,1.5,88
"127",2011-12-08,1.45,185
"128",2011-12-15,1.44,1600
"129",2012-01-05,0.87,36
"130",2012-01-11,0.75,593
"131",2012-01-19,0.68,55
"132",2012-01-25,1.27,1460
"133",2012-02-02,0.92,129
"134",2012-02-04,1.18,1280
"135",2012-02-16,0.75,296
"136",2012-03-01,0.62,60
"137",2012-03-12,0.65,487
"138",2012-03-20,1.04,3030
"139",2012-03-29,0.72,175
"140",2012-04-12,0.54,39
"141",2012-04-15,0.38,106
"142",2012-04-26,0.325,21
"143",2012-05-01,0.76,46
"144",2012-05-10,0.31,11
"145",2012-05-16,0.26,6.4
"146",2012-05-24,0.25,2.5
"147",2012-06-01,0.32,5.8
"148",2012-06-05,0.48,102
"149",2012-06-14,0.49,2.9
"150",2012-06-21,0.32,1.3
"151",2012-06-28,0.36,0.84
"152",2012-07-12,0.69,5
"153",2012-07-19,0.41,3.1
"154",2012-08-02,0.49,2.5
"155",2012-08-15,0.41,4
"156",2012-08-17,1.53,105
"157",2012-08-20,0.85,3
"158",2012-08-29,1.07,3.4
