"","Date","concentrations.TP","Flow"
"1",2009-07-08,0.042,6.9
"2",2009-07-15,0.034,4.2
"3",2009-07-22,0.126,16
"4",2009-07-29,0.038,3.1
"5",2009-07-30,0.228,74
"6",2009-08-05,0.04,142
"7",2009-08-12,0.106,16
"8",2009-08-19,0.064,8.7
"9",2009-08-20,0.406,190
"10",2009-08-26,0.072,13
"11",2009-09-02,0.068,38
"12",2009-09-05,0.038,182
"13",2009-09-09,0.083,31
"14",2009-09-09,0.142,31
"15",2009-09-16,0.07,237
"16",2009-09-22,0.328,2670
"17",2009-09-29,0.031,67
"18",2009-10-07,0.103,56
"19",2009-10-09,0.396,6040
"20",2009-10-14,0.094,746
"21",2009-10-21,0.014,138
"22",2009-10-28,0.042,468
"23",2009-11-04,0.014,168
"24",2009-11-11,0.017,72
"25",2009-11-18,0.032,147
"26",2009-11-24,0.014,99
"27",2009-12-02,0.018,66
"28",2009-12-09,0.01,66
"29",2009-12-16,0.002,40
"30",2009-12-22,0.01,32
"31",2009-12-31,0.016,161
"32",2010-01-06,0.01,85
"33",2010-01-13,0.01,49
"34",2010-01-20,0.014,54
"35",2010-01-27,0.001,186
"36",2010-02-04,0.038,632
"37",2010-02-11,0.014,201
"38",2010-02-17,0.014,125
"39",2010-02-24,0.016,161
"40",2010-03-03,0.003,81
"41",2010-03-10,0.01,73
"42",2010-03-17,0.024,46
"43",2010-03-23,0.106,1420
"44",2010-03-31,0.028,177
"45",2010-04-07,0.041,168
"46",2010-04-14,0.026,75
"47",2010-04-21,0.018,48
"48",2010-04-24,0.162,229
"49",2010-04-28,0.032,83
"50",2010-05-05,0.046,65
"51",2010-05-12,0.258,128
"52",2010-05-13,0.374,379
"53",2010-05-14,0.605,1380
"54",2010-05-15,0.2,2640
"55",2010-05-15,1.075,2640
"56",2010-05-17,0.112,747
"57",2010-05-26,0.114,181
"58",2010-06-02,0.035,25
"59",2010-06-09,0.046,18
"60",2010-06-16,0.096,15
"61",2010-06-24,0.044,13
"62",2010-07-08,0.03,3.2
"63",2010-07-13,0.65,2010
"64",2010-07-22,0.042,37
"65",2010-07-28,0.031,11
"66",2010-08-05,0.024,3.5
"67",2010-08-10,0.023,2.2
"68",2010-08-19,0.032,0.25
"69",2010-08-26,0.024,0.49
"70",2010-09-01,0.026,0.3
"71",2010-09-09,0.312,733
"72",2010-09-16,0.04,78
"73",2010-09-22,0.006,8.5
"74",2010-09-29,0.016,5.3
"75",2010-10-06,0.018,0.33
"76",2010-10-14,0.022,0.06
"77",2010-10-20,0.052,9
"78",2010-10-27,0.035,21
"79",2010-11-02,0.03,12
"80",2010-11-10,0.028,11
"81",2010-11-17,0.026,7.6
"82",2010-11-30,0.024,45
"83",2010-12-07,0.01,14
"84",2010-12-14,0.014,7.8
"85",2010-12-19,0.012,5.8
"86",2011-01-05,0.026,121
"87",2011-01-11,0.018,54
"88",2011-01-18,0.009,30
"89",2011-01-25,0.022,27
"90",2011-02-04,0.022,89
"91",2011-02-08,0.026,196
"92",2011-02-14,0.086,678
"93",2011-02-24,0.156,259
"94",2011-02-28,0.565,758
"95",2011-03-04,0.238,202
"96",2011-03-14,0.142,545
"97",2011-03-29,0.03,53
"98",2011-04-06,0.036,63
"99",2011-04-11,0.468,843
"100",2011-04-22,0.176,480
"101",2011-04-23,0.258,1090
"102",2011-04-25,0.306,7890
"103",2011-04-26,0.745,4090
"104",2011-05-12,0.03,124
"105",2011-05-19,0.016,142
"106",2011-05-24,0.928,5070
"107",2011-06-08,0.03,42
"108",2011-06-15,0.019,26
"109",2011-07-15,0.028,2.4
"110",2011-07-21,0.022,0.21
"111",2011-07-29,0.018,0.08
"112",2011-08-03,0.052,0.03
"113",2011-08-11,0.06,55
"114",2011-08-18,0.044,15
"115",2011-09-01,0.016,0.69
"116",2011-09-08,0.016,0.2
"117",2011-09-16,0.02,0.15
"118",2011-09-19,0.222,116
"119",2011-09-30,0.022,3.6
"120",2011-10-06,0.024,2.1
"121",2011-10-12,0.042,175
"122",2011-10-26,0.022,11
"123",2011-11-03,0.024,43
"124",2011-11-08,0.464,2360
"125",2011-11-17,0.03,43
"126",2011-12-01,0.01,88
"127",2011-12-08,0.016,185
"128",2011-12-15,0.21,1600
"129",2012-01-05,0.008,36
"130",2012-01-11,0.02,593
"131",2012-01-19,0.006,55
"132",2012-01-25,0.24,1460
"133",2012-02-02,0.01,129
"134",2012-02-04,0.224,1280
"135",2012-02-16,0.02,296
"136",2012-03-01,0.018,60
"137",2012-03-12,0.016,487
"138",2012-03-20,0.5,3030
"139",2012-03-29,0.018,175
"140",2012-04-12,0.008,39
"141",2012-04-15,0.036,106
"142",2012-04-26,0.02,21
"143",2012-05-01,0.038,46
"144",2012-05-10,0.024,11
"145",2012-05-16,0.028,6.4
"146",2012-05-24,0.02,2.5
"147",2012-06-01,0.024,5.8
"148",2012-06-05,0.026,102
"149",2012-06-14,0.03,2.9
"150",2012-06-21,0.038,1.3
"151",2012-06-28,0.042,0.84
"152",2012-07-12,0.032,5
"153",2012-07-19,0.038,3.1
"154",2012-08-02,0.04,2.5
"155",2012-08-15,0.032,4
"156",2012-08-17,0.39,105
"157",2012-08-20,0.057,3
"158",2012-08-29,0.058,3.4
"159",2012-09-05,0.056,0.31
"160",2012-09-10,0.048,1.1
"161",2012-09-24,0.026,0.27
"162",2012-10-01,0.017,0.39
"163",2012-10-09,0.036,0.38
"164",2012-10-12,0.086,114
"165",2012-10-15,0.106,24
"166",2012-10-24,0.036,6.5
"167",2012-10-31,0.026,2.7
"168",2012-11-07,0.025,4.6
"169",2012-11-14,0.024,6.6
"170",2012-11-28,0.018,5.7
"171",2012-12-05,0.128,23
"172",2012-12-12,0.022,5.7
"173",2012-12-12,0.022,5.7
"174",2013-01-03,0.032,19
"175",2013-01-10,0.012,11
"176",2013-01-15,0.014,10
"177",2013-01-15,0.012,10
