"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,6.9,11.3,1.93152141160321,2.42480272571829,0.915465476232846,1.12447968817397,0.144412484728139,0.25,0.0780826667116148,-4.7476686566128,-5.53261758966528
"2",2009-07-15,4.2,8.9,1.43508452528932,2.18605127673809,0.623301128518327,0.725673001493313,NA,NA,NA,NA,NA
"3",2009-07-22,16,38.1,2.77258872223978,3.64021428213266,1.98790948168965,1.85386919079048,NA,NA,NA,NA,NA
"4",2009-07-29,3.1,10,1.1314021114911,2.30258509299405,0.704715590362929,0.652065472314477,NA,NA,NA,NA,NA
"5",2009-07-30,74,114.3,4.30406509320417,4.73882657080077,2.88907629787705,2.9796974676407,NA,NA,NA,NA,NA
"6",2009-08-05,142,13.3,4.95582705760126,2.58776403522771,0.239615105980066,0.312598434848797,NA,NA,NA,NA,NA
"7",2009-08-12,16,34.2,2.77258872223978,3.53222564406856,1.87992084362555,1.74588055272638,NA,NA,NA,NA,NA
"8",2009-08-19,8.7,18.6,2.16332302566054,2.92316158071916,1.41021689271057,1.51088964120269,NA,NA,NA,NA,NA
"9",2009-08-20,190,200.4,5.24702407216049,5.30031536921071,2.51898745445499,2.80160763786848,NA,NA,NA,NA,NA
"10",2009-08-26,13,22.5,2.56494935746154,3.11351530921037,1.53387464533448,1.37590550185994,NA,NA,NA,NA,NA
"11",2009-09-02,38,19.9,3.63758615972639,2.99071973173045,1.33495878524339,1.40201133920242,NA,NA,NA,NA,NA
"12",2009-09-05,182,108.1,5.2040066870768,4.68305672464516,1.96031152913941,2.26055011556964,NA,NA,NA,NA,NA
"13",2009-09-09,31,28.55,3.43398720448515,3.35165693610202,1.70324061693075,1.78050017831867,NA,NA,NA,NA,NA
"14",2009-09-09,31,53.5,3.43398720448515,3.97968165390196,2.33126533473069,2.40852489611861,NA,NA,NA,NA,NA
"15",2009-09-16,237,30.3,5.46806014113513,3.41114771251532,0.317525172088228,0.171225898809638,NA,NA,NA,NA,NA
"16",2009-09-22,2670,115.5,7.8898337513943,4.74927052996185,-0.650729006752616,-0.743184189503607,NA,NA,NA,NA,NA
"17",2009-09-29,67,6.7,4.20469261939097,1.90210752639692,0.0745349574850251,0.132645208659755,NA,NA,NA,NA,NA
"18",2009-10-07,56,23,4.02535169073515,3.13549421592915,1.37654118459773,1.30887054183506,NA,NA,NA,NA,NA
"19",2009-10-09,6040,149.3,8.70615929092886,5.00595770454514,-0.819652090814565,-0.632513606667607,NA,NA,NA,NA,NA
"20",2009-10-14,746,23.9,6.61472560020376,3.17387845893747,-1.17372486361965,-0.931836815571966,NA,NA,NA,NA,NA
"21",2009-10-21,138,9.9,4.92725368515721,2.29253475714054,-0.0113090262535027,-0.018218748157095,NA,NA,NA,NA,NA
"22",2009-10-28,468,10.4,6.14846829591765,2.34180580614733,-1.52826314961125,-1.72081327646926,NA,NA,NA,NA,NA
"23",2009-11-04,168,3.6,5.12396397940326,1.28093384546206,-1.33642200828854,-1.01080596252322,NA,NA,NA,NA,NA
"24",2009-11-11,72,2.75,4.27666611901606,1.01160091167848,-0.831890434915868,-0.733168495405457,NA,NA,NA,NA,NA
"25",2009-11-18,147,3.1,4.99043258677874,1.1314021114911,-1.27257548609138,-1.10404577282464,NA,NA,NA,NA,NA
"26",2009-11-24,99,1.8,4.59511985013459,0.587786664902119,-1.40789745526228,-1.55482125255562,NA,NA,NA,NA,NA
"27",2009-12-02,66,1.7,4.18965474202643,0.53062825106217,-1.29323652694909,-1.24950192021212,NA,NA,NA,NA,NA
"28",2009-12-09,66,2.7,4.18965474202643,0.993251773010283,-0.830613005000981,-0.786878398264011,NA,NA,NA,NA,NA
"29",2009-12-16,40,2.4,3.68887945411394,0.8754687373539,-0.782070838027927,-0.726011785920911,NA,NA,NA,NA,NA
