"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2009-07-08,6.9,0.369,-0.99695863494161,1.93152141160321
"2",2009-07-15,4.2,0.134,-2.00991547903123,1.43508452528932
"3",2009-07-22,16,0.719,-0.32989392126109,2.77258872223978
"4",2009-07-29,3.1,0.289,-1.2413285908697,1.1314021114911
"5",2009-07-30,74,0.47,-0.755022584278033,4.30406509320417
"6",2009-08-05,142,0.727,-0.318828801448618,4.95582705760126
"7",2009-08-12,16,0.583,-0.539568092631645,2.77258872223978
"8",2009-08-19,8.7,0.219,-1.51868354916564,2.16332302566054
"9",2009-08-20,190,0.493,-0.707246104939447,5.24702407216049
"10",2009-08-26,13,0.439,-0.823255865906966,2.56494935746154
"11",2009-09-02,38,0.175,-1.74296930505862,3.63758615972639
"12",2009-09-09,31,0.3965,-0.925079237907234,3.43398720448515
"13",2009-09-09,31,0.443,-0.814185508937001,3.43398720448515
"14",2009-09-16,237,0.386,-0.951917909517306,5.46806014113513
"15",2009-09-22,2670,0.637,-0.450985623409974,7.8898337513943
"16",2009-09-29,67,0.5865,-0.533582610888607,4.20469261939097
"17",2009-10-07,56,0.415,-0.879476758751439,4.02535169073515
"18",2009-10-09,6040,0.389,-0.944175935363691,8.70615929092886
"19",2009-10-14,746,0.468,-0.75928698306449,6.61472560020376
"20",2009-10-21,138,0.553,-0.592397277459802,4.92725368515721
"21",2009-10-28,468,0.277,-1.2837377727948,6.14846829591765
"22",2009-11-04,168,0.475,-0.744440474947496,5.12396397940326
"23",2009-11-11,72,0.258,-1.35479569406052,4.27666611901606
"24",2009-11-18,147,0.305,-1.18744350237473,4.99043258677874
"25",2009-11-24,99,0.192,-1.65025990695436,4.59511985013459
"26",2009-12-02,66,0.152,-1.88387475813586,4.18965474202643
"27",2009-12-09,66,0.855,-0.156653810045377,4.18965474202643
"28",2009-12-16,40,0.203,-1.59454929994035,3.68887945411394
"29",2009-12-22,32,0.155,-1.86433016206289,3.46573590279973
"30",2009-12-31,161,0.461,-0.774357235985488,5.08140436498446
"31",2010-01-06,85,0.425,-0.85566611005772,4.44265125649032
"32",2010-01-13,49,0.467,-0.76142602131324,3.89182029811063
"33",2010-01-20,54,0.288,-1.24479479884619,3.98898404656427
"34",2010-01-27,186,0.624,-0.471604910612709,5.2257466737132
"35",2010-02-04,632,0.478,-0.738144546490681,6.44888939414686
"36",2010-02-11,201,0.62,-0.478035800943,5.30330490805908
"37",2010-02-17,125,0.525,-0.644357016390513,4.8283137373023
"38",2010-02-24,161,0.507,-0.679244275390954,5.08140436498446
"39",2010-03-03,81,0.406,-0.901402119380404,4.39444915467244
"40",2010-03-10,73,0.347,-1.05843049903528,4.29045944114839
"41",2010-03-17,46,0.388,-0.946749939358864,3.8286413964891
"42",2010-03-23,1420,0.559,-0.581605805827038,7.25841215059531
"43",2010-03-31,177,0.555,-0.588787165235702,5.17614973257383
"44",2010-04-07,168,0.4215,-0.863935501540227,5.12396397940326
"45",2010-04-14,75,0.261,-1.34323487165944,4.31748811353631
"46",2010-04-21,48,0.268,-1.31676829847128,3.87120101090789
