"","SO4.Date","SO4.Flow","SO4.concentrations.SO4","lnC","lnQ"
"1",2009-07-08,6.9,31.234,3.44150724506565,1.93152141160321
"2",2009-07-15,4.2,24.359,3.19290139109596,1.43508452528932
"3",2009-07-22,16,34.66,3.54558628428746,2.77258872223978
"4",2009-07-29,3.1,33.567,3.51354344149369,1.1314021114911
"5",2009-07-30,74,31.92,3.46323277258161,4.30406509320417
"6",2009-08-05,142,38.959,3.66250981109379,4.95582705760126
"7",2009-08-12,16,38.628,3.65397740210467,2.77258872223978
"8",2009-08-19,8.7,31.44,3.44808096756101,2.16332302566054
"9",2009-08-20,190,25.236,3.22827154650856,5.24702407216049
"10",2009-08-26,13,27.51,3.31454957493648,2.56494935746154
"11",2009-09-02,38,40.382,3.69838414112818,3.63758615972639
"12",2009-09-05,182,33.822,3.52111147832749,5.2040066870768
"13",2009-09-09,31,23.847,3.17165842325909,3.43398720448515
"14",2009-09-09,31,33.648,3.51595361896034,3.43398720448515
"15",2009-09-16,237,31.985,3.4652670429021,5.46806014113513
"16",2009-09-22,2670,10.243,2.3265945454544,7.8898337513943
"17",2009-09-29,67,34.2415,3.5334383587252,4.20469261939097
"18",2009-10-07,56,34.995,3.5552051941415,4.02535169073515
"19",2009-10-09,6040,5.431,1.69212327905271,8.70615929092886
"20",2009-10-14,746,13.803,2.62488595984144,6.61472560020376
"21",2009-10-21,138,26.214,3.26629361919735,4.92725368515721
"22",2009-10-28,468,14.859,2.69860574227421,6.14846829591765
"23",2009-11-04,168,18.65,2.92584614608982,5.12396397940326
"24",2009-11-11,72,22.18,3.09919098192222,4.27666611901606
"25",2009-11-18,147,16.596,2.80916170247062,4.99043258677874
"26",2009-11-24,99,20.278,3.00953655453039,4.59511985013459
"27",2009-12-02,66,22.107,3.09589430045297,4.18965474202643
"28",2009-12-09,66,36.675,3.60209532402905,4.18965474202643
"29",2009-12-16,40,25.068,3.22159213236243,3.68887945411394
"30",2009-12-22,32,25.483,3.23801156317668,3.46573590279973
"31",2009-12-31,161,22.51,3.11395965491864,5.08140436498446
"32",2010-01-06,85,20.179,3.00464245968375,4.44265125649032
"33",2010-01-13,49,23.352,3.15068263355181,3.89182029811063
"34",2010-01-20,54,25.043,3.22059434736216,3.98898404656427
"35",2010-01-27,186,18.0455,2.89289634621739,5.2257466737132
"36",2010-02-04,632,23.737,3.16703501219881,6.44888939414686
"37",2010-02-11,201,20.507,3.02076629127363,5.30330490805908
"38",2010-02-17,125,22.602,3.11803839793796,4.8283137373023
"39",2010-02-24,161,19.259,2.95797848394208,5.08140436498446
"40",2010-03-03,81,21.635,3.07431237367685,4.39444915467244
"41",2010-03-10,73,25.553,3.24075472658664,4.29045944114839
"42",2010-03-17,46,24.953,3.21699405545018,3.8286413964891
"43",2010-03-23,1420,13.348,2.59136656088913,7.25841215059531
"44",2010-03-31,177,18.547,2.92030805090715,5.17614973257383
"45",2010-04-07,168,17.0345,2.83524069934669,5.12396397940326
"46",2010-04-14,75,20.578,3.02422254395362,4.31748811353631
"47",2010-04-21,48,24.662,3.20526359744834,3.87120101090789
"48",2010-04-24,229,28.827,3.36131244796324,5.43372200355424
"49",2010-04-28,83,15.86,2.7638002162067,4.4188406077966
"50",2010-05-05,65,13.361,2.59234001560676,4.17438726989564
"51",2010-05-12,128,12.037,2.4879852393976,4.85203026391962
"52",2010-05-13,379,15.912,2.76707354155167,5.93753620508243
"53",2010-05-14,1380,10.231,2.3254223268968,7.22983877815125
"54",2010-05-15,2640,8.672,2.16009944469729,7.87853419614036
"55",2010-05-15,2640,5.603,1.72330216858315,7.87853419614036
"56",2010-05-17,747,9.837,2.28615078653062,6.61606518513282
"57",2010-05-26,181,18.793,2.93348446007446,5.19849703126583
"58",2010-06-02,25,23.2785,3.14753018779765,3.2188758248682
"59",2010-06-09,18,26.244,3.26743739148263,2.89037175789616
"60",2010-06-16,15,19.615,2.97629457966152,2.70805020110221
"61",2010-06-24,13,23.066,3.13835967180375,2.56494935746154
"62",2010-07-08,3.2,33.937,3.52450586462061,1.16315080980568
"63",2010-07-13,2010,7.563,2.02326793687389,7.60589000105312
"64",2010-07-22,37,26.199,3.26572124209971,3.61091791264422
"65",2010-07-28,11,34.58,3.54327548025514,2.39789527279837
"66",2010-08-05,3.5,35.625,3.57304763858881,1.25276296849537
"67",2010-08-10,2.2,39.9195,3.68686492631472,0.78845736036427
"68",2010-08-19,0.25,35.233,3.56198314342539,-1.38629436111989
"69",2010-08-26,0.49,33.128,3.50037884624327,-0.713349887877465
"70",2010-09-01,0.3,30.629,3.42194727258075,-1.20397280432594
"71",2010-09-09,733,42.588,3.75157252345236,6.59714570188665
"72",2010-09-16,78,33.419,3.5091246005173,4.35670882668959
"73",2010-09-22,8.5,30.852,3.42920157807175,2.14006616349627
"74",2010-09-29,5.3,38.757,3.65731138464627,1.66770682055808
"75",2010-10-06,0.33,44.108,3.78664117189643,-1.10866262452161
"76",2010-10-14,0.06,45.021,3.80712904758196,-2.81341071676004
"77",2010-10-20,9,49.651,3.90501853127526,2.19722457733622
"78",2010-10-27,21,41.9485,3.73644267542053,3.04452243772342
"79",2010-11-02,12,40.453,3.70014080639095,2.484906649788
"80",2010-11-10,11,38.698,3.65578791911374,2.39789527279837
"81",2010-11-17,7.6,34.886,3.55208560259594,2.02814824729229
"82",2010-11-30,45,31.663,3.45514880675463,3.80666248977032
"83",2010-12-07,14,29.507,3.38462752333299,2.63905732961526
"84",2010-12-14,7.8,34.187,3.53184545484673,2.05412373369555
"85",2010-12-19,5.8,36.368,3.59368926711019,1.75785791755237
"86",2011-01-05,121,20.636,3.0270371233824,4.79579054559674
"87",2011-01-11,54,11.693,2.45899037215818,3.98898404656427
"88",2011-01-18,30,30.835,3.42865040844346,3.40119738166216
"89",2011-01-25,27,41.231,3.71919040060853,3.29583686600433
"90",2011-02-04,89,39.685,3.68097328254284,4.48863636973214
