"","Date","concentrations.SO4","Flow"
"1",2009-07-08,10.023,26.431
"2",2009-07-15,25.833,11.419
"3",2009-07-22,23.768,48.408
"4",2009-07-29,21.821,3.296
"5",2009-08-05,22.729,79.239
"6",2009-08-12,24.245,41.804
"7",2009-08-19,25.766,14.167
"8",2009-08-26,17.934,47.524
"9",2009-09-02,27.806,73.625
"10",2009-09-09,17.447,122.747
"11",2009-09-16,17.211,756.805
"12",2009-09-17,18.46,1062.467
"13",2009-09-22,4.125,10521.395
"14",2009-09-29,12.8595,393.772
"15",2009-10-07,17.804,165.191
"16",2009-10-09,4.501,23501.159
"17",2009-10-14,7.055,3058.691
"18",2009-10-21,11.577,529.36
"19",2009-10-28,10.051,1610.812
"20",2009-11-04,8.482,833.628
"21",2009-11-11,10.972,350.282
"22",2009-11-18,10.521,588.795
"23",2009-11-24,11.463,387.906
"24",2009-12-02,12.565,282.297
"25",2009-12-09,13.658,285.891
"26",2009-12-16,12.387,198.436
"27",2009-12-22,11.984,150.166
"28",2009-12-31,9.568,743.293
"29",2010-01-06,11.149,404.419
"30",2010-01-13,12.3375,238.856
"31",2010-01-20,15.028,228.625
"32",2010-01-27,9.909,843.725
"33",2010-02-04,14.197,1889.098
"34",2010-02-11,10.549,882.471
"35",2010-02-17,10.863,557.588
"36",2010-02-24,10.197,791.193
"37",2010-03-03,11.01,390.571
"38",2010-03-10,13.917,325.913
"39",2010-03-17,12.749,231.379
"40",2010-03-23,8.961,3896.979
"41",2010-03-31,9.5515,824.632
"42",2010-04-07,8.183,810.004
"43",2010-04-14,10.018,333.618
"44",2010-04-21,12.75,184.392
"45",2010-04-28,11.633,273.909
"46",2010-05-05,10.919,195.948
"47",2010-05-12,13.564,411.023
"48",2010-05-14,10.826,2792.759
"49",2010-05-14,10.045,2792.759
"50",2010-05-15,7.418,7780.775
"51",2010-05-15,5.687,7780.775
"52",2010-05-17,5.5585,3036.73
"53",2010-05-26,11.318,1030.433
"54",2010-06-02,10.467,246.869
"55",2010-06-09,16.649,127.51
"56",2010-06-16,11.685,126.272
"57",2010-06-24,14.009,53.027
"58",2010-07-08,19.299,32.96
"59",2010-07-13,6.232,4863.771
"60",2010-07-22,16.047,119.195
"61",2010-07-28,22.937,75.672
"62",2010-08-05,23.789,17.532
"63",2010-08-10,31.857,11.757
"64",2010-08-19,33.535,5.166
"65",2010-08-26,33.236,6.253
"66",2010-09-01,33.155,11.876
"67",2010-09-09,35.896,2049.7
"68",2010-09-16,10.53,531.527
"69",2010-09-22,13.482,107.399
"70",2010-09-29,12.951,73.044
"71",2010-10-06,25.439,26.972
"72",2010-10-14,22.825,22.008
"73",2010-10-20,34.977,40.804
"74",2010-10-27,34.075,40.789
"75",2010-11-02,31.171,28.654
"76",2010-11-10,28.347,27.092
"77",2010-11-17,25.365,27.921
"78",2010-11-30,14.789,265.475
"79",2010-12-07,10.543,117.42
"80",2010-12-14,14.137,67.441
"81",2010-12-19,14.625,53.229
"82",2011-01-05,13.894,237.974
"83",2011-01-11,17.342,114.825
"84",2011-01-18,13.315,76.947
"85",2011-01-25,19.057,57.68
"86",2011-02-04,15.037,244.76
"87",2011-02-08,19.672,413.718
"88",2011-02-14,21.302,1285.632
"89",2011-02-25,12.656,1970.925
"90",2011-02-28,18.307,1630.499
"91",2011-03-05,16.393,1149.741
"92",2011-03-14,16.01,1001.012
"93",2011-03-29,9.0335,419.287
"94",2011-04-06,7.368,604.595
"95",2011-04-11,9.201,3203.011
"96",2011-04-22,16.987,1175.937
"97",2011-04-23,9.301,3713.992
"98",2011-04-25,3.488,37710.935
"99",2011-04-26,2.982,21537.413
"100",2011-05-12,11.92,745.641
"101",2011-05-19,9.761,611.719
"102",2011-05-24,3.532,19078.796
"103",2011-06-08,14.3635,217.284
"104",2011-06-15,15.096,101.537
"105",2011-07-15,18.272,12.391
"106",2011-07-21,26.054,4.929
"107",2011-08-18,30.191,22.673
"108",2011-09-01,32.913,11.364
