"","Date","concentrations.TN","Flow"
"1",2009-07-08,0.19,26.431
"2",2009-07-29,0.64,3.296
"3",2009-08-05,0.39,79.239
"4",2009-08-12,1.74,41.804
"5",2009-08-19,0.98,14.167
"6",2009-08-26,1.44,47.524
"7",2009-09-02,0.48,73.625
"8",2009-09-09,0.87,122.747
"9",2009-09-16,0.93,756.805
"10",2009-09-17,0.45,1062.467
"11",2009-09-22,1,10521.395
"12",2009-09-29,1.01,393.772
"13",2009-10-07,1,165.191
"14",2009-10-09,0.86,23501.159
"15",2009-10-14,0.76,3058.691
"16",2009-10-21,0.78,529.36
"17",2009-10-28,0.535,1610.812
"18",2009-11-04,0.67,833.628
"19",2009-11-11,0.68,350.282
"20",2009-11-18,0.54,588.795
"21",2009-11-24,0.57,387.906
"22",2009-12-02,0.51,282.297
"23",2009-12-09,0.64,285.891
"24",2009-12-16,0.53,198.436
"25",2009-12-22,0.38,150.166
"26",2009-12-31,0.61,743.293
"27",2010-01-06,0.6,404.419
"28",2010-01-13,0.725,238.856
"29",2010-01-20,0.73,228.625
"30",2010-01-27,0.74,843.725
"31",2010-02-04,0.71,1889.098
"32",2010-02-11,0.72,882.471
"33",2010-02-17,0.6,557.588
"34",2010-02-24,0.66,791.193
"35",2010-03-03,0.62,390.571
"36",2010-03-10,0.72,325.913
"37",2010-03-17,0.74,231.379
"38",2010-03-23,0.84,3896.979
"39",2010-03-31,0.695,824.632
"40",2010-04-07,0.46,810.004
"41",2010-04-14,0.59,333.618
"42",2010-04-21,0.73,184.392
"43",2010-04-28,0.66,273.909
"44",2010-05-05,0.83,195.948
"45",2010-05-12,0.54,411.023
"46",2010-05-14,0.59,2792.759
"47",2010-05-14,0.84,2792.759
"48",2010-05-15,0.69,7780.775
"49",2010-05-15,0.77,7780.775
"50",2010-05-17,0.635,3036.73
"51",2010-05-26,0.69,1030.433
"52",2010-06-02,0.56,246.869
"53",2010-06-09,0.84,127.51
"54",2010-06-16,0.98,126.272
"55",2010-06-24,0.81,53.027
"56",2010-07-08,0.36,32.96
"57",2010-07-13,0.78,4863.771
"58",2010-07-22,0.86,119.195
"59",2010-07-28,1,75.672
"60",2010-08-05,1.355,17.532
"61",2010-08-10,0.9,11.757
"62",2010-08-19,1.24,5.166
"63",2010-08-26,0.68,6.253
"64",2010-09-01,1.17,11.876
"65",2010-09-09,2.68,2049.7
"66",2010-09-16,1.275,531.527
"67",2010-09-22,1.42,107.399
"68",2010-09-29,0.71,73.044
"69",2010-10-06,2.08,26.972
"70",2010-10-14,1.25,22.008
"71",2010-10-20,2.61,40.804
"72",2010-10-27,1.93,40.789
"73",2010-11-02,1.64,28.654
"74",2010-11-10,1.7,27.092
"75",2010-11-17,1.57,27.921
"76",2010-11-30,0.91,265.475
"77",2010-12-07,0.62,117.42
"78",2010-12-14,0.95,67.441
"79",2010-12-19,0.71,53.229
"80",2011-01-05,0.81,237.974
"81",2011-01-11,1.02,114.825
"82",2011-01-18,0.74,76.947
"83",2011-01-25,1,57.68
"84",2011-02-04,0.82,244.76
"85",2011-02-08,0.67,413.718
"86",2011-02-14,0.95,1285.632
"87",2011-02-25,0.93,1970.925
"88",2011-02-28,1.74,1630.499
"89",2011-03-05,0.95,1149.741
"90",2011-03-14,0.86,1001.012
"91",2011-03-29,0.58,419.287
"92",2011-04-06,0.44,604.595
"93",2011-04-11,0.54,3203.011
"94",2011-04-22,0.74,1175.937
"95",2011-04-23,0.75,3713.992
"96",2011-04-25,1.09,37710.935
"97",2011-04-26,1.23,21537.413
"98",2011-05-12,0.79,745.641
"99",2011-05-19,0.6,611.719
"100",2011-05-24,0.78,19078.796
"101",2011-06-08,0.66,217.284
"102",2011-06-15,0.73,101.537
"103",2011-07-15,0.5,12.391
"104",2011-07-21,0.89,4.929
"105",2011-07-29,1.04,4.851
"106",2011-08-03,0.92,3.775
"107",2011-08-11,0.8,44.29
"108",2011-08-18,2.36,22.673
"109",2011-09-01,2.03,11.364
"110",2011-09-08,1.76,10.133
"111",2011-09-16,2.495,9.88
"112",2011-09-19,4.53,74.198
"113",2011-09-30,1.855,12.404
"114",2011-10-06,3.09,13.137
"115",2011-10-12,1.83,83.054
"116",2011-10-26,2.49,12.357
"117",2011-11-03,1.98,25.679
"118",2011-11-08,1.16,5327.797
"119",2011-11-17,2.89,234.106
"120",2011-12-01,1.77,397.501
"121",2011-12-08,1.48,725.209
"122",2011-12-15,1.52,3972.854
"123",2012-01-05,1.25,189.814
"124",2012-01-12,0.99,670.241
"125",2012-01-19,0.77,241.02
"126",2012-01-25,1.27,4533.335
"127",2012-02-02,1.15,615.783
"128",2012-02-04,1.29,3154.512
"129",2012-02-16,0.9,804.587
"130",2012-03-01,0.77,285.662
"131",2012-03-12,0.64,2462.849
"132",2012-03-20,1.05,9100.15
"133",2012-03-29,0.88,826.699
"134",2012-04-12,0.86,204.448
"135",2012-04-19,0.76,160.307
"136",2012-04-26,1.02,73.919
"137",2012-05-01,1.18,106.946
"138",2012-05-10,1.83,29.103
"139",2012-05-16,1.27,16.582
"140",2012-05-24,0.55,12.4
"141",2012-06-01,0.97,13.263
"142",2012-06-05,1.73,84.124
"143",2012-06-14,0.84,8.135
"144",2012-06-21,1.34,6.187
"145",2012-07-12,1.2,7.94
