"","Date","concentrations.TP","Flow"
"1",2009-07-08,0.036,26.431
"2",2009-07-15,0.038,11.419
"3",2009-07-22,0.052,48.408
"4",2009-07-29,0.034,3.296
"5",2009-08-05,0.03,79.239
"6",2009-08-12,0.09,41.804
"7",2009-08-19,0.07,14.167
"8",2009-08-26,0.08,47.524
"9",2009-09-02,0.076,73.625
"10",2009-09-09,0.062,122.747
"11",2009-09-16,0.07,756.805
"12",2009-09-17,0.122,1062.467
"13",2009-09-22,0.775,10521.395
"14",2009-09-29,0.048,393.772
"15",2009-10-07,0.052,165.191
"16",2009-10-09,0.554,23501.159
"17",2009-10-14,0.14,3058.691
"18",2009-10-21,0.028,529.36
"19",2009-10-28,0.043,1610.812
"20",2009-11-04,0.024,833.628
"21",2009-11-11,0.032,350.282
"22",2009-11-18,0.054,588.795
"23",2009-11-24,0.024,387.906
"24",2009-12-02,0.02,282.297
"25",2009-12-09,0.012,285.891
"26",2009-12-16,0.018,198.436
"27",2009-12-22,0.018,150.166
"28",2009-12-31,0.044,743.293
"29",2010-01-06,0.016,404.419
"30",2010-01-13,0.017,238.856
"31",2010-01-20,0.02,228.625
"32",2010-01-27,0.018,843.725
"33",2010-02-04,0.044,1889.098
"34",2010-02-11,0.022,882.471
"35",2010-02-17,0.02,557.588
"36",2010-02-24,0.032,791.193
"37",2010-03-03,0.008,390.571
"38",2010-03-10,0.02,325.913
"39",2010-03-17,0.034,231.379
"40",2010-03-23,0.17,3896.979
"41",2010-03-31,0.033,824.632
"42",2010-04-07,0.042,810.004
"43",2010-04-14,0.032,333.618
"44",2010-04-21,0.026,184.392
"45",2010-04-28,0.044,273.909
"46",2010-05-05,0.078,195.948
"47",2010-05-12,0.054,411.023
"48",2010-05-14,0.196,2792.759
"49",2010-05-14,0.715,2792.759
"50",2010-05-15,0.304,7780.775
"51",2010-05-15,0.598,7780.775
"52",2010-05-17,0.189,3036.73
"53",2010-05-26,0.108,1030.433
"54",2010-06-02,0.032,246.869
"55",2010-06-09,0.038,127.51
"56",2010-06-16,0.06,126.272
"57",2010-06-24,0.056,53.027
"58",2010-07-08,0.034,32.96
"59",2010-07-13,0.585,4863.771
