"","Date","concentrations.TSS","Flow"
"1",2009-07-08,5.4,26.431
"2",2009-07-15,4.6,11.419
"3",2009-07-22,9.5,48.408
"4",2009-07-29,3.7,3.296
"5",2009-08-05,5.6,79.239
"6",2009-08-12,20.6,41.804
"7",2009-08-19,12.5,14.167
"8",2009-08-26,22.1,47.524
"9",2009-09-02,20.5,73.625
"10",2009-09-09,15.8,122.747
"11",2009-09-16,24,756.805
"12",2009-09-17,61.5,1062.467
"13",2009-09-22,345.2,10521.395
"14",2009-09-29,7.65,393.772
"15",2009-10-07,9.9,165.191
"16",2009-10-09,199.5,23501.159
"17",2009-10-14,30.7,3058.691
"18",2009-10-21,8.9,529.36
"19",2009-10-28,9.8,1610.812
"20",2009-11-04,5.6,833.628
"21",2009-11-11,5.6,350.282
"22",2009-11-18,7,588.795
"23",2009-11-24,4.5,387.906
"24",2009-12-02,4.3,282.297
"25",2009-12-09,2.2,285.891
"26",2009-12-16,2.7,198.436
"27",2009-12-22,4.1,150.166
"28",2009-12-31,2.4,743.293
"29",2010-01-06,2.5,404.419
"30",2010-01-13,2.15,238.856
"31",2010-01-20,2.3,228.625
"32",2010-01-27,5.7,843.725
"33",2010-02-04,7.7,1889.098
"34",2010-02-11,3.4,882.471
"35",2010-02-17,2.9,557.588
"36",2010-02-24,6.6,791.193
"37",2010-03-03,3.9,390.571
"38",2010-03-10,9.1,325.913
"39",2010-03-17,8.5,231.379
"40",2010-03-23,50.4,3896.979
"41",2010-03-31,10.3,824.632
"42",2010-04-07,12.4,810.004
"43",2010-04-14,9,333.618
"44",2010-04-21,7.8,184.392
"45",2010-04-28,11.5,273.909
"46",2010-05-05,13.7,195.948
"47",2010-05-12,15.3,411.023
"48",2010-05-14,87.3,2792.759
"49",2010-05-14,417.9,2792.759
"50",2010-05-15,153,7780.775
"51",2010-05-15,329,7780.775
"52",2010-05-17,55.7,3036.73
"53",2010-05-26,33.2,1030.433
"54",2010-06-02,5.9,246.869
"55",2010-06-09,6.9,127.51
"56",2010-06-16,8.7,126.272
"57",2010-06-24,3.8,53.027
"58",2010-07-08,8.3,32.96
"59",2010-07-13,300.8,4863.771
"60",2010-07-22,12.7,119.195
"61",2010-07-28,12.4,75.672
"62",2010-08-05,24.45,17.532
"63",2010-08-10,12.5,11.757
"64",2010-08-19,11.1,5.166
"65",2010-08-26,11.3,6.253
"66",2010-09-01,9.6,11.876
"67",2010-09-09,12.9,2049.7
"68",2010-09-16,19.4,531.527
"69",2010-09-22,11.7,107.399
"70",2010-09-29,8.6,73.044
"71",2010-10-06,7.1,26.972
"72",2010-10-14,5.1,22.008
"73",2010-10-20,7.1,40.804
"74",2010-10-27,6.5,40.789
"75",2010-11-02,4.8,28.654
"76",2010-11-10,5.2,27.092
"77",2010-11-17,4,27.921
"78",2010-11-30,7.4,265.475
"79",2010-12-07,3.9,117.42
"80",2010-12-14,3.3,67.441
"81",2010-12-19,3.1,53.229
"82",2011-01-05,9.3,237.974
"83",2011-01-11,3,114.825
"84",2011-01-18,3.8,76.947
"85",2011-01-25,2.5,57.68
"86",2011-02-04,6.6,244.76
"87",2011-02-08,5.7,413.718
"88",2011-02-14,41.5,1285.632
"89",2011-02-25,74.3,1970.925
"90",2011-02-28,612.5,1630.499
"91",2011-03-05,65.2,1149.741
"92",2011-03-14,58.9,1001.012
"93",2011-03-29,8.9,419.287
"94",2011-04-06,11.7,604.595
"95",2011-04-11,122.5,3203.011
"96",2011-04-22,33,1175.937
"97",2011-04-23,157.9,3713.992
"98",2011-04-25,451.7,37710.935
"99",2011-04-26,869.2,21537.413
"100",2011-05-12,10.3,745.641
"101",2011-05-19,8.9,611.719
"102",2011-05-24,444.6,19078.796
"103",2011-06-08,5.95,217.284
"104",2011-06-15,4.7,101.537
"105",2011-07-15,13.2,12.391
"106",2011-07-21,5.7,4.929
"107",2011-07-29,4.9,4.851
"108",2011-08-03,4.9,3.775
"109",2011-08-11,6.9,44.29
"110",2011-08-18,10,22.673
"111",2011-09-01,8.5,11.364
"112",2011-09-08,7.6,10.133
"113",2011-09-16,7.6,9.88
"114",2011-09-19,18.9,74.198
"115",2011-09-30,12.5,12.404
"116",2011-10-06,8.8,13.137
"117",2011-10-12,12.4,83.054
"118",2011-10-26,12.25,12.357
"119",2011-11-03,9.9,25.679
"120",2011-11-08,271.5,5327.797
"121",2011-11-17,6.7,234.106
"122",2011-12-01,3.5,397.501
"123",2011-12-08,4.8,725.209
"124",2011-12-15,127.2,3972.854
"125",2012-01-05,4.75,189.814
"126",2012-01-12,3.5,670.241
"127",2012-01-19,3.9,241.02
"128",2012-01-25,187.7,4533.335
"129",2012-02-02,4.8,615.783
"130",2012-02-04,102.7,3154.512
"131",2012-02-16,7.2,804.587
"132",2012-03-01,8.1,285.662
"133",2012-03-12,45.5,2462.849
"134",2012-03-20,198.3,9100.15
"135",2012-03-29,7.5,826.699
"136",2012-04-12,10.5,204.448
"137",2012-04-19,5.3,160.307
"138",2012-04-26,9.1,73.919
"139",2012-05-01,8.2,106.946
"140",2012-05-10,6.4,29.103
"141",2012-05-16,6.9,16.582
"142",2012-05-24,12.4,12.4
"143",2012-06-01,12.3,13.263
"144",2012-06-05,7.5,84.124
"145",2012-06-14,8.3,8.135
"146",2012-06-21,13.5,6.187
"147",2012-07-12,13.9,7.94
"148",2012-07-19,11.4,4.59
"149",2012-08-02,12.6,4.352
"150",2012-08-15,10.9,6.62
"151",2012-08-17,19.4,39.226
"152",2012-08-20,7.5,4.764
"153",2012-08-29,13.2,10.719
"154",2012-09-05,6.15,6.674
"155",2012-09-11,11.5,6.76
"156",2012-09-25,8.1,12.97
"157",2012-10-01,10.4,7.77
"158",2012-10-09,9.1,7.729
"159",2012-10-15,16.5,25.383
"160",2012-10-24,11.4,28.995
"161",2012-10-31,4.4,17
"162",2012-11-07,5.4,13.245
"163",2012-11-14,4.3,14.883
"164",2012-11-28,3,13.92
"165",2012-12-05,7.5,25.741
"166",2012-12-12,3.1,7.622
"167",2013-01-04,5.55,76.616
"168",2013-01-10,8.6,54.643
"169",2013-01-15,5.7,314.389
"170",2013-01-23,4.7,75.06
"171",2013-01-30,575.3,5038.84
"172",2013-02-06,6.5,290.599
"173",2013-02-11,7.65,992.025
"174",2013-02-20,6.6,368.747
"175",2013-02-27,8.2,919.887
"176",2013-03-06,4.9,312.461
"177",2013-03-10,185.3,2892.943
"178",2013-03-19,7.3,426.42
"179",2013-03-29,6.1,1303.788
"180",2013-04-03,15.9,2302.908
"181",2013-04-11,30.25,1303.963
"182",2013-04-18,282.9,1797.883
"183",2013-04-24,5.8,642.38
"184",2013-04-27,81.2,2560.578
"185",2013-05-10,69.66,2715.047
"186",2013-05-21,39.2,4895.429
"187",2013-05-21,201.7,4895.429
"188",2013-05-30,6.6,575.949
"189",2013-06-06,9,797.779
"190",2013-06-25,3.6,39.708
"191",2013-07-08,6.5,13.494
"192",2013-07-19,7.07,4.841
"193",2013-07-31,9.7,23.748
"194",2013-08-07,9.6,22.961
"195",2013-08-08,130.5,404.262
"196",2013-08-13,36.9,1749.364
"197",2013-08-20,6.1,158.041
"198",2013-08-28,5.1,15.862
"199",2013-09-04,5.4,8.996
"200",2013-09-11,6.55,6.075
"201",2013-09-18,7.45,4.358
"202",2013-09-20,15.5,170.505
"203",2013-10-03,7,7.73
"204",2013-10-24,6.3,62.737
"205",2013-10-30,9.4,46.505
"206",2013-11-06,0.5,707.707
"207",2013-11-13,3.7,181.707
"208",2013-11-22,15,434.43
"209",2013-12-02,2.7,94.716
"210",2013-12-12,3.4,107.849
"211",2013-12-18,7.7,658.546
"212",2013-12-21,294.7,5474.008
"213",2014-01-09,2.7,395.586
"214",2014-01-10,67.5,1092.64
"215",2014-01-22,2.9,307.21
"216",2014-01-28,2.3,175.524
"217",2014-02-06,4.9,150.544
"218",2014-02-12,2.6,116.655
"219",2014-02-21,4.35,169.088
"220",2014-02-25,4.1,140.142
"221",2014-03-07,12.1,658.957
"222",2014-03-11,9.1,439.983
"223",2014-03-16,562.9,9437.961
"224",2014-03-27,7,514.81
"225",2014-04-03,9.8,831.798
"226",2014-04-04,64,3276.328
"227",2014-04-07,88.7,3947.906
"228",2014-04-14,21,1454.068
"229",2014-04-22,5.65,550.4
"230",2014-04-28,8.5,463.306
"231",2014-05-09,15.1,671.211
"232",2014-05-13,65.5,1805.661
"233",2014-05-20,8.4,561.359
"234",2014-05-28,8.5,205.134
"235",2014-06-02,7.45,204.824
"236",2014-06-10,6.9,314.937
"237",2014-07-01,6.4,127.163
"238",2014-07-09,5.1,33.888
"239",2014-07-23,5.7,45.313
"240",2014-07-29,7.8,19.307
"241",2014-08-05,9.9,21.252
"242",2014-08-12,26.5,318.681
"243",2014-08-19,11.55,56.906
"244",2014-08-27,10.9,19.594
"245",2014-09-02,19.4,289.956
"246",2014-09-10,9.5,29.629
"247",2014-09-17,8.6,60.374
"248",2014-09-18,13.7,206.517
"249",2014-09-24,8.1,37.359
"250",2014-10-01,8.9,27.191
"251",2014-10-08,5.9,24.738
"252",2014-10-10,158.1,944.331
"253",2014-10-13,288.3,5217.684
"254",2014-10-22,4.7,271.81
"255",2014-10-29,3.5,109.014
"256",2014-11-06,6,576.015
"257",2014-11-12,3.1,188.165
"258",2014-11-19,0.9,69.786
"259",2014-12-05,3.8,186.43
"260",2014-12-10,4.3,307.009
"261",2014-12-17,7.5,577.247
"262",2015-01-05,24.9,1142.144
"263",2015-01-07,5.9,716.027
"264",2015-01-14,2.5,292.96
"265",2015-01-21,2.2,158.689
"266",2015-01-28,2.15,94.636
"267",2015-02-04,2.4,139.066
"268",2015-02-11,3.5,95.242
"269",2015-02-18,2.1,97.768
"270",2015-02-25,6,316.131
"271",2015-03-05,30.9,1980.39
"272",2015-03-10,34.5,2152.163
"273",2015-03-14,214.6,7185.943
"274",2015-03-19,23.9,1468.438
"275",2015-03-26,115.1,3679.828
"276",2015-04-01,7.7,732.827
"277",2015-04-13,7.5,396.55
"278",2015-04-22,10.1,605.18
"279",2015-04-24,70.9,609.928
"280",2015-04-29,8.2,292.602
