"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"1",5,0.9,0.139034572121102,5,0.7,0.142216420303992,5,0.7,0.129713184388024,5,0.5,0.103751075725921,5,0.5,0.123486758771282,5,0.75,0.118343153755578,5,0.7,0.101539175108096
"2",6,0.85,0.135315202699596,6,0.85,0.141291419789464,6,0.6,0.134350288425444,6,0.6,0.0996985251564302,6,0.6,0.123453701145533,6,0.7,0.120610690966888,6,0.7,0.103883765501131
"3",7,0.85,0.129082318300994,7,0.9,0.142889282099028,7,0.4,0.139107945165484,7,0.5,0.0959432230061943,7,0.55,0.122906966641357,7,0.55,0.110545954983732,7,0.6,0.0932683204085757
"4",8,0.85,0.10433951645411,8,0.7,0.132864823126702,8,0.55,0.147042267975669,8,0.5,0.0885771887527875,8,0.6,0.0998417114583818,8,0.65,0.0998161575403624,8,0.75,0.102464528456616
"5",9,0.85,0.124030937549419,9,0.7,0.128349013972664,9,0.5,0.130965800178239,9,0.55,0.0991031208965115,9,0.6,0.0978128158207068,9,0.55,0.119112363346719,9,0.7,0.107518389504459
"6",10,0.85,0.123259308544455,10,0.85,0.125637151661246,10,0.45,0.128527770365404,10,0.65,0.0845395692886485,10,0.6,0.0982551862888319,10,0.55,0.115157390078952,10,0.55,0.101840210974981
"7",11,0.9,0.102020406122041,11,0.7,0.132310704211638,11,0.55,0.11210417895322,11,0.5,0.0764052033701947,11,0.6,0.0889622712968015,11,0.75,0.113501775586219,11,0.75,0.122124058703786
"8",12,0.9,0.0827400650673357,12,0.9,0.132360824094979,12,0.6,0.113371342165866,12,0.55,0.0722876905432843,12,0.6,0.106598617749586,12,0.55,0.110398166207781,12,0.7,0.0820713974884934
"9",13,0.85,0.100122374102487,13,0.8,0.13933149430808,13,0.7,0.123453701145533,13,0.55,0.0795972002379122,13,0.6,0.100127469777687,13,0.55,0.103923048454133,13,0.75,0.0921456256505463
"10",14,0.9,0.0936994761817519,14,0.9,0.14228815258955,14,0.6,0.121977749727446,14,0.55,0.0840371637905468,14,0.55,0.0968324873802429,14,0.55,0.0980680729838998,14,0.6,0.0931314629314664
