"","Date","concentrations.Cl","Flow"
"1",2009-07-08,3.152,18
"2",2009-07-15,2.903,3.5
"3",2009-07-22,5.649,38
"4",2009-07-29,3.244,3.2
"5",2009-08-05,4.83,69
"6",2009-08-12,3.92,33
"7",2009-08-19,4.335,7.4
"8",2009-08-20,5.557,245
"9",2009-08-26,3.179,36
"10",2009-09-02,3.338,64
"11",2009-09-05,3.501,249
"12",2009-09-09,2.986,111
"13",2009-09-09,4.754,111
"14",2009-09-16,2.649,723
"15",2009-09-17,2.872,1020
"16",2009-09-22,1.402,10200
"17",2009-09-29,2.61,370
"18",2009-10-07,2.887,150
"19",2009-10-09,1.192,22800
"20",2009-10-14,2.027,2950
"21",2009-10-21,2.377,502
"22",2009-10-28,2.509,1550
"23",2009-11-04,2.172,797
"24",2009-11-11,2.391,330
"25",2009-11-18,2.633,564
"26",2009-11-24,2.514,368
"27",2009-12-02,2.535,267
"28",2009-12-09,3.003,264
"29",2009-12-16,2.75,188
"30",2009-12-22,2.69,141
"31",2009-12-31,3.385,712
"32",2010-01-06,3.39,386
"33",2010-01-13,3.604,222
"34",2010-01-20,4.0415,211
"35",2010-01-27,3.209,805
"36",2010-02-04,6.46,1820
"37",2010-02-11,4.432,844
"38",2010-02-17,5.151,529
"39",2010-02-24,3.439,759
"40",2010-03-03,3.224,372
"41",2010-03-10,3.898,309
"42",2010-03-17,3.361,218
"43",2010-03-23,3.955,3770
"44",2010-03-31,2.817,791
"45",2010-04-07,2.547,778
"46",2010-04-14,2.685,316
"47",2010-04-21,2.857,171
"48",2010-04-24,3.795,585
"49",2010-04-28,2.911,258
"50",2010-05-05,2.847,183
"51",2010-05-12,2.987,391
"52",2010-05-13,3.242,721
"53",2010-05-14,5.002,2700
"54",2010-05-15,2.822,7540
"55",2010-05-15,1.776,7540
"56",2010-05-17,1.819,2930
"57",2010-05-26,2.317,986
"58",2010-06-02,2.535,234
"59",2010-06-09,2.813,116
"60",2010-06-16,3.054,116
"61",2010-06-24,2.791,46
"62",2010-07-08,4.55,32
"63",2010-07-13,1.575,4710
"64",2010-07-22,2.822,103
"65",2010-07-28,3.026,61
"66",2010-08-05,3.539,9.3
"67",2010-08-10,4.706,5
"68",2010-08-19,4.908,1.5
"69",2010-08-26,4.186,1.7
"70",2010-09-01,3.858,4.5
"71",2010-09-09,6.441,1990
"72",2010-09-16,2.309,502
"73",2010-09-22,2.439,90
"74",2010-09-29,2.848,56
"75",2010-10-06,3.034,18
"76",2010-10-14,3.365,13
"77",2010-10-20,5.7315,32
"78",2010-10-27,5.31,32
"79",2010-11-02,4.66,21
"80",2010-11-10,4.264,21
"81",2010-11-17,4.078,22
"82",2010-11-30,3.379,249
"83",2010-12-07,3.163,114
"84",2010-12-14,3.398,61
"85",2010-12-19,3.474,46
"86",2011-01-05,3.442,222
"87",2011-01-11,3.661,111
"88",2011-01-18,3.769,67
"89",2011-01-25,7.272,56
"90",2011-02-04,5.384,230
"91",2011-02-08,14.514,393
"92",2011-02-14,11.768,1240
"93",2011-02-25,4.613,1900
"94",2011-02-28,4.726,1570
"95",2011-03-04,4.535,685
"96",2011-03-14,5.963,957
"97",2011-03-29,2.856,400
"98",2011-04-06,2.626,580
"99",2011-04-11,3.502,3100
"100",2011-04-22,2.851,1130
"101",2011-04-23,4.12,3590
"102",2011-04-25,1.288,36600
"103",2011-04-26,0.955,20900
"104",2011-05-12,2.323,708
"105",2011-05-19,2.424,579
"106",2011-05-24,0.864,18500
"107",2011-06-08,2.52,197
"108",2011-06-15,3.777,92
"109",2011-07-15,6.148,4.7
"110",2011-07-21,5.758,1.3
"111",2011-08-18,4.74,13
"112",2011-09-01,5.816,1.9
"113",2011-09-08,5.359,0.87
"114",2011-09-16,4.446,0.82
"115",2011-09-19,9.622,64
"116",2011-09-30,6.232,3.3
"117",2011-10-06,6.944,2.9
"118",2011-10-12,7.484,70
"119",2011-10-26,6.992,3.9
"120",2011-11-03,7.548,17
"121",2011-11-08,3.12,5160
"122",2011-11-17,3.402,215
"123",2011-12-01,3.081,377
"124",2011-12-08,2.797,693
"125",2011-12-15,3.174,3840
"126",2012-01-05,3.196,177
"127",2012-01-11,3.164,820
"128",2012-01-19,2.711,234
"129",2012-01-25,2.293,4390
"130",2012-02-02,2.452,582
"131",2012-02-04,2.989,3050
"132",2012-02-16,3.029,769
"133",2012-03-01,3.068,266
"134",2012-03-12,2.416,2380
"135",2012-03-20,1.721,8820
"136",2012-03-29,2.048,792
"137",2012-04-12,2.692,189
"138",2012-04-15,3.497,187
"139",2012-04-26,2.791,64
"140",2012-05-01,2.895,93
"141",2012-05-10,2.971,21
"142",2012-05-16,3.079,10
"143",2012-05-24,3.009,5.7
"144",2012-06-01,5.787,4.9
"145",2012-06-05,4.28,72
"146",2012-06-14,4.356,2.4
"147",2012-06-21,4.171,1.2
"148",2012-06-28,4.783,0.36
"149",2012-07-12,5.7435,1.4
"150",2012-07-19,5.014,0.07
"151",2012-08-02,5.792,0.74
"152",2012-08-15,4.039,1.2
"153",2012-08-17,9.184,32
"154",2012-08-20,6.725,1.2
"155",2012-08-29,3.298,2.1
"156",2012-09-05,5.466,0.14
"157",2012-09-11,6.207,0.63
"158",2012-09-25,6.072,0.41
"159",2012-10-01,4.788,1.4
"160",2012-10-09,5.943,1.6
"161",2012-10-15,4.954,15
"162",2012-10-24,3.588,21
"163",2012-10-31,3.6255,9.4
"164",2012-11-07,4.021,6.7
"165",2012-11-14,6.255,7.6
"166",2012-11-28,4.52,7.1
"167",2012-12-05,7.437,17
"168",2012-12-12,6.178,7.4
"169",2013-01-04,3.877,68
"170",2013-01-10,4.681,45
"171",2013-01-15,3.33,297
"172",2013-01-23,3.715,67
"173",2013-01-30,1.886,4880
"174",2013-02-06,2.7615,275
"175",2013-02-11,3.001,952
"176",2013-02-20,3.299,350
"177",2013-02-27,3.467,883
"178",2013-03-06,3.172,296
"179",2013-03-10,3.168,2800
"180",2013-03-19,2.743,414
"181",2013-03-29,2.673,1260
"182",2013-04-03,2.6175,2220
"183",2013-04-11,2.631,1250
"184",2013-04-18,2.578,1730
"185",2013-04-24,2.545,610
"186",2013-04-27,2.45,2470
