"","Date","concentrations.SO4","Flow"
"1",2009-07-08,15.008,18
"2",2009-07-15,8.808,3.5
"3",2009-07-22,20.013,38
"4",2009-07-29,14.112,3.2
"5",2009-08-05,22.325,69
"6",2009-08-12,17.548,33
"7",2009-08-19,19.052,7.4
"8",2009-08-20,33.067,245
"9",2009-08-26,15.341,36
"10",2009-09-02,27.166,64
"11",2009-09-05,26.577,249
"12",2009-09-09,12.729,111
"13",2009-09-09,30.297,111
"14",2009-09-16,10.683,723
"15",2009-09-17,12.719,1020
"16",2009-09-22,4.981,10200
"17",2009-09-29,12.177,370
"18",2009-10-07,16.734,150
"19",2009-10-09,4.061,22800
"20",2009-10-14,7.306,2950
"21",2009-10-21,10.383,502
"22",2009-10-28,9.125,1550
"23",2009-11-04,8.066,797
"24",2009-11-11,9.584,330
"25",2009-11-18,9.932,564
"26",2009-11-24,10.492,368
"27",2009-12-02,10.727,267
"28",2009-12-09,11.726,264
"29",2009-12-16,10.708,188
"30",2009-12-22,10.692,141
"31",2009-12-31,9.862,712
"32",2010-01-06,10.17,386
"33",2010-01-13,11.028,222
"34",2010-01-20,12.413,211
"35",2010-01-27,9.04,805
"36",2010-02-04,13.59,1820
"37",2010-02-11,9.966,844
"38",2010-02-17,11.976,529
"39",2010-02-24,9.26,759
"40",2010-03-03,9.984,372
"41",2010-03-10,11.988,309
"42",2010-03-17,10.952,218
"43",2010-03-23,8.815,3770
"44",2010-03-31,8.2995,791
"45",2010-04-07,7.498,778
"46",2010-04-14,8.72,316
"47",2010-04-21,10.427,171
"48",2010-04-24,16.215,585
"49",2010-04-28,10.261,258
"50",2010-05-05,9.551,183
"51",2010-05-12,9.268,391
"52",2010-05-13,11.845,721
"53",2010-05-14,18.122,2700
"54",2010-05-15,7.21,7540
"55",2010-05-15,5.013,7540
"56",2010-05-17,5.697,2930
"57",2010-05-26,7.7275,986
"58",2010-06-02,9.075,234
"59",2010-06-09,12.307,116
"60",2010-06-16,10.116,116
"61",2010-06-24,10.912,46
"62",2010-07-08,16.443,32
"63",2010-07-13,6.675,4710
"64",2010-07-22,12.899,103
"65",2010-07-28,13.01,61
"66",2010-08-05,16.394,9.3
"67",2010-08-10,20.729,5
"68",2010-08-19,21.226,1.5
"69",2010-08-26,15.297,1.7
"70",2010-09-01,12.353,4.5
"71",2010-09-09,38.928,1990
"72",2010-09-16,9.722,502
"73",2010-09-22,9.269,90
"74",2010-09-29,11.979,56
"75",2010-10-06,13.454,18
"76",2010-10-14,14.71,13
"77",2010-10-20,27.646,32
"78",2010-10-27,30.206,32
"79",2010-11-02,22.803,21
"80",2010-11-10,16.043,21
"81",2010-11-17,14.645,22
"82",2010-11-30,11.518,249
"83",2010-12-07,10.33,114
"84",2010-12-14,11.014,61
"85",2010-12-19,11.278,46
"86",2011-01-05,11.921,222
"87",2011-01-11,14.373,111
"88",2011-01-18,12.706,67
"89",2011-01-25,14.3665,56
"90",2011-02-04,12.895,230
"91",2011-02-08,16.805,393
"92",2011-02-14,17.117,1240
"93",2011-02-25,9.867,1900
"94",2011-02-28,12.321,1570
"95",2011-03-04,12.937,685
"96",2011-03-14,15.241,957
"97",2011-03-29,7.525,400
"98",2011-04-06,6.355,580
"99",2011-04-11,10.997,3100
"100",2011-04-22,8.947,1130
"101",2011-04-23,6.867,3590
"102",2011-04-25,4.053,36600
"103",2011-04-26,3.903,20900
"104",2011-05-12,11.207,708
"105",2011-05-19,8.409,579
"106",2011-05-24,2.823,18500
"107",2011-06-08,12.312,197
"108",2011-06-15,13.566,92
"109",2011-07-15,24.153,4.7
"110",2011-07-21,20.672,1.3
"111",2011-08-18,25.146,13
"112",2011-09-01,23.8,1.9
"113",2011-09-08,17.937,0.87
"114",2011-09-16,12.592,0.82
"115",2011-09-19,54.182,64
"116",2011-09-30,37.011,3.3
"117",2011-10-06,38.844,2.9
"118",2011-10-12,42.535,70
"119",2011-10-26,46.857,3.9
"120",2011-11-03,53.775,17
"121",2011-11-08,13.432,5160
"122",2011-11-17,19.259,215
"123",2011-12-01,10.694,377
"124",2011-12-08,8.424,693
"125",2011-12-15,9.017,3840
"126",2012-01-05,11.229,177
"127",2012-01-11,15.432,820
"128",2012-01-19,10.042,234
"129",2012-01-25,7.935,4390
"130",2012-02-02,8.6095,582
"131",2012-02-04,7.918,3050
"132",2012-02-16,11.325,769
"133",2012-03-01,11.522,266
"134",2012-03-12,7.519,2380
"135",2012-03-20,4.997,8820
"136",2012-03-29,8.5385,792
"137",2012-04-12,11.131,189
"138",2012-04-15,18.968,187
"139",2012-04-26,10.282,64
"140",2012-05-01,12.571,93
"141",2012-05-10,13.306,21
"142",2012-05-16,13.561,10
"143",2012-05-24,10.329,5.7
"144",2012-06-01,28.9845,4.9
"145",2012-06-05,25.958,72
"146",2012-06-14,20.994,2.4
"147",2012-06-21,14.936,1.2
"148",2012-06-28,17.278,0.36
"149",2012-07-12,23.3135,1.4
"150",2012-07-19,17.719,0.07
"151",2012-08-02,21.931,0.74
"152",2012-08-15,7.96,1.2
"153",2012-08-17,35.855,32
"154",2012-08-20,25.388,1.2
"155",2012-08-29,20.747,2.1
"156",2012-09-05,31.404,0.14
"157",2012-09-11,35.693,0.63
"158",2012-09-25,37.437,0.41
"159",2012-10-01,23.92,1.4
"160",2012-10-09,40.687,1.6
"161",2012-10-15,32.835,15
"162",2012-10-24,15.429,21
"163",2012-10-31,15.6255,9.4
"164",2012-11-07,19.294,6.7
"165",2012-11-14,28.897,7.6
"166",2012-11-28,23.355,7.1
"167",2012-12-05,36.589,17
"168",2012-12-12,33.604,7.4
"169",2013-01-04,23.242,68
"170",2013-01-10,24.944,45
"171",2013-01-15,12.755,297
"172",2013-01-23,13.993,67
"173",2013-01-30,7.173,4880
"174",2013-02-06,10.101,275
"175",2013-02-11,12.669,952
"176",2013-02-20,13.151,350
"177",2013-02-27,13.166,883
"178",2013-03-06,11.04,296
"179",2013-03-10,17.36,2800
"180",2013-03-19,13.802,414
"181",2013-03-29,10.253,1260
"182",2013-04-03,10.3645,2220
"183",2013-04-11,12.308,1250
"184",2013-04-18,14.164,1730
"185",2013-04-24,10.376,610
"186",2013-04-27,12.909,2470
"187",2013-05-10,9.017,2620
"188",2013-05-21,11.877,4740
"189",2013-05-21,7.531,4740
"190",2013-05-30,11.893,546
"191",2013-06-06,8.7385,762
"192",2013-06-12,8.895,222
"193",2013-06-25,10.35,34
"194",2013-07-08,16.056,5.2
"195",2013-07-19,27.107,4.7
"196",2013-07-31,21.801,19
"197",2013-08-07,16.711,14
"198",2013-08-08,13.909,384
"199",2013-08-13,6.978,1690
"200",2013-08-20,6.637,141
"201",2013-08-28,7.152,8.7
"202",2013-09-04,6.839,2.2
"203",2013-09-11,5.703,0.01
"204",2013-09-18,6.563,0.04
"205",2013-09-20,13.8645,156
"206",2013-10-02,25.742,0.61
"207",2013-10-05,15.977,367
"208",2013-10-24,17.555,54
"209",2013-10-30,32.943,38
"210",2013-11-06,7.9,677
"211",2013-11-13,8.63,170
"212",2013-11-22,32.69,410
"213",2013-12-02,14.861,87
"214",2013-12-12,20.917,99
"215",2013-12-18,14.411,629
"216",2013-12-21,9.175,5300
"217",2014-01-09,17.302,374
"218",2014-01-10,18.966,1050
"219",2014-01-22,11.506,290
"220",2014-01-28,13.595,162
"221",2014-02-06,16.778,140
"222",2014-02-12,17.922,108
"223",2014-02-21,16.072,155
"224",2014-02-25,15.768,129
"225",2014-03-07,20.317,630
"226",2014-03-11,15.359,415
"227",2014-03-16,6.474,9150
"228",2014-03-27,11.8185,489
"229",2014-04-03,10.511,793
"230",2014-04-04,6.982,3180
"231",2014-04-07,6.614,3820
"232",2014-04-14,9.893,1400
"233",2014-04-22,8.877,521
"234",2014-04-28,9.835,442
"235",2014-05-09,8.391,644
"236",2014-05-13,11.233,1740
"237",2014-05-20,6.666,539
"238",2014-05-28,8.412,193
"239",2014-06-02,8.724,193
"240",2014-06-10,11.249,296
"241",2014-07-01,7.465,117
"242",2014-07-09,9.219,32
"243",2014-07-23,7.632,38
"244",2014-07-29,11.304,12
"245",2014-08-05,11.5,15
"246",2014-08-12,6.2155,303
"247",2014-08-19,8.949,49
"248",2014-08-27,8.904,13
"249",2014-09-02,22.364,274
"250",2014-09-10,18.9005,21
"251",2014-09-17,15.817,51
"252",2014-09-18,30.47,192
"253",2014-09-24,18.226,29
"254",2014-10-01,17.926,20
"255",2014-10-03,19.403,65
"256",2014-10-08,19.305,19
"257",2014-10-10,11.38,909
"258",2014-10-13,13.447,5050
"259",2014-10-22,10.865,255
"260",2014-10-29,14.124,96
"261",2014-11-04,19.764,292
"262",2014-11-12,1.458,176
"263",2014-11-19,13.711,62
"264",2014-12-05,10.665,181
"265",2014-12-10,11.035,290
"266",2014-12-17,11.203,551
"267",2015-01-04,7.741,1720
"268",2015-01-07,8.234,687
"269",2015-01-14,10.0215,276
"270",2015-01-21,11.661,146
"271",2015-01-28,12.546,85
"272",2015-02-04,15.423,128
"273",2015-02-11,13.514,87
"274",2015-02-25,14.246,298
"275",2015-03-05,8.659,1910
"276",2015-03-10,11.647,2080
"277",2015-03-14,5.734,6960
"278",2015-03-19,9.075,1410
"279",2015-03-26,9.498,3560
"280",2015-04-01,9.19,699
"281",2015-04-13,12.157,385
"282",2015-04-22,9.5445,578
"283",2015-04-24,15.556,583
"284",2015-04-29,10.647,274
"285",2015-05-08,16.856,857
"286",2015-05-11,5.644,13300
"287",2015-06-19,10.323,13000
