"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,18,15.008,2.89037175789616,2.70858339226387,-0.193301937506248,-0.194739722949723,0.767437236760852,0.65,0.794994479861794,-0.384815067810962,-0.340831601342018
"2",2009-07-15,3.5,8.808,1.25276296849537,2.17566039942038,-0.805431745500447,-0.818875644007273,NA,NA,NA,NA,NA
"3",2009-07-22,38,20.013,3.63758615972639,2.99638206239549,0.135658965965953,0.171650748757931,NA,NA,NA,NA,NA
"4",2009-07-29,3.2,14.112,1.16315080980568,2.64702549926444,-0.338875147180949,-0.349591632809953,NA,NA,NA,NA,NA
"5",2009-08-05,69,22.325,4.23410650459726,3.10570712676256,0.367339562193165,0.395386607577039,NA,NA,NA,NA,NA
"6",2009-08-12,33,17.548,3.49650756146648,2.86493998330397,-0.0141052934346955,0.020954394361778,NA,NA,NA,NA,NA
"7",2009-08-19,7.4,19.052,2.00148000021012,2.94717208293861,0.00323122730373537,-0.0123908915517394,NA,NA,NA,NA,NA
"8",2009-08-20,245,33.067,5.50125821054473,3.49853580621707,1.02440691123625,1.02843855693592,NA,NA,NA,NA,NA
"9",2009-08-26,36,15.341,3.58351893845611,2.73052898286264,-0.138111731486517,-0.102089343942851,NA,NA,NA,NA,NA
"10",2009-09-02,64,27.166,4.15888308335967,3.3019661914003,0.54591355453222,0.575593777584496,NA,NA,NA,NA,NA
"11",2009-09-05,249,26.577,5.51745289646471,3.280046180098,0.805442378587514,0.812211776794287,NA,NA,NA,NA,NA
"12",2009-09-09,111,12.729,4.70953020131233,2.5438828548883,-0.0564395499793036,-0.0682992896508257,NA,NA,NA,NA,NA
"13",2009-09-09,111,30.297,4.70953020131233,3.41104869771253,0.810726292844926,0.798866553173404,NA,NA,NA,NA,NA
"14",2009-09-16,723,10.683,6.58340922215876,2.36865369296375,-0.00585030930161379,-0.0363420737320568,NA,NA,NA,NA,NA
"15",2009-09-17,1020,12.719,6.92755790627832,2.54309693846935,0.165893287444707,0.15971734057986,NA,NA,NA,NA,NA
"16",2009-09-22,10200,4.981,9.23014299927236,1.60563067409115,-0.223772186649094,-0.215061210625633,NA,NA,NA,NA,NA
"17",2009-09-29,370,12.177,5.91350300563827,2.49954892652487,0.043634817767487,0.0773415403356879,NA,NA,NA,NA,NA
"18",2009-10-07,150,16.734,5.01063529409626,2.81744257787341,0.300774109584981,0.264014237809514,NA,NA,NA,NA,NA
"19",2009-10-09,22800,4.061,10.0345158149425,1.40142924870416,-0.00301240292021498,-0.0272844580262481,NA,NA,NA,NA,NA
"20",2009-10-14,2950,7.306,7.98956044933387,1.98869592837309,-0.285176607887588,-0.244112967434387,NA,NA,NA,NA,NA
"21",2009-10-21,502,10.383,6.21860011969173,2.34016985332132,-0.0748469759889878,-0.069077933181485,NA,NA,NA,NA,NA
"22",2009-10-28,1550,9.125,7.34601020991329,2.21101789946856,-0.157270429087905,-0.137869442593789,NA,NA,NA,NA,NA
"23",2009-11-04,797,8.066,6.68085467879022,2.08765769645118,-0.283377941472608,-0.311279189079969,NA,NA,NA,NA,NA
"24",2009-11-11,330,9.584,5.79909265446053,2.26009504137309,-0.205348086475744,-0.173195804663834,NA,NA,NA,NA,NA
"25",2009-11-18,564,9.932,6.33505425149806,2.29576186764592,-0.104888880998617,-0.113459447045743,NA,NA,NA,NA,NA
"26",2009-11-24,368,10.492,5.90808293816893,2.35061306200463,-0.105754596530833,-0.0720766046025005,NA,NA,NA,NA,NA
"27",2009-12-02,267,10.727,5.58724865840025,2.37276392761529,-0.104126806951788,-0.0856382776142173,NA,NA,NA,NA,NA
"28",2009-12-09,264,11.726,5.57594910314632,2.46180859854202,-0.0147874239145875,0.00191556402401183,NA,NA,NA,NA,NA
"29",2009-12-16,188,10.708,5.23644196282995,2.37099112565811,-0.109120921588156,-0.140571103471635,NA,NA,NA,NA,NA
"30",2009-12-22,141,10.692,4.94875989037817,2.36949579827667,-0.164022693088678,-0.195968037954215,NA,NA,NA,NA,NA
"31",2009-12-31,712,9.862,6.56807791141198,2.28868898780193,-0.0872013826578679,-0.117008954219978,NA,NA,NA,NA,NA
"32",2010-01-06,386,10.17,5.95583736946483,2.31944221006047,-0.132936448218564,-0.0991506275423513,NA,NA,NA,NA,NA
"33",2010-01-13,222,11.028,5.40267738187228,2.40043749316155,-0.0755672444921158,-0.0839986151085075,NA,NA,NA,NA,NA
"34",2010-01-20,211,12.413,5.35185813347607,2.51874431053381,0.0400594406393591,0.0264585674658577,NA,NA,NA,NA,NA
"35",2010-01-27,805,9.04,6.69084227741856,2.20165917440409,-0.169475634487761,-0.196628869047215,NA,NA,NA,NA,NA
"36",2010-02-04,1820,13.59,7.50659178007084,2.60933422816305,0.249140367569459,0.280745549992087,NA,NA,NA,NA,NA
"37",2010-02-11,844,9.966,6.73815249459596,2.29917929985921,-0.0731188926578472,-0.0960861719963582,NA,NA,NA,NA,NA
"38",2010-02-17,529,11.976,6.2709884318583,2.48290464711733,0.0752810672484938,0.0737469104968973,NA,NA,NA,NA,NA
"39",2010-02-24,759,9.26,6.63200177739563,2.22570404865809,-0.145891671601953,-0.176477863851717,NA,NA,NA,NA,NA
"40",2010-03-03,372,9.984,5.91889385427315,2.30098381162707,-0.15447929896111,-0.120748246511772,NA,NA,NA,NA,NA
"41",2010-03-10,309,11.988,5.73334127689775,2.48390614945442,0.0131229691909938,0.0434265910867606,NA,NA,NA,NA,NA
"42",2010-03-17,218,10.952,5.38449506278909,2.39352208798615,-0.0837817249916064,-0.0936728273796668,NA,NA,NA,NA,NA
