"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,18,0.34,2.89037175789616,-1.07880966137193,-0.24128110014341,-0.257120150189157,0.00328723359621815,0.7,0.00303740335726491,3.71154298335341,3.75409936097526
"2",2009-07-29,3.2,0.42,1.16315080980568,-0.867500567704723,-0.0146816157153935,-0.00630545736079835,NA,NA,NA,NA,NA
"3",2009-08-05,69,0.56,4.23410650459726,-0.579818495252942,0.135448847209517,0.143310812029124,NA,NA,NA,NA,NA
"4",2009-08-12,33,0.69,3.49650756146648,-0.371063681390832,0.425272245135213,0.41521385390584,NA,NA,NA,NA,NA
"5",2009-08-19,7.4,0.45,2.00148000021012,-0.798507696217772,0.0549463497519899,0.0520416064845075,NA,NA,NA,NA,NA
"6",2009-08-20,245,0.68,5.50125821054473,-0.385662480811985,0.201138764898594,0.194387321619533,NA,NA,NA,NA,NA
"7",2009-08-26,36,0.5,3.58351893845611,-0.693147180559945,0.0968850328146591,0.0868379987800292,NA,NA,NA,NA,NA
"8",2009-09-02,64,0.39,4.15888308335967,-0.941608539858445,-0.217399452522907,-0.211083886098321,NA,NA,NA,NA,NA
"9",2009-09-05,249,0.47,5.51745289646471,-0.755022584278033,-0.170632930611681,-0.176702536152117,NA,NA,NA,NA,NA
"10",2009-09-09,111,0.455,4.70953020131233,-0.787457860031187,-0.131289592341331,-0.115375827798252,NA,NA,NA,NA,NA
"11",2009-09-09,111,0.66,4.70953020131233,-0.415515443961666,0.24065282372819,0.256566588271269,NA,NA,NA,NA,NA
"12",2009-09-16,723,0.38,6.58340922215876,-0.967584026261706,-0.540525424486902,-0.539225808203893,NA,NA,NA,NA,NA
"13",2009-09-17,1020,0.43,6.92755790627832,-0.843970070294529,-0.471658659082232,-0.485748863724972,NA,NA,NA,NA,NA
"14",2009-09-22,10200,0.97,9.23014299927236,-0.0304592074847086,-0.0329683769348705,-0.017110100768878,NA,NA,NA,NA,NA
"15",2009-09-29,370,0.875,5.91350300563827,-0.133531392624523,0.400464964809239,0.40198906592892,NA,NA,NA,NA,NA
"16",2009-10-07,150,0.68,5.01063529409626,-0.385662480811985,0.260973801886283,0.252070572582074,NA,NA,NA,NA,NA
"17",2009-10-09,22800,0.84,10.0345158149425,-0.174353387144778,-0.100562039277509,-0.177863342863195,NA,NA,NA,NA,NA
"18",2009-10-14,2950,0.69,7.98956044933387,-0.371063681390832,-0.259350142005483,-0.229546036111367,NA,NA,NA,NA,NA
"19",2009-10-21,502,0.68,6.21860011969173,-0.385662480811985,0.0970537284719052,0.104678724534573,NA,NA,NA,NA,NA
"20",2009-10-28,1550,0.47,7.34601020991329,-0.755022584278033,-0.483574777723045,-0.492441626894925,NA,NA,NA,NA,NA
"21",2009-11-04,797,0.5,6.68085467879022,-0.693147180559945,-0.282006058049046,-0.283046895845496,NA,NA,NA,NA,NA
"22",2009-11-11,330,0.37,5.79909265446053,-0.994252273343867,-0.446569065296522,-0.444944652224789,NA,NA,NA,NA,NA
"23",2009-11-18,564,0.48,6.33505425149806,-0.7339691750802,-0.27225958008273,-0.262440040381655,NA,NA,NA,NA,NA
"24",2009-11-24,368,0.37,5.90808293816893,-0.994252273343867,-0.459539451368883,-0.458020707770108,NA,NA,NA,NA,NA
"25",2009-12-02,267,0.28,5.58724865840025,-1.27296567581289,-0.699034619692377,-0.701848434965741,NA,NA,NA,NA,NA
"26",2009-12-09,264,0.28,5.57594910314632,-1.27296567581289,-0.697359576633154,-0.700703284456064,NA,NA,NA,NA,NA
"27",2009-12-16,188,0.29,5.23644196282995,-1.23787435600162,-0.612049283946903,-0.62648249037681,NA,NA,NA,NA,NA
"28",2009-12-22,141,0.26,4.94875989037817,-1.34707364796661,-0.699253065924421,-0.702241559949686,NA,NA,NA,NA,NA
"29",2009-12-31,712,0.53,6.56807791141198,-0.63487827243597,-0.205649850167505,-0.203728894198461,NA,NA,NA,NA,NA
"30",2010-01-06,386,0.48,5.95583736946483,-0.7339691750802,-0.205927928240679,-0.204245030837657,NA,NA,NA,NA,NA
"31",2010-01-13,222,0.56,5.40267738187228,-0.579818495252942,0.0204688164279913,0.01152429757389,NA,NA,NA,NA,NA
"32",2010-01-20,211,0.44,5.35185813347607,-0.82098055206983,-0.213747592746425,-0.22343450057152,NA,NA,NA,NA,NA
"33",2010-01-27,805,0.65,6.69084227741856,-0.430782916092454,-0.0212388363718799,-0.0226309420087565,NA,NA,NA,NA,NA
"34",2010-02-04,1820,0.64,7.50659178007084,-0.446287102628419,-0.219091065683848,-0.218647196233327,NA,NA,NA,NA,NA
"35",2010-02-11,844,0.62,6.73815249459596,-0.478035800943,-0.0758186716312496,-0.0793158773556397,NA,NA,NA,NA,NA
"36",2010-02-17,529,0.6,6.2709884318583,-0.510825623765991,-0.0376810975478195,-0.028839115254327,NA,NA,NA,NA,NA
"37",2010-02-24,759,0.56,6.63200177739563,-0.579818495252942,-0.160488792272049,-0.160420851670188,NA,NA,NA,NA,NA
"38",2010-03-03,372,0.51,5.91889385427315,-0.673344553263766,-0.140070291599491,-0.138538049949382,NA,NA,NA,NA,NA
"39",2010-03-10,309,0.52,5.73334127689775,-0.653926467406664,-0.0989185850595734,-0.097571743314893,NA,NA,NA,NA,NA
"40",2010-03-17,218,0.49,5.38449506278909,-0.713349887877465,-0.110754254411076,-0.119779510133299,NA,NA,NA,NA,NA
"41",2010-03-23,3770,0.79,8.23483028044206,-0.23572233352107,-0.173550950235127,-0.129607789749998,NA,NA,NA,NA,NA
"42",2010-03-31,791,0.57,6.67329796776765,-0.562118918153541,-0.149754308435246,-0.15055493987687,NA,NA,NA,NA,NA
"43",2010-04-07,778,0.37,6.65672652417839,-0.994252273343867,-0.579153373186201,-0.579510678950132,NA,NA,NA,NA,NA
"44",2010-04-14,316,0.42,5.75574221358691,-0.867500567704723,-0.315004746654866,-0.31349604439105,NA,NA,NA,NA,NA
"45",2010-04-21,171,0.34,5.14166355650266,-1.07880966137193,-0.440092378233633,-0.456260606357324,NA,NA,NA,NA,NA
"46",2010-04-24,585,0.42,6.37161184723186,-0.867500567704723,-0.412052650536462,-0.402059833279351,NA,NA,NA,NA,NA
"47",2010-04-28,258,0.46,5.55295958492162,-0.776528789498996,-0.197478732757752,-0.201915416997206,NA,NA,NA,NA,NA
"48",2010-05-05,183,0.52,5.20948615284142,-0.653926467406664,-0.023951389386669,-0.0393438173448292,NA,NA,NA,NA,NA
"49",2010-05-12,391,0.44,5.96870755998537,-0.82098055206983,-0.294879161846063,-0.293092006376085,NA,NA,NA,NA,NA
"50",2010-05-13,721,0.56,6.58063913728495,-0.579818495252942,-0.152359926979355,-0.150954697415663,NA,NA,NA,NA,NA
"51",2010-05-14,2700,0.79,7.90100705199242,-0.23572233352107,-0.104093068176762,-0.0801831873914051,NA,NA,NA,NA,NA
"52",2010-05-15,7540,0.71,8.927977461002,-0.342490308946776,-0.344956653427017,-0.309508801456614,NA,NA,NA,NA,NA
"53",2010-05-15,7540,0.87,8.927977461002,-0.139262067333508,-0.141728411813749,-0.106280559843346,NA,NA,NA,NA,NA
"54",2010-05-17,2930,0.59,7.98275770201111,-0.527632742082372,-0.414414895207842,-0.38506134382644,NA,NA,NA,NA,NA
"55",2010-05-26,986,0.57,6.89365635460264,-0.562118918153541,-0.18395142799253,-0.196387051160714,NA,NA,NA,NA,NA
"56",2010-06-02,234,0.29,5.4553211153577,-1.23787435600162,-0.644456592521906,-0.652746145741461,NA,NA,NA,NA,NA
"57",2010-06-09,116,0.34,4.75359019110636,-1.07880966137193,-0.42599114725872,-0.411739390940925,NA,NA,NA,NA,NA
"58",2010-06-16,116,0.39,4.75359019110636,-0.941608539858445,-0.288790025745235,-0.27453826942744,NA,NA,NA,NA,NA
"59",2010-06-24,46,0.28,3.8286413964891,-1.27296567581289,-0.508375486984666,-0.512443507626256,NA,NA,NA,NA,NA
"60",2010-07-08,32,0.29,3.46573590279973,-1.23787435600162,-0.439599043029182,-0.449450172480393,NA,NA,NA,NA,NA
