"","Date","concentrations.TP","Flow"
"1",2009-07-08,0.03,18
"2",2009-07-15,0.034,3.5
"3",2009-07-22,0.054,38
"4",2009-07-29,0.03,3.2
"5",2009-08-05,0.03,69
"6",2009-08-12,0.074,33
"7",2009-08-19,0.054,7.4
"8",2009-08-20,0.236,245
"9",2009-08-26,0.052,36
"10",2009-09-02,0.058,64
"11",2009-09-05,0.028,249
"12",2009-09-09,0.063,111
"13",2009-09-09,0.104,111
"14",2009-09-16,0.068,723
"15",2009-09-17,0.074,1020
"16",2009-09-22,0.528,10200
"17",2009-09-29,0.049,370
"18",2009-10-07,0.064,150
"19",2009-10-09,0.424,22800
"20",2009-10-14,0.11,2950
"21",2009-10-21,0.032,502
"22",2009-10-28,0.044,1550
"23",2009-11-04,0.023,797
"24",2009-11-11,0.026,330
"25",2009-11-18,0.046,564
"26",2009-11-24,0.028,368
"27",2009-12-02,0.022,267
"28",2009-12-09,0.012,264
"29",2009-12-16,0.01,188
"30",2009-12-22,0.02,141
"31",2009-12-31,0.024,712
"32",2010-01-06,0.02,386
"33",2010-01-13,0.018,222
"34",2010-01-20,0.016,211
"35",2010-01-27,0.014,805
"36",2010-02-04,0.038,1820
"37",2010-02-11,0.018,844
"38",2010-02-17,0.018,529
"39",2010-02-24,0.024,759
"40",2010-03-03,0.01,372
"41",2010-03-10,0.018,309
"42",2010-03-17,0.038,218
"43",2010-03-23,0.134,3770
"44",2010-03-31,0.029,791
"45",2010-04-07,0.04,778
"46",2010-04-14,0.026,316
"47",2010-04-21,0.018,171
"48",2010-04-24,0.12,585
"49",2010-04-28,0.036,258
"50",2010-05-05,0.068,183
"51",2010-05-12,0.112,391
"52",2010-05-13,0.19,721
"53",2010-05-14,0.52,2700
"54",2010-05-15,0.238,7540
"55",2010-05-15,0.809,7540
"56",2010-05-17,0.146,2930
"57",2010-05-26,0.084,986
"58",2010-06-02,0.034,234
"59",2010-06-09,0.048,116
"60",2010-06-16,0.046,116
"61",2010-06-24,0.05,46
"62",2010-07-08,0.024,32
"63",2010-07-13,0.628,4710
"64",2010-07-22,0.03,103
"65",2010-07-28,0.038,61
"66",2010-08-05,0.038,9.3
"67",2010-08-10,0.046,5
"68",2010-08-19,0.028,1.5
"69",2010-08-26,0.066,1.7
"70",2010-09-01,0.052,4.5
"71",2010-09-09,0.248,1990
"72",2010-09-16,0.046,502
"73",2010-09-22,0.01,90
"74",2010-09-29,0.02,56
"75",2010-10-06,0.022,18
"76",2010-10-14,0.028,13
"77",2010-10-20,0.033,32
"78",2010-10-27,0.034,32
"79",2010-11-02,0.026,21
"80",2010-11-10,0.034,21
"81",2010-11-17,0.026,22
"82",2010-11-30,0.04,249
"83",2010-12-07,0.074,114
"84",2010-12-14,0.028,61
"85",2010-12-19,0.018,46
"86",2011-01-05,0.042,222
"87",2011-01-11,0.03,111
"88",2011-01-18,0.018,67
"89",2011-01-25,0.03,56
"90",2011-02-04,0.03,230
"91",2011-02-08,0.03,393
"92",2011-02-14,0.054,1240
"93",2011-02-25,0.198,1900
"94",2011-02-28,0.383,1570
"95",2011-03-04,0.106,685
"96",2011-03-14,0.09,957
"97",2011-03-29,0.024,400
"98",2011-04-06,0.044,580
"99",2011-04-11,0.204,3100
"100",2011-04-22,0.088,1130
"101",2011-04-23,0.136,3590
"102",2011-04-25,0.444,36600
"103",2011-04-26,1.26,20900
"104",2011-05-12,0.028,708
"105",2011-05-19,0.032,579
"106",2011-05-24,0.528,18500
"107",2011-06-08,0.028,197
"108",2011-06-15,0.026,92
"109",2011-07-15,0.036,4.7
"110",2011-07-21,0.026,1.3
"111",2011-07-29,0.04,1.3
"112",2011-08-03,0.03,0.36
"113",2011-08-11,0.052,43
"114",2011-08-18,0.038,13
"115",2011-09-01,0.048,1.9
"116",2011-09-08,0.014,0.87
"117",2011-09-16,0.02,0.82
"118",2011-09-19,0.072,64
"119",2011-09-30,0.018,3.3
"120",2011-10-06,0.02,2.9
"121",2011-10-12,0.04,70
"122",2011-10-26,0.024,3.9
"123",2011-11-03,0.034,17
"124",2011-11-08,0.248,5160
"125",2011-11-17,0.048,215
"126",2011-12-01,0.018,377
"127",2011-12-08,0.022,693
"128",2011-12-15,0.232,3840
"129",2012-01-05,0.018,177
"130",2012-01-11,0.026,820
"131",2012-01-19,0.018,234
"132",2012-01-25,0.28,4390
"133",2012-02-02,0.019,582
"134",2012-02-04,0.21,3050
"135",2012-02-16,0.022,769
"136",2012-03-01,0.022,266
"137",2012-03-12,0.052,2380
"138",2012-03-20,0.372,8820
"139",2012-03-29,0.022,792
"140",2012-04-12,0.002,189
"141",2012-04-15,0.038,187
"142",2012-04-26,0.022,64
"143",2012-05-01,0.03,93
"144",2012-05-10,0.034,21
"145",2012-05-16,0.024,10
"146",2012-05-24,0.022,5.7
"147",2012-06-01,0.029,4.9
"148",2012-06-05,0.034,72
"149",2012-06-14,0.034,2.4
"150",2012-06-21,0.034,1.2
"151",2012-06-28,0.062,0.36
"152",2012-07-12,0.021,1.4
"153",2012-07-19,0.034,0.07
"154",2012-08-02,0.044,0.74
"155",2012-08-15,0.026,1.2
"156",2012-08-17,0.09,32
"157",2012-08-20,0.032,1.2
"158",2012-08-29,0.058,2.1
"159",2012-09-05,0.044,0.14
"160",2012-09-11,0.038,0.63
"161",2012-09-25,0.036,0.41
"162",2012-10-01,0.024,1.4
"163",2012-10-09,0.026,1.6
