"","Date","concentrations.TSS","Flow"
"1",2009-07-08,4.6,18
"2",2009-07-15,4.9,3.5
"3",2009-07-22,13.7,38
"4",2009-07-29,5.5,3.2
"5",2009-08-05,5,69
"6",2009-08-12,22.5,33
"7",2009-08-19,13.1,7.4
"8",2009-08-20,120,245
"9",2009-08-26,11.6,36
"10",2009-09-02,14.1,64
"11",2009-09-05,60.8,249
"12",2009-09-09,18.15,111
"13",2009-09-09,45,111
"14",2009-09-16,23.2,723
"15",2009-09-17,23.7,1020
"16",2009-09-22,200.4,10200
"17",2009-09-29,9.7,370
"18",2009-10-07,15.2,150
"19",2009-10-09,151.2,22800
"20",2009-10-14,21.6,2950
"21",2009-10-21,4.9,502
"22",2009-10-28,9.7,1550
"23",2009-11-04,7.2,797
"24",2009-11-11,6.8,330
"25",2009-11-18,7.3,564
"26",2009-11-24,5.9,368
"27",2009-12-02,5.9,267
"28",2009-12-09,5,264
"29",2009-12-16,4.6,188
"30",2009-12-22,5.1,141
"31",2009-12-31,3,712
"32",2010-01-06,3.8,386
"33",2010-01-13,6.3,222
"34",2010-01-20,3.35,211
"35",2010-01-27,4.6,805
"36",2010-02-04,5.3,1820
"37",2010-02-11,1.7,844
"38",2010-02-17,2.9,529
"39",2010-02-24,4.2,759
"40",2010-03-03,4.2,372
"41",2010-03-10,8.1,309
"42",2010-03-17,7.7,218
"43",2010-03-23,33.8,3770
"44",2010-03-31,9.45,791
"45",2010-04-07,11.5,778
"46",2010-04-14,8.3,316
"47",2010-04-21,6.9,171
"48",2010-04-24,49.9,585
"49",2010-04-28,9.5,258
"50",2010-05-05,14.7,183
"51",2010-05-12,38.3,391
"52",2010-05-13,109.3,721
"53",2010-05-14,337.7,2700
"54",2010-05-15,85.9,7540
"55",2010-05-15,151.9,7540
"56",2010-05-17,44,2930
"57",2010-05-26,23.1,986
"58",2010-06-02,7.7,234
"59",2010-06-09,11.3,116
"60",2010-06-16,9.6,116
"61",2010-06-24,3.9,46
"62",2010-07-08,6.9,32
"63",2010-07-13,274.8,4710
"64",2010-07-22,7,103
"65",2010-07-28,7.4,61
"66",2010-08-05,6.6,9.3
"67",2010-08-10,5.9,5
"68",2010-08-19,4.6,1.5
"69",2010-08-26,18.95,1.7
"70",2010-09-01,9.2,4.5
"71",2010-09-09,161.7,1990
"72",2010-09-16,13.2,502
"73",2010-09-22,6.7,90
"74",2010-09-29,6,56
"75",2010-10-06,3.7,18
"76",2010-10-14,3,13
"77",2010-10-20,5.15,32
"78",2010-10-27,4.9,32
"79",2010-11-02,3.4,21
"80",2010-11-10,4.7,21
"81",2010-11-17,3.9,22
"82",2010-11-30,10.6,249
"83",2010-12-07,5.1,114
"84",2010-12-14,7.7,61
"85",2010-12-19,4.7,46
"86",2011-01-05,8.9,222
"87",2011-01-11,5.1,111
"88",2011-01-18,5.3,67
"89",2011-01-25,4.6,56
"90",2011-02-04,8.1,230
"91",2011-02-08,5.9,393
"92",2011-02-14,16.9,1240
"93",2011-02-25,73.7,1900
"94",2011-02-28,248.3,1570
"95",2011-03-04,67,685
"96",2011-03-14,44.1,957
"97",2011-03-29,7.8,400
"98",2011-04-06,11.7,580
"99",2011-04-11,126,3100
"100",2011-04-22,32.5,1130
"101",2011-04-23,146.7,3590
"102",2011-04-25,260.2,36600
"103",2011-04-26,606.5,20900
"104",2011-05-12,10.7,708
"105",2011-05-19,10.5,579
"106",2011-05-24,299.6,18500
"107",2011-06-08,6,197
"108",2011-07-15,1.3,4.7
"109",2011-07-21,3.6,1.3
"110",2011-07-29,5.7,1.3
"111",2011-08-03,3.9,0.36
"112",2011-08-11,10.9,43
"113",2011-08-18,3.9,13
"114",2011-09-01,7.4,1.9
"115",2011-09-08,5.3,0.87
"116",2011-09-16,4.5,0.82
"117",2011-09-19,27.3,64
"118",2011-09-30,3.1,3.3
"119",2011-10-06,1.9,2.9
"120",2011-10-12,12.8,70
"121",2011-10-26,3.5,3.9
"122",2011-11-03,3.8,17
"123",2011-11-08,252.3,5160
"124",2011-11-17,9.7,215
"125",2011-12-01,4.7,377
"126",2011-12-08,5.3,693
"127",2011-12-15,73.2,3840
"128",2012-01-05,5.5,177
"129",2012-01-11,12.2,820
"130",2012-01-19,5.7,234
"131",2012-01-25,127.7,4390
"132",2012-02-02,5.35,582
"133",2012-02-04,100.2,3050
"134",2012-02-16,7.7,769
"135",2012-03-01,8.7,266
"136",2012-03-12,41.5,2380
"137",2012-03-20,208.55,8820
"138",2012-03-29,6.65,792
"139",2012-04-12,6.4,189
"140",2012-04-15,31.1,187
"141",2012-04-26,3.9,64
"142",2012-05-01,8.2,93
"143",2012-05-10,5.8,21
"144",2012-05-16,5.5,10
"145",2012-05-24,4.9,5.7
"146",2012-06-01,3.2,4.9
"147",2012-06-05,10.3,72
"148",2012-06-14,4,2.4
"149",2012-06-21,4.9,1.2
"150",2012-06-28,7.6,0.36
"151",2012-07-12,2.45,1.4
"152",2012-07-19,5.9,0.07
"153",2012-08-02,8.6,0.74
"154",2012-08-15,6.9,1.2
"155",2012-08-17,28.7,32
"156",2012-08-20,2.5,1.2
"157",2012-08-29,9.3,2.1
"158",2012-09-05,7.1,0.14
"159",2012-09-11,4.5,0.63
"160",2012-09-25,4.9,0.41
"161",2012-10-01,3.7,1.4
"162",2012-10-09,1,1.6
"163",2012-10-15,23.4,15
"164",2012-10-24,5.3,21
"165",2012-10-31,3.2,9.4
"166",2012-11-07,3.2,6.7
"167",2012-11-14,3.4,7.6
"168",2012-11-28,2.3,7.1
"169",2012-12-05,11.9,17
"170",2012-12-12,2.1,7.4
"171",2013-01-04,4.4,68
"172",2013-01-10,3,45
"173",2013-01-15,7.1,297
"174",2013-01-23,5.7,67
"175",2013-01-30,357.3,4880
"176",2013-02-06,6.1,275
"177",2013-02-11,12.3,952
"178",2013-02-20,7.3,350
"179",2013-02-27,7.7,883
"180",2013-03-06,6.3,296
"181",2013-03-10,205.2,2800
"182",2013-03-19,7.9,414
"183",2013-03-29,5.6,1260
"184",2013-04-03,17.05,2220
"185",2013-04-11,20,1250
"186",2013-04-18,365.5,1730
"187",2013-04-24,6.6,610
"188",2013-04-27,64.5,2470
"189",2013-05-10,205.1,2620
"190",2013-05-21,53.3,4740
"191",2013-05-21,195.7,4740
"192",2013-05-30,14.5,546
"193",2013-06-06,8.6,762
"194",2013-06-12,4.9,222
"195",2013-06-25,4.9,34
"196",2013-07-08,2.2,5.2
"197",2013-07-19,1.93,4.7
"198",2013-07-31,4.5,19
"199",2013-08-07,5.4,14
"200",2013-08-08,121.8,384
"201",2013-08-13,28.5,1690
"202",2013-08-20,6.2,141
"203",2013-08-28,4.5,8.7
"204",2013-09-04,3.9,2.2
"205",2013-09-11,3.3,0.01
"206",2013-09-18,3.8,0.04
"207",2013-09-20,145.2,156
"208",2013-10-02,3.5,0.61
"209",2013-10-05,541.8,367
"210",2013-10-24,5.9,54
"211",2013-10-30,6.3,38
"212",2013-11-06,36.1,677
"213",2013-11-13,7.3,170
"214",2013-11-22,159.8,410
"215",2013-12-02,2.5,87
"216",2013-12-12,3.9,99
"217",2013-12-18,6.5,629
"218",2013-12-21,201.8,5300
"219",2014-01-09,3.5,374
"220",2014-01-10,58.3,1050
"221",2014-01-22,4.4,290
"222",2014-01-28,6.2,162
"223",2014-02-06,3.5,140
"224",2014-02-12,2.1,108
"225",2014-02-21,5.2,155
"226",2014-02-25,4.3,129
"227",2014-03-07,17,630
"228",2014-03-11,6.2,415
"229",2014-03-16,451.6,9150
"230",2014-03-27,6.75,489
"231",2014-04-03,12.6,793
"232",2014-04-04,275.9,3180
"233",2014-04-07,74.9,3820
"234",2014-04-14,16.9,1400
"235",2014-04-22,6.3,521
"236",2014-04-28,7.3,442
"237",2014-05-09,14.9,644
"238",2014-05-13,51.2,1740
"239",2014-05-20,9.1,539
"240",2014-05-28,6.95,193
"241",2014-06-02,9.1,193
"242",2014-06-10,10.9,296
"243",2014-07-01,6.8,117
"244",2014-07-09,5.6,32
"245",2014-07-23,5.2,38
"246",2014-07-29,4.1,12
"247",2014-08-05,4.5,15
"248",2014-08-12,17.65,303
"249",2014-08-19,5.5,49
"250",2014-08-27,3.8,13
"251",2014-09-02,67.2,274
"252",2014-09-10,7.15,21
"253",2014-09-17,4.6,51
"254",2014-09-18,26.8,192
"255",2014-09-24,5.3,29
"256",2014-10-01,4.5,20
"257",2014-10-03,9.4,65
