"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ","Flow"
"3",2009-07-22,38,0.31,-1.17118298150295,3.63758615972639,38
"5",2009-08-05,69,0.412,-0.886731929632611,4.23410650459726,69
"7",2009-08-19,7.4,0.218,-1.52326021619305,2.00148000021012,7.4
"8",2009-08-20,245,0.345,-1.06421086195078,5.50125821054473,245
"10",2009-09-02,64,0.159,-1.83885107676191,4.15888308335967,64
"13",2009-09-16,723,0.132,-2.02495335639577,6.58340922215876,723
"14",2009-09-17,1020,0.219,-1.51868354916564,6.92755790627832,1020
"15",2009-09-22,10200,0.564,-0.572701027484078,9.23014299927236,10200
"18",2009-10-09,22800,0.456,-0.785262469467751,10.0345158149425,22800
"19",2009-10-14,2950,0.462,-0.772190387900398,7.98956044933387,2950
"21",2009-10-28,1550,0.331,-1.10563690360507,7.34601020991329,1550
"35",2010-02-04,1820,0.533,-0.629233854816292,7.50659178007084,1820
"42",2010-03-23,3770,0.526,-0.642454066244427,8.23483028044206,3770
"47",2010-04-24,585,0.248,-1.39432653281715,6.37161184723186,585
"50",2010-05-12,391,0.237,-1.43969513784701,5.96870755998537,391
"51",2010-05-13,721,0.24,-1.42711635564015,6.58063913728495,721
"52",2010-05-14,2700,0.551,-0.596020469829223,7.90100705199242,2700
"53",2010-05-15,7540,0.303,-1.19402247347277,8.927977461002,7540
"54",2010-05-15,7540,0.252,-1.37832619147071,8.927977461002,7540
"61",2010-07-08,32,0.129,-2.04794287462046,3.46573590279973,32
"62",2010-07-13,4710,0.27,-1.30933331998376,8.45744318701046,4710
"69",2010-09-01,4.5,0.042,-3.17008566069877,1.50407739677627,4.5
"70",2010-09-09,1990,0.328,-1.11474167059799,7.59588991771854,1990
"76",2010-10-20,32,0.1495,-1.9004588861514,3.46573590279973,32
"89",2011-02-04,230,0.434,-0.834710744881732,5.4380793089232,230
"90",2011-02-08,393,0.476,-0.742337424750717,5.97380961186926,393
"91",2011-02-14,1240,0.718,-0.331285709933913,7.12286665859908,1240
"92",2011-02-25,1900,0.765,-0.267879445155601,7.54960916515453,1900
"93",2011-02-28,1570,0.673,-0.396009949337409,7.35883089834235,1570
"95",2011-03-14,957,0.577,-0.549913012474038,6.86380339145295,957
"98",2011-04-11,3100,0.234,-1.45243416362444,8.03915739047324,3100
"100",2011-04-23,3590,0.483,-0.727738625329564,8.18590748148232,3590
"101",2011-04-25,36600,0.47,-0.755022584278033,10.5078035193895,36600
"102",2011-04-26,20900,0.378,-0.972861083362549,9.9475044379529,20900
"105",2011-05-24,18500,0.358,-1.02722229258144,9.82552601106642,18500
"112",2011-08-11,43,0.06,-2.81341071676004,3.76120011569356,43
"117",2011-09-19,64,0.836,-0.179126665897435,4.15888308335967,64
"120",2011-10-12,70,0.095,-2.3538783873816,4.24849524204936,70
"122",2011-11-03,17,0.19,-1.66073120682165,2.83321334405622,17
"123",2011-11-08,5160,0.479,-0.736054681571222,8.54869185847561,5160
"127",2011-12-15,3840,0.936,-0.0661398025045449,8.25322764558177,3840
"129",2012-01-11,820,0.758,-0.277071893339765,6.7093043402583,820
"131",2012-01-25,4390,0.682,-0.382725621138675,8.38708450606922,4390
"133",2012-02-04,3050,0.683,-0.381260419411347,8.02289686960146,3050
"134",2012-02-16,769,0.779,-0.249744233111389,6.64509096950564,769
"136",2012-03-12,2380,0.384,-0.95711272639441,7.77485576666552,2380
"137",2012-03-20,8820,0.509,-0.675307262431614,9.08477714900084,8820
"142",2012-05-01,93,0.205,-1.58474529984373,4.53259949315326,93
"146",2012-06-01,4.9,0.108,-2.22562405185792,1.58923520511658,4.9
"147",2012-06-05,72,0.202,-1.59948758158093,4.27666611901606,72
"153",2012-08-17,32,0.01,-4.60517018598809,3.46573590279973,32
"158",2012-09-25,0.41,0.215,-1.53711725085447,-0.891598119283784,0.41
"159",2012-10-01,1.4,0.134,-2.00991547903123,0.336472236621213,1.4
"169",2013-01-04,68,0.15,-1.89711998488588,4.21950770517611,68
"171",2013-01-15,297,0.38,-0.967584026261706,5.6937321388027,297
"173",2013-01-30,4880,0.695,-0.363843433417345,8.49290049884719,4880
"175",2013-02-11,952,1.269,0.238229188732251,6.85856503479136,952
"177",2013-02-27,883,0.947,-0.0544561857960589,6.78332520060396,883
"179",2013-03-10,2800,0.639,-0.447850824604602,7.9373746961633,2800
"181",2013-03-29,1260,0.646,-0.436955775199535,7.13886699994552,1260
"182",2013-04-03,2220,0.8035,-0.21877809380457,7.70526247486633,2220
"183",2013-04-11,1250,0.626,-0.468404907882039,7.13089883029635,1250
"184",2013-04-18,1730,0.426,-0.853315932712767,7.45587668749182,1730
"186",2013-04-27,2470,0.429,-0.84629836005412,7.81197342962202,2470
"187",2013-05-10,2620,0.336,-1.09064411901893,7.87092959675514,2620
"188",2013-05-21,4740,0.405,-0.903868211875598,8.46379241468912,4740
"189",2013-05-21,4740,0.378,-0.972861083362549,8.46379241468912,4740
"196",2013-07-31,19,0.158,-1.84516024595517,2.94443897916644,19
"198",2013-08-08,384,0.358,-1.02722229258144,5.95064255258773,384
"199",2013-08-13,1690,0.608,-0.49758039701597,7.43248380791712,1690
"204",2013-09-18,0.04,0.143,-1.94491064872223,-3.2188758248682,0.04
"205",2013-09-20,156,0.3775,-0.974184710293058,5.04985600724954,156
"207",2013-10-05,367,0.424,-0.858021823750179,5.90536184805457,367
"210",2013-11-06,677,0.278,-1.2801341652915,6.51767127291227,677
"212",2013-11-22,410,0.278,-1.2801341652915,6.01615715969835,410
