"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ","Flow"
"2",2009-07-22,38,0.005,-5.29831736654804,3.63758615972639,38
"4",2009-08-05,69,0.008,-4.8283137373023,4.23410650459726,69
"6",2009-08-19,7.4,0.004,-5.52146091786225,2.00148000021012,7.4
"7",2009-08-20,245,0.011,-4.50986000618377,5.50125821054473,245
"9",2009-09-02,64,0.004,-5.52146091786225,4.15888308335967,64
"10",2009-09-05,249,0.007,-4.96184512992682,5.51745289646471,249
"13",2009-09-16,723,0.014,-4.26869794936688,6.58340922215876,723
"14",2009-09-17,1020,0.011,-4.50986000618377,6.92755790627832,1020
"15",2009-09-22,10200,0.031,-3.47376807449699,9.23014299927236,10200
"18",2009-10-09,22800,0.078,-2.55104645229255,10.0345158149425,22800
"19",2009-10-14,2950,0.026,-3.64965874096066,7.98956044933387,2950
"21",2009-10-28,1550,0.015,-4.19970507787993,7.34601020991329,1550
"32",2010-03-23,3770,0.025,-3.68887945411394,8.23483028044206,3770
"34",2010-05-13,721,0.009,-4.71053070164592,6.58063913728495,721
"35",2010-05-14,2700,0.021,-3.86323284125871,7.90100705199242,2700
"36",2010-05-15,7540,0.033,-3.41124771751566,8.927977461002,7540
"37",2010-05-15,7540,0.048,-3.03655426807425,8.927977461002,7540
"44",2010-07-08,32,0.006,-5.11599580975408,3.46573590279973,32
"45",2010-07-13,4710,0.043,-3.14655516328857,8.45744318701046,4710
"52",2010-09-01,4.5,0.003,-5.80914299031403,1.50407739677627,4.5
"53",2010-09-09,1990,0.005,-5.29831736654804,7.59588991771854,1990
"69",2011-02-04,230,0.012,-4.42284862919414,5.4380793089232,230
"70",2011-02-08,393,0.007,-4.96184512992682,5.97380961186926,393
"71",2011-02-14,1240,0.005,-5.29831736654804,7.12286665859908,1240
"72",2011-02-25,1900,0.034,-3.38139475436598,7.54960916515453,1900
"73",2011-02-28,1570,0.026,-3.64965874096066,7.35883089834235,1570
"75",2011-03-14,957,0.009,-4.71053070164592,6.86380339145295,957
"78",2011-04-11,3100,0.007,-4.96184512992682,8.03915739047324,3100
"80",2011-04-23,3590,0.013,-4.3428059215206,8.18590748148232,3590
"81",2011-04-25,36600,0.029,-3.54045944899566,10.5078035193895,36600
"82",2011-04-26,20900,0.03,-3.50655789731998,9.9475044379529,20900
"85",2011-05-24,18500,0.052,-2.95651156040071,9.82552601106642,18500
"90",2011-09-19,64,0.006,-5.11599580975408,4.15888308335967,64
"92",2011-10-12,70,0.007,-4.96184512992682,4.24849524204936,70
"93",2011-11-03,17,0.007,-4.96184512992682,2.83321334405622,17
"94",2011-11-08,5160,0.012,-4.42284862919414,8.54869185847561,5160
"98",2011-12-15,3840,0.032,-3.44201937618241,8.25322764558177,3840
"100",2012-01-11,820,0.006,-5.11599580975408,6.7093043402583,820
"101",2012-01-25,4390,0.043,-3.14655516328857,8.38708450606922,4390
"103",2012-02-04,3050,0.058,-2.84731226843572,8.02289686960146,3050
"104",2012-02-16,769,0.004,-5.52146091786225,6.64509096950564,769
"106",2012-03-12,2380,0.006,-5.11599580975408,7.77485576666552,2380
"107",2012-03-20,8820,0.028,-3.57555076880693,9.08477714900084,8820
"111",2012-06-01,4.9,0.008,-4.8283137373023,1.58923520511658,4.9
"112",2012-06-05,72,0.005,-5.29831736654804,4.27666611901606,72
"120",2012-10-01,1.4,0.005,-5.29831736654804,0.336472236621213,1.4
"128",2013-01-30,4880,0.012,-4.42284862919414,8.49290049884719,4880
"129",2013-02-11,952,0.003,-5.80914299031403,6.85856503479136,952
"130",2013-03-10,2800,0.008,-4.8283137373023,7.9373746961633,2800
"132",2013-03-29,1260,0.006,-5.11599580975408,7.13886699994552,1260
