"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ","Flow"
"3",2009-07-22,38,0.054,-2.91877123241786,3.63758615972639,38
"5",2009-08-05,69,0.03,-3.50655789731998,4.23410650459726,69
"7",2009-08-19,7.4,0.054,-2.91877123241786,2.00148000021012,7.4
"8",2009-08-20,245,0.236,-1.44392347395653,5.50125821054473,245
"10",2009-09-02,64,0.058,-2.84731226843572,4.15888308335967,64
"11",2009-09-05,249,0.028,-3.57555076880693,5.51745289646471,249
"14",2009-09-16,723,0.068,-2.68824757380603,6.58340922215876,723
"15",2009-09-17,1020,0.074,-2.60369018577797,6.92755790627832,1020
"16",2009-09-22,10200,0.528,-0.638658995275876,9.23014299927236,10200
"19",2009-10-09,22800,0.424,-0.858021823750179,10.0345158149425,22800
"20",2009-10-14,2950,0.11,-2.20727491318972,7.98956044933387,2950
"22",2009-10-28,1550,0.044,-3.12356564506388,7.34601020991329,1550
"36",2010-02-04,1820,0.038,-3.27016911925575,7.50659178007084,1820
"43",2010-03-23,3770,0.134,-2.00991547903123,8.23483028044206,3770
"48",2010-04-24,585,0.12,-2.12026353620009,6.37161184723186,585
"51",2010-05-12,391,0.112,-2.18925640768704,5.96870755998537,391
"52",2010-05-13,721,0.19,-1.66073120682165,6.58063913728495,721
"53",2010-05-14,2700,0.52,-0.653926467406664,7.90100705199242,2700
"54",2010-05-15,7540,0.238,-1.43548460531066,8.927977461002,7540
"55",2010-05-15,7540,0.809,-0.211956361923645,8.927977461002,7540
"62",2010-07-08,32,0.024,-3.72970144863419,3.46573590279973,32
"63",2010-07-13,4710,0.628,-0.465215112513938,8.45744318701046,4710
"70",2010-09-01,4.5,0.052,-2.95651156040071,1.50407739677627,4.5
"71",2010-09-09,1990,0.248,-1.39432653281715,7.59588991771854,1990
"77",2010-10-20,32,0.033,-3.41124771751566,3.46573590279973,32
"90",2011-02-04,230,0.03,-3.50655789731998,5.4380793089232,230
"91",2011-02-08,393,0.03,-3.50655789731998,5.97380961186926,393
"92",2011-02-14,1240,0.054,-2.91877123241786,7.12286665859908,1240
"93",2011-02-25,1900,0.198,-1.6194882482876,7.54960916515453,1900
"94",2011-02-28,1570,0.383,-0.959720289801491,7.35883089834235,1570
"96",2011-03-14,957,0.09,-2.40794560865187,6.86380339145295,957
"99",2011-04-11,3100,0.204,-1.58963528513792,8.03915739047324,3100
"101",2011-04-23,3590,0.136,-1.99510039324608,8.18590748148232,3590
"102",2011-04-25,36600,0.444,-0.811930716549912,10.5078035193895,36600
"103",2011-04-26,20900,1.26,0.231111720963387,9.9475044379529,20900
"106",2011-05-24,18500,0.528,-0.638658995275876,9.82552601106642,18500
"113",2011-08-11,43,0.052,-2.95651156040071,3.76120011569356,43
"118",2011-09-19,64,0.072,-2.63108915996608,4.15888308335967,64
"121",2011-10-12,70,0.04,-3.2188758248682,4.24849524204936,70
"123",2011-11-03,17,0.034,-3.38139475436598,2.83321334405622,17
"124",2011-11-08,5160,0.248,-1.39432653281715,8.54869185847561,5160
