"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.9,0.174054296008986,5,0.75,0.141435786251758,5,0.35,0.150251489856446,5,0.55,0.0923834069384271,5,0.5,0.115369857768971,5,0.7,0.101322882561701,5,0.75,0.107972974698793
"folds.6",6,0.85,0.129917556275399,6,0.85,0.129362644830535,6,0.55,0.132822576148386,6,0.55,0.100615453026636,6,0.6,0.106181400423607,6,0.55,0.113407338782796,6,0.55,0.101644639076841
"folds.7",7,0.9,0.134558992449333,7,0.8,0.158062245553414,7,0.45,0.143174647168543,7,0.6,0.0980212388480482,7,0.6,0.11647895491794,7,0.65,0.106445348629698,7,0.75,0.100020406081225
"folds.8",8,0.85,0.107972974698793,8,0.75,0.165233292094319,8,0.6,0.0943560343830208,8,0.65,0.0905989142611882,8,0.6,0.104764069241709,8,0.7,0.119249352884053,8,0.7,0.0924496553563625
"folds.9",9,0.9,0.114057808472149,9,0.75,0.109381377365097,9,0.55,0.142585455937476,9,0.5,0.0914118288241713,9,0.6,0.0987730856507966,9,0.7,0.114624497862386,9,0.75,0.0923668374096527
"folds.10",10,0.9,0.126495139859851,10,0.9,0.137858993325848,10,0.45,0.114325885796985,10,0.6,0.0932464367103841,10,0.6,0.125442075420149,10,0.7,0.105772184916644,10,0.6,0.0864787339672097
"folds.11",11,0.9,0.0792889317236495,11,0.7,0.127118777816141,11,0.7,0.135902125646003,11,0.55,0.0777555037752759,11,0.6,0.1141472375344,11,0.6,0.100081599360783,11,0.75,0.107646435621626
"folds.12",12,0.85,0.0877380144730519,12,0.75,0.14563022785571,12,0.45,0.11383841036078,12,0.55,0.0865966488487674,12,0.55,0.10259888211986,12,0.7,0.107897343501561,12,0.75,0.110176111340908
"folds.13",13,0.8,0.0788695642390987,13,0.75,0.108062717994728,13,0.65,0.124232336649472,13,0.55,0.0736857641389074,13,0.6,0.0726748419541537,13,0.5,0.102100390772604,13,0.75,0.109642275475423
"folds.14",14,0.9,0.0873007936471861,14,0.75,0.120373568188234,14,0.55,0.102145354614822,14,0.6,0.0790569415042095,14,0.6,0.0943560343830208,14,0.75,0.109805022003289,14,0.6,0.0910539198855854
"folds.15",15,0.9,0.110310322939146,15,0.9,0.116097249875143,15,0.5,0.12997644998622,15,0.6,0.0660936256150226,15,0.55,0.0986076537990591,15,0.55,0.108345629862049,15,0.7,0.0974993458900089
"folds.16",16,0.9,0.0819469714049823,16,0.9,0.11784199036794,16,0.6,0.107972974698793,16,0.65,0.0823692532292907,16,0.55,0.0948737076758533,16,0.5,0.113191187368802,16,0.8,0.10678989480589
"folds.17",17,0.9,0.0703054559963673,17,0.75,0.118790675096137,17,0.7,0.110361188090446,17,0.55,0.0776175868983207,17,0.6,0.0789988375011342,17,0.75,0.116850680925072,17,0.75,0.097567349841543
"folds.18",18,0.9,0.082065180664829,18,0.75,0.114593335988884,18,0.55,0.106445348629698,18,0.6,0.086076615137152,18,0.6,0.0916125381312904,18,0.55,0.107266595214818,18,0.7,0.0788242685099104
"folds.19",19,0.9,0.0676425177242955,19,0.7,0.118773493916542,19,0.6,0.113730795642829,19,0.55,0.0723159168975592,19,0.6,0.0885022771527631,19,0.55,0.103588668515905,19,0.75,0.0948952161113316
