Date,Flow
2009-07-01,34
2009-07-02,29
2009-07-03,78
2009-07-04,92
2009-07-05,91
2009-07-06,46
2009-07-07,26
2009-07-08,18
2009-07-09,15
2009-07-10,12
2009-07-11,6.2
2009-07-12,6.8
2009-07-13,6
2009-07-14,5.7
2009-07-15,3.5
2009-07-16,3.2
2009-07-17,3
2009-07-18,2.9
2009-07-19,2.8
2009-07-20,5.6
2009-07-21,90
2009-07-22,38
2009-07-23,9.6
2009-07-24,5.1
2009-07-25,3.5
2009-07-26,3.2
2009-07-27,4.3
2009-07-28,4.3
2009-07-29,3.2
2009-07-30,85
2009-07-31,87
2009-08-01,37
2009-08-02,18
2009-08-03,7.1
2009-08-04,3.8
2009-08-05,69
2009-08-06,447
2009-08-07,76
2009-08-08,23
2009-08-09,8.3
2009-08-10,11
2009-08-11,84
2009-08-12,33
2009-08-13,16
2009-08-14,7.3
2009-08-15,6.1
2009-08-16,4.6
2009-08-17,3.1
2009-08-18,3.1
2009-08-19,7.4
2009-08-20,245
2009-08-21,391
2009-08-22,184
2009-08-23,116
2009-08-24,82
2009-08-25,54
2009-08-26,36
2009-08-27,25
2009-08-28,126
2009-08-29,112
2009-08-30,51
2009-08-31,21
2009-09-01,13
2009-09-02,64
2009-09-03,77
2009-09-04,40
2009-09-05,249
2009-09-06,336
2009-09-07,173
2009-09-08,118
2009-09-09,111
2009-09-10,501
2009-09-11,443
2009-09-12,302
2009-09-13,230
2009-09-14,197
2009-09-15,183
2009-09-16,723
2009-09-17,1020
2009-09-18,719
2009-09-19,524
2009-09-20,415
2009-09-21,440
2009-09-22,10200
2009-09-23,1990
2009-09-24,1150
2009-09-25,856
2009-09-26,677
2009-09-27,557
2009-09-28,460
2009-09-29,370
2009-09-30,295
2009-10-01,245
2009-10-02,224
2009-10-03,174
2009-10-04,145
2009-10-05,118
2009-10-06,192
2009-10-07,150
2009-10-08,1000
2009-10-09,22800
2009-10-10,3820
2009-10-11,1840
2009-10-12,1330
2009-10-13,2730
2009-10-14,2950
2009-10-15,1770
2009-10-16,1270
2009-10-17,980
2009-10-18,792
2009-10-19,671
2009-10-20,574
2009-10-21,502
2009-10-22,987
2009-10-23,1790
2009-10-24,1200
2009-10-25,932
2009-10-26,895
2009-10-27,1570
2009-10-28,1550
2009-10-29,2250
2009-10-30,7510
2009-10-31,2530
2009-11-01,1620
2009-11-02,1220
2009-11-03,967
2009-11-04,797
2009-11-05,672
2009-11-06,586
2009-11-07,518
2009-11-08,461
2009-11-09,410
2009-11-10,367
2009-11-11,330
2009-11-12,298
2009-11-13,273
2009-11-14,250
2009-11-15,247
2009-11-16,866
2009-11-17,702
2009-11-18,564
2009-11-19,485
2009-11-20,437
2009-11-21,421
2009-11-22,385
2009-11-23,354
2009-11-24,368
2009-11-25,406
2009-11-26,360
2009-11-27,328
2009-11-28,310
2009-11-29,300
2009-11-30,313
2009-12-01,289
2009-12-02,267
2009-12-03,250
2009-12-04,228
2009-12-05,206
2009-12-06,194
2009-12-07,182
2009-12-08,203
2009-12-09,264
2009-12-10,262
2009-12-11,237
2009-12-12,231
2009-12-13,228
2009-12-14,218
2009-12-15,205
2009-12-16,188
2009-12-17,175
2009-12-18,166
2009-12-19,159
2009-12-20,155
2009-12-21,145
2009-12-22,141
2009-12-23,148
2009-12-24,664
2009-12-25,3120
2009-12-26,1570
2009-12-27,1140
2009-12-28,890
2009-12-29,756
2009-12-30,696
2009-12-31,712
2010-01-01,650
2010-01-02,570
2010-01-03,523
2010-01-04,473
2010-01-05,416
2010-01-06,386
2010-01-07,360
2010-01-08,334
2010-01-09,308
2010-01-10,282
2010-01-11,256
2010-01-12,233
2010-01-13,222
2010-01-14,222
2010-01-15,228
2010-01-16,239
2010-01-17,233
2010-01-18,216
2010-01-19,200
2010-01-20,211
2010-01-21,1650
2010-01-22,1050
2010-01-23,835
2010-01-24,1580
2010-01-25,1260
2010-01-26,973
2010-01-27,805
2010-01-28,713
2010-01-29,1030
2010-01-30,910
2010-01-31,780
2010-02-01,800
2010-02-02,888
2010-02-03,1050
2010-02-04,1820
2010-02-05,2830
2010-02-06,2110
2010-02-07,1530
2010-02-08,1330
2010-02-09,1170
2010-02-10,950
2010-02-11,844
2010-02-12,776
2010-02-13,760
2010-02-14,728
2010-02-15,650
2010-02-16,574
2010-02-17,529
2010-02-18,489
2010-02-19,458
2010-02-20,432
2010-02-21,710
2010-02-22,1250
2010-02-23,905
2010-02-24,759
2010-02-25,659
2010-02-26,598
2010-02-27,542
2010-02-28,487
2010-03-01,441
2010-03-02,406
2010-03-03,372
2010-03-04,340
2010-03-05,314
2010-03-06,287
2010-03-07,265
2010-03-08,254
2010-03-09,291
2010-03-10,309
2010-03-11,311
2010-03-12,294
2010-03-13,283
2010-03-14,267
2010-03-15,248
2010-03-16,231
2010-03-17,218
2010-03-18,210
2010-03-19,201
2010-03-20,493
2010-03-21,1680
2010-03-22,2070
2010-03-23,3770
2010-03-24,3250
2010-03-25,3270
2010-03-26,2360
2010-03-27,1620
2010-03-28,1380
2010-03-29,1110
2010-03-30,932
2010-03-31,791
2010-04-01,691
2010-04-02,723
2010-04-03,1930
2010-04-04,1370
2010-04-05,1090
2010-04-06,906
2010-04-07,778
2010-04-08,668
2010-04-09,570
2010-04-10,498
2010-04-11,443
2010-04-12,395
2010-04-13,354
2010-04-14,316
2010-04-15,283
2010-04-16,255
2010-04-17,236
2010-04-18,219
2010-04-19,215
2010-04-20,190
2010-04-21,171
2010-04-22,158
2010-04-23,155
2010-04-24,585
2010-04-25,712
2010-04-26,410
2010-04-27,311
2010-04-28,258
2010-04-29,221
2010-04-30,384
2010-05-01,854
2010-05-02,425
2010-05-03,302
2010-05-04,232
2010-05-05,183
2010-05-06,154
2010-05-07,119
2010-05-08,103
2010-05-09,91
2010-05-10,247
2010-05-11,419
2010-05-12,391
2010-05-13,721
2010-05-14,2700
2010-05-15,7540
2010-05-16,4390
2010-05-17,2930
2010-05-18,1680
2010-05-19,1230
2010-05-20,7420
2010-05-21,3140
2010-05-22,1780
2010-05-23,1290
2010-05-24,1000
2010-05-25,1020
2010-05-26,986
2010-05-27,766
2010-05-28,570
2010-05-29,461
2010-05-30,381
2010-05-31,336
2010-06-01,284
2010-06-02,234
2010-06-03,195
2010-06-04,167
2010-06-05,143
2010-06-06,121
2010-06-07,185
2010-06-08,158
2010-06-09,116
2010-06-10,100
2010-06-11,260
2010-06-12,390
2010-06-13,234
2010-06-14,168
2010-06-15,143
2010-06-16,116
2010-06-17,93
2010-06-18,77
2010-06-19,80
2010-06-20,55
2010-06-21,48
2010-06-22,39
2010-06-23,32
2010-06-24,46
2010-06-25,55
2010-06-26,28
2010-06-27,23
2010-06-28,72
2010-06-29,32
2010-06-30,22
2010-07-01,21
2010-07-02,17
2010-07-03,18
2010-07-04,27
2010-07-05,18
2010-07-06,18
2010-07-07,24
2010-07-08,32
2010-07-09,233
2010-07-10,202
2010-07-11,93
2010-07-12,71
2010-07-13,4710
2010-07-14,776
2010-07-15,404
2010-07-16,1670
2010-07-17,765
2010-07-18,381
2010-07-19,243
2010-07-20,172
2010-07-21,131
2010-07-22,103
2010-07-23,81
2010-07-24,66
2010-07-25,57
2010-07-26,51
2010-07-27,74
2010-07-28,61
2010-07-29,45
2010-07-30,38
2010-07-31,28
2010-08-01,26
2010-08-02,27
2010-08-03,17
2010-08-04,12
2010-08-05,9.3
2010-08-06,8.6
2010-08-07,7.8
2010-08-08,6.5
2010-08-09,5.6
2010-08-10,5
2010-08-11,3.2
2010-08-12,3.4
2010-08-13,3.1
2010-08-14,2.6
2010-08-15,2
2010-08-16,1.8
2010-08-17,1.8
2010-08-18,1.7
2010-08-19,1.5
2010-08-20,2.2
2010-08-21,2.2
2010-08-22,1.8
2010-08-23,1.7
2010-08-24,1.7
2010-08-25,1.6
2010-08-26,1.7
2010-08-27,1.8
2010-08-28,2.1
2010-08-29,2.9
2010-08-30,3.5
2010-08-31,4
2010-09-01,4.5
2010-09-02,37
2010-09-03,5.1
2010-09-04,3.4
2010-09-05,1.9
2010-09-06,1.5
2010-09-07,1.5
2010-09-08,2.7
2010-09-09,1990
2010-09-10,1990
2010-09-11,769
2010-09-12,530
2010-09-13,326
2010-09-14,340
2010-09-15,756
2010-09-16,502
2010-09-17,346
2010-09-18,253
2010-09-19,189
2010-09-20,146
2010-09-21,112
2010-09-22,90
2010-09-23,74
2010-09-24,214
2010-09-25,124
2010-09-26,90
2010-09-27,77
2010-09-28,64
2010-09-29,56
2010-09-30,45
2010-10-01,39
2010-10-02,31
2010-10-03,27
2010-10-04,23
2010-10-05,21
2010-10-06,18
2010-10-07,17
2010-10-08,15
2010-10-09,14
2010-10-10,12
2010-10-11,12
2010-10-12,11
2010-10-13,12
2010-10-14,13
2010-10-15,14
2010-10-16,18
2010-10-17,16
2010-10-18,14
2010-10-19,44
2010-10-20,32
2010-10-21,16
2010-10-22,18
2010-10-23,32
2010-10-24,87
2010-10-25,52
2010-10-26,28
2010-10-27,32
2010-10-28,30
2010-10-29,29
2010-10-30,28
2010-10-31,28
2010-11-01,20
2010-11-02,21
2010-11-03,20
2010-11-04,17
2010-11-05,17
2010-11-06,18
2010-11-07,17
2010-11-08,21
2010-11-09,20
