"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2009-07-08,18,0.002,-6.21460809842219,2.89037175789616
"2",2009-07-15,3.5,0.007,-4.96184512992682,1.25276296849537
"3",2009-07-22,38,0.005,-5.29831736654804,3.63758615972639
"4",2009-07-29,3.2,0.004,-5.52146091786225,1.16315080980568
"5",2009-08-05,69,0.008,-4.8283137373023,4.23410650459726
"6",2009-08-12,33,0.006,-5.11599580975408,3.49650756146648
"7",2009-08-19,7.4,0.004,-5.52146091786225,2.00148000021012
"8",2009-08-20,245,0.011,-4.50986000618377,5.50125821054473
"9",2009-08-26,36,0.003,-5.80914299031403,3.58351893845611
"10",2009-09-02,64,0.004,-5.52146091786225,4.15888308335967
"11",2009-09-05,249,0.007,-4.96184512992682,5.51745289646471
"12",2009-09-09,111,0.007,-4.96184512992682,4.70953020131233
"13",2009-09-09,111,0.013,-4.3428059215206,4.70953020131233
"14",2009-09-16,723,0.014,-4.26869794936688,6.58340922215876
"15",2009-09-17,1020,0.011,-4.50986000618377,6.92755790627832
"16",2009-09-22,10200,0.031,-3.47376807449699,9.23014299927236
"17",2009-09-29,370,0.004,-5.52146091786225,5.91350300563827
"18",2009-10-07,150,0.011,-4.50986000618377,5.01063529409626
"19",2009-10-09,22800,0.078,-2.55104645229255,10.0345158149425
"20",2009-10-14,2950,0.026,-3.64965874096066,7.98956044933387
"21",2009-10-21,502,0.004,-5.52146091786225,6.21860011969173
"22",2009-10-28,1550,0.015,-4.19970507787993,7.34601020991329
"23",2009-11-04,797,0.0065,-5.03595310208055,6.68085467879022
"24",2009-11-11,330,0.002,-6.21460809842219,5.79909265446053
"25",2009-11-18,564,0.005,-5.29831736654804,6.33505425149806
"26",2009-11-24,368,0.005,-5.29831736654804,5.90808293816893
"27",2009-12-02,267,0.002,-6.21460809842219,5.58724865840025
"28",2009-12-09,264,0.002,-6.21460809842219,5.57594910314632
"29",2009-12-16,188,0.003,-5.80914299031403,5.23644196282995
"30",2009-12-22,141,0.002,-6.21460809842219,4.94875989037817
"31",2009-12-31,712,0.005,-5.29831736654804,6.56807791141198
"32",2010-01-06,386,0.006,-5.11599580975408,5.95583736946483
"33",2010-01-13,222,0.002,-6.21460809842219,5.40267738187228
"34",2010-01-20,211,0.002,-6.21460809842219,5.35185813347607
"35",2010-01-27,805,0.002,-6.21460809842219,6.69084227741856
"36",2010-02-04,1820,0.002,-6.21460809842219,7.50659178007084
"37",2010-02-11,844,0.005,-5.29831736654804,6.73815249459596
"38",2010-02-17,529,0.003,-5.80914299031403,6.2709884318583
"39",2010-02-24,759,0.002,-6.21460809842219,6.63200177739563
"40",2010-03-03,372,0.004,-5.52146091786225,5.91889385427315
"41",2010-03-10,309,0.008,-4.8283137373023,5.73334127689775
"42",2010-03-17,218,0.002,-6.21460809842219,5.38449506278909
"43",2010-03-23,3770,0.025,-3.68887945411394,8.23483028044206
"44",2010-03-31,791,0.002,-6.21460809842219,6.67329796776765
"45",2010-04-07,778,0.002,-6.21460809842219,6.65672652417839
"46",2010-04-14,316,0.002,-6.21460809842219,5.75574221358691
"47",2010-04-21,171,0.002,-6.21460809842219,5.14166355650266
"48",2010-04-24,585,0.001,-6.90775527898214,6.37161184723186
"49",2010-04-28,258,0.002,-6.21460809842219,5.55295958492162
"50",2010-05-05,183,0.006,-5.11599580975408,5.20948615284142
"51",2010-05-12,391,0.002,-6.21460809842219,5.96870755998537
"52",2010-05-13,721,0.009,-4.71053070164592,6.58063913728495
"53",2010-05-14,2700,0.021,-3.86323284125871,7.90100705199242
"54",2010-05-15,7540,0.033,-3.41124771751566,8.927977461002
"55",2010-05-15,7540,0.048,-3.03655426807425,8.927977461002
"56",2010-05-17,2930,0.018,-4.01738352108597,7.98275770201111
"57",2010-05-26,986,0.0085,-4.76768911548587,6.89365635460264
"58",2010-06-02,234,0.004,-5.52146091786225,5.4553211153577
"59",2010-06-09,116,0.008,-4.8283137373023,4.75359019110636
"60",2010-06-16,116,0.004,-5.52146091786225,4.75359019110636
"61",2010-06-24,46,0.009,-4.71053070164592,3.8286413964891
"62",2010-07-08,32,0.006,-5.11599580975408,3.46573590279973
"63",2010-07-13,4710,0.043,-3.14655516328857,8.45744318701046
"64",2010-07-22,103,0.004,-5.52146091786225,4.63472898822964
"65",2010-07-28,61,0.003,-5.80914299031403,4.11087386417331
"66",2010-08-05,9.3,0.007,-4.96184512992682,2.23001440015921
"67",2010-08-10,5,0.003,-5.80914299031403,1.6094379124341
"68",2010-08-19,1.5,0.005,-5.29831736654804,0.405465108108164
"69",2010-08-26,1.7,0.0065,-5.03595310208055,0.53062825106217
"70",2010-09-01,4.5,0.003,-5.80914299031403,1.50407739677627
"71",2010-09-09,1990,0.005,-5.29831736654804,7.59588991771854
"72",2010-09-16,502,0.01,-4.60517018598809,6.21860011969173
"73",2010-09-22,90,0.001,-6.90775527898214,4.49980967033027
"74",2010-09-29,56,0.004,-5.52146091786225,4.02535169073515
"75",2010-10-06,18,0.013,-4.3428059215206,2.89037175789616
"76",2010-10-14,13,0.004,-5.52146091786225,2.56494935746154
"77",2010-10-20,32,0.002,-6.21460809842219,3.46573590279973
"78",2010-10-27,32,0.008,-4.8283137373023,3.46573590279973
"79",2010-11-02,21,0.006,-5.11599580975408,3.04452243772342
"80",2010-11-10,21,0.005,-5.29831736654804,3.04452243772342
"81",2010-11-17,22,0.007,-4.96184512992682,3.09104245335832
"82",2010-11-30,249,0.008,-4.8283137373023,5.51745289646471
"83",2010-12-07,114,0.004,-5.52146091786225,4.7361984483945
"84",2010-12-14,61,0.003,-5.80914299031403,4.11087386417331
"85",2010-12-19,46,0.009,-4.71053070164592,3.8286413964891
"86",2011-01-05,222,0.004,-5.52146091786225,5.40267738187228
"87",2011-01-11,111,0.006,-5.11599580975408,4.70953020131233
"88",2011-01-18,67,0.002,-6.21460809842219,4.20469261939097
"89",2011-01-25,56,0.005,-5.29831736654804,4.02535169073515
"90",2011-02-04,230,0.012,-4.42284862919414,5.4380793089232
"91",2011-02-08,393,0.007,-4.96184512992682,5.97380961186926
"92",2011-02-14,1240,0.005,-5.29831736654804,7.12286665859908
"93",2011-02-25,1900,0.034,-3.38139475436598,7.54960916515453
"94",2011-02-28,1570,0.026,-3.64965874096066,7.35883089834235
"95",2011-03-04,685,0.014,-4.26869794936688,6.52941883826223
"96",2011-03-14,957,0.009,-4.71053070164592,6.86380339145295
"97",2011-03-29,400,0.004,-5.52146091786225,5.99146454710798
"98",2011-04-06,580,0.007,-4.96184512992682,6.36302810354046
"99",2011-04-11,3100,0.007,-4.96184512992682,8.03915739047324
"100",2011-04-22,1130,0.009,-4.71053070164592,7.02997291170639
"101",2011-04-23,3590,0.013,-4.3428059215206,8.18590748148232
"102",2011-04-25,36600,0.029,-3.54045944899566,10.5078035193895
"103",2011-04-26,20900,0.03,-3.50655789731998,9.9475044379529
"104",2011-05-12,708,0.005,-5.29831736654804,6.56244409369372
"105",2011-05-19,579,0.003,-5.80914299031403,6.361302477573
"106",2011-05-24,18500,0.052,-2.95651156040071,9.82552601106642
"107",2011-06-08,197,0.002,-6.21460809842219,5.28320372873799
"108",2011-06-15,92,0.01,-4.60517018598809,4.52178857704904
"109",2011-07-15,4.7,0.002,-6.21460809842219,1.54756250871601
"110",2011-07-21,1.3,0.002,-6.21460809842219,0.262364264467491
"111",2011-07-29,1.3,0.002,-6.21460809842219,0.262364264467491
"112",2011-08-03,0.36,0.002,-6.21460809842219,-1.02165124753198
"113",2011-08-11,43,0.002,-6.21460809842219,3.76120011569356
"114",2011-08-18,13,0.005,-5.29831736654804,2.56494935746154
"115",2011-09-01,1.9,0.003,-5.80914299031403,0.641853886172395
"116",2011-09-08,0.87,0.002,-6.21460809842219,-0.139262067333508
"117",2011-09-16,0.82,0.005,-5.29831736654804,-0.198450938723838
"118",2011-09-19,64,0.006,-5.11599580975408,4.15888308335967
"119",2011-09-30,3.3,0.003,-5.80914299031403,1.19392246847243
"120",2011-10-06,2.9,0.001,-6.90775527898214,1.06471073699243
"121",2011-10-12,70,0.007,-4.96184512992682,4.24849524204936
"122",2011-10-26,3.9,0.002,-6.21460809842219,1.3609765531356
"123",2011-11-03,17,0.007,-4.96184512992682,2.83321334405622
"124",2011-11-08,5160,0.012,-4.42284862919414,8.54869185847561
"125",2011-11-17,215,0.008,-4.8283137373023,5.37063802812766
"126",2011-12-01,377,0.008,-4.8283137373023,5.93224518744801
"127",2011-12-08,693,0.003,-5.80914299031403,6.5410299991899
"128",2011-12-15,3840,0.032,-3.44201937618241,8.25322764558177
"129",2012-01-05,177,0.012,-4.42284862919414,5.17614973257383
"130",2012-01-11,820,0.006,-5.11599580975408,6.7093043402583
"131",2012-01-19,234,0.001,-6.90775527898214,5.4553211153577
"132",2012-01-25,4390,0.043,-3.14655516328857,8.38708450606922
"133",2012-02-02,582,0.0025,-5.99146454710798,6.36647044773144
"134",2012-02-04,3050,0.058,-2.84731226843572,8.02289686960146
"135",2012-02-16,769,0.004,-5.52146091786225,6.64509096950564
"136",2012-03-01,266,0.005,-5.29831736654804,5.5834963087817
"137",2012-03-12,2380,0.006,-5.11599580975408,7.77485576666552
"138",2012-03-20,8820,0.028,-3.57555076880693,9.08477714900084
"139",2012-03-29,792,0.002,-6.21460809842219,6.67456139181443
"140",2012-04-12,189,0.004,-5.52146091786225,5.24174701505964
"141",2012-04-15,187,0.002,-6.21460809842219,5.23110861685459
"142",2012-04-26,64,0.002,-6.21460809842219,4.15888308335967
"143",2012-05-01,93,0.002,-6.21460809842219,4.53259949315326
"144",2012-05-10,21,0.004,-5.52146091786225,3.04452243772342
"145",2012-05-16,10,0.004,-5.52146091786225,2.30258509299405
"146",2012-05-24,5.7,0.002,-6.21460809842219,1.7404661748405
"147",2012-06-01,4.9,0.008,-4.8283137373023,1.58923520511658
"148",2012-06-05,72,0.005,-5.29831736654804,4.27666611901606
"149",2012-06-14,2.4,0.003,-5.80914299031403,0.8754687373539
"150",2012-06-21,1.2,0.002,-6.21460809842219,0.182321556793955
"151",2012-06-28,0.36,0.006,-5.11599580975408,-1.02165124753198
"152",2012-07-12,1.4,0.002,-6.21460809842219,0.336472236621213
"153",2012-07-19,0.07,0.001,-6.90775527898214,-2.65926003693278
"154",2012-08-02,0.74,0.002,-6.21460809842219,-0.301105092783922
"155",2012-08-15,1.2,0.004,-5.52146091786225,0.182321556793955
"156",2012-08-17,32,0.001,-6.90775527898214,3.46573590279973
"157",2012-08-20,1.2,0.005,-5.29831736654804,0.182321556793955
"158",2012-08-29,2.1,0.007,-4.96184512992682,0.741937344729377
"159",2012-09-05,0.14,0.003,-5.80914299031403,-1.96611285637283
"160",2012-09-11,0.63,0.005,-5.29831736654804,-0.462035459596559
"161",2012-09-25,0.41,0.002,-6.21460809842219,-0.891598119283784
"162",2012-10-01,1.4,0.005,-5.29831736654804,0.336472236621213
"163",2012-10-09,1.6,0.005,-5.29831736654804,0.470003629245736
"164",2012-10-15,15,0.025,-3.68887945411394,2.70805020110221
"165",2012-10-24,21,0.002,-6.21460809842219,3.04452243772342
"166",2012-10-31,9.4,0.01,-4.60517018598809,2.24070968927596
"167",2012-11-07,6.7,0.006,-5.11599580975408,1.90210752639692
"168",2012-11-14,7.6,0.007,-4.96184512992682,2.02814824729229
"169",2012-11-28,7.1,0.001,-6.90775527898214,1.96009478404727
"170",2012-12-05,17,0.005,-5.29831736654804,2.83321334405622
"171",2012-12-12,7.4,0.005,-5.29831736654804,2.00148000021012
"172",2013-01-04,68,0.002,-6.21460809842219,4.21950770517611
"173",2013-01-10,45,0.002,-6.21460809842219,3.80666248977032
"174",2013-01-15,297,0.001,-6.90775527898214,5.6937321388027
"175",2013-01-23,67,0.002,-6.21460809842219,4.20469261939097
"176",2013-01-30,4880,0.012,-4.42284862919414,8.49290049884719
"177",2013-02-06,275,0.0015,-6.50229017087397,5.61677109766657
"178",2013-02-11,952,0.003,-5.80914299031403,6.85856503479136
"179",2013-02-20,350,0.001,-6.90775527898214,5.85793315448346
"180",2013-02-27,883,0.001,-6.90775527898214,6.78332520060396
"181",2013-03-06,296,0.001,-6.90775527898214,5.69035945432406
"182",2013-03-10,2800,0.008,-4.8283137373023,7.9373746961633
"183",2013-03-19,414,0.003,-5.80914299031403,6.02586597382531
"184",2013-03-29,1260,0.006,-5.11599580975408,7.13886699994552
"185",2013-04-03,2220,0.0115,-4.46540824361293,7.70526247486633
"186",2013-04-11,1250,0.008,-4.8283137373023,7.13089883029635
"187",2013-04-18,1730,0.024,-3.72970144863419,7.45587668749182
"188",2013-04-24,610,0.005,-5.29831736654804,6.41345895716736
"189",2013-04-27,2470,0.013,-4.3428059215206,7.81197342962202
"190",2013-05-10,2620,0.011,-4.50986000618377,7.87092959675514
"191",2013-05-21,4740,0.013,-4.3428059215206,8.46379241468912
"192",2013-05-21,4740,0.032,-3.44201937618241,8.46379241468912
"193",2013-05-30,546,0.005,-5.29831736654804,6.30261897574491
"194",2013-06-06,762,0.005,-5.29831736654804,6.63594655568665
"195",2013-06-12,222,0.002,-6.21460809842219,5.40267738187228
"196",2013-06-25,34,0.003,-5.80914299031403,3.52636052461616
"197",2013-07-08,5.2,0.002,-6.21460809842219,1.64865862558738
"198",2013-07-19,4.7,0.006,-5.11599580975408,1.54756250871601
"199",2013-07-31,19,0.005,-5.29831736654804,2.94443897916644
"200",2013-08-07,14,0.006,-5.11599580975408,2.63905732961526
"201",2013-08-08,384,0.005,-5.29831736654804,5.95064255258773
"202",2013-08-13,1690,0.009,-4.71053070164592,7.43248380791712
"203",2013-08-20,141,0.003,-5.80914299031403,4.94875989037817
"204",2013-08-28,8.7,0.002,-6.21460809842219,2.16332302566054
"205",2013-09-04,2.2,0.011,-4.50986000618377,0.78845736036427
"206",2013-09-11,0.01,0.006,-5.11599580975408,-4.60517018598809
"207",2013-09-18,0.04,0.005,-5.29831736654804,-3.2188758248682
"208",2013-09-20,156,0.036,-3.32423634052603,5.04985600724954
"209",2013-10-02,0.61,0.007,-4.96184512992682,-0.49429632181478
"210",2013-10-05,367,0.03,-3.50655789731998,5.90536184805457
"211",2013-10-24,54,0.006,-5.11599580975408,3.98898404656427
"212",2013-10-30,38,0.003,-5.80914299031403,3.63758615972639
"213",2013-11-06,677,0.001,-6.90775527898214,6.51767127291227
"214",2013-11-13,170,0.005,-5.29831736654804,5.13579843705026
"215",2013-11-22,410,0.006,-5.11599580975408,6.01615715969835
"216",2013-12-02,87,0.002,-6.21460809842219,4.46590811865458
"217",2013-12-12,99,0.006,-5.11599580975408,4.59511985013459
"218",2013-12-18,629,0.009,-4.71053070164592,6.44413125670044
"219",2013-12-21,5300,0.05,-2.99573227355399,8.57546209954021
"220",2014-01-09,374,0.014,-4.26869794936688,5.92425579741453
"221",2014-01-10,1050,0.015,-4.19970507787993,6.95654544315157
"222",2014-01-22,290,0.005,-5.29831736654804,5.66988092298052
"223",2014-01-28,162,0.0055,-5.20300718674371,5.08759633523238
"224",2014-02-06,140,0.007,-4.96184512992682,4.9416424226093
"225",2014-02-12,108,0.007,-4.96184512992682,4.68213122712422
"226",2014-02-21,155,0.004,-5.52146091786225,5.04342511691925
"227",2014-02-25,129,0.003,-5.80914299031403,4.85981240436167
"228",2014-03-07,630,0.004,-5.52146091786225,6.44571981938558
"229",2014-03-11,415,0.006,-5.11599580975408,6.0282785202307
"230",2014-03-16,9150,0.038,-3.27016911925575,9.12150915826957
"231",2014-03-27,489,0.007,-4.96184512992682,6.19236248947487
"232",2014-04-03,793,0.006,-5.11599580975408,6.67582322163485
"233",2014-04-04,3180,0.013,-4.3428059215206,8.06463647577422
"234",2014-04-07,3820,0.029,-3.54045944899566,8.24800570160062
"235",2014-04-14,1400,0.007,-4.96184512992682,7.24422751560335
"236",2014-04-22,521,0.005,-5.29831736654804,6.25575004175337
"237",2014-04-28,442,0.003,-5.80914299031403,6.0913098820777
"238",2014-05-09,644,0.004,-5.52146091786225,6.46769872610435
"239",2014-05-13,1740,0.005,-5.29831736654804,7.46164039220858
"240",2014-05-20,539,0.003,-5.80914299031403,6.289715570909
"241",2014-05-28,193,0.003,-5.80914299031403,5.26269018890489
"242",2014-06-02,193,0.002,-6.21460809842219,5.26269018890489
"243",2014-06-10,296,0.005,-5.29831736654804,5.69035945432406
"244",2014-07-01,117,0.007,-4.96184512992682,4.76217393479776
"245",2014-07-09,32,0.005,-5.29831736654804,3.46573590279973
"246",2014-07-23,38,0.005,-5.29831736654804,3.63758615972639
"247",2014-07-29,12,0.006,-5.11599580975408,2.484906649788
"248",2014-08-05,15,0.004,-5.52146091786225,2.70805020110221
"249",2014-08-12,303,0.007,-4.96184512992682,5.71373280550937
"250",2014-08-19,49,0.005,-5.29831736654804,3.89182029811063
"251",2014-08-27,13,0.007,-4.96184512992682,2.56494935746154
"252",2014-09-02,274,0.008,-4.8283137373023,5.61312810638807
"253",2014-09-10,21,0.004,-5.52146091786225,3.04452243772342
"254",2014-09-17,51,0.002,-6.21460809842219,3.93182563272433
"255",2014-09-18,192,0.008,-4.8283137373023,5.25749537202778
"256",2014-09-24,29,0.004,-5.52146091786225,3.36729582998647
"257",2014-10-01,20,0.005,-5.29831736654804,2.99573227355399
"258",2014-10-03,65,0.004,-5.52146091786225,4.17438726989564
"259",2014-10-08,19,0.005,-5.29831736654804,2.94443897916644
"260",2014-10-10,909,0.036,-3.32423634052603,6.81234509417748
"261",2014-10-13,5050,0.044,-3.12356564506388,8.52714352226941
"262",2014-10-22,255,0.003,-5.80914299031403,5.54126354515843
"263",2014-10-29,96,0.003,-5.80914299031403,4.56434819146784
"264",2014-11-04,292,0.009,-4.71053070164592,5.67675380226828
"265",2014-11-12,176,0.005,-5.29831736654804,5.17048399503815
