SITE,Date,EffTP,EffTN,EffQ,EffTSS
NACA,2011-01,0.3,3.4,0.39,10
NACA,2011-02,0.1,21.7,0.53,4.9
NACA,2011-03,0.06,33.3,0.52,2.1
NACA,2011-04,0.06,40.4,0.74,2.7
NACA,2011-05,0.06,44.8,0.8,2.8
NACA,2011-06,0.07,48,0.71,3.9
NACA,2011-07,0.08,9.1,2.21,3.5
NACA,2011-08,0.11,1.7,2.37,3.7
NACA,2011-09,0.05,3.3,2.27,3
NACA,2011-10,0.09,2.4,2.24,2.3
NACA,2011-11,0.11,2.9,2.61,3.5
NACA,2011-12,0.1,5.6,2.46,2.3
NACA,2012-01,0.07,8.5,2.2,4.1
NACA,2012-02,0.1,12.7,2.44,5.9
NACA,2012-03,0.08,6.4,2.68,4.1
NACA,2012-04,0.07,5,2.27,3.7
NACA,2012-05,0.06,7,2.26,3.1
NACA,2012-06,0.04,5.7,2.21,3
NACA,2012-07,0.04,5.1,2.06,2.5
NACA,2012-08,0.02,5.6,2.23,2.2
NACA,2012-09,0.02,3.9,2.43,2
NACA,2012-10,0.03,7.4,2.27,2.6
NACA,2012-11,0.03,8.4,2.1,2.8
NACA,2012-12,0.05,8.4,2.1,2.5
NACA,2013-01,0.08,12,2.27,3.5
NACA,2013-02,0.08,10,2.49,7
NACA,2013-03,0.1,5.8,2.63,5
NACA,2013-04,0.1,5.2,2.94,2.5
NACA,2013-05,0.08,3.7,2.94,3.8
NACA,2013-06,0.07,2.6,2.43,3.9
NACA,2013-07,0.08,3.5,2.23,2.5
NACA,2013-08,0.05,3.9,2.79,2.2
NACA,2013-09,0.05,6.6,2.43,2.1
NACA,2013-10,0.05,5,2.44,2
NACA,2013-11,0.06,4.3,2.46,2.5
NACA,2013-12,0.07,6.5,2.48,2.5
NACA,2014-01,0.09,9.3,2.32,3.6
NACA,2014-02,0.08,10.9,2.48,2.7
NACA,2014-03,0.07,4,2.79,3.6
NACA,2014-04,0.08,3.8,2.48,2.5
NACA,2014-05,0.07,15,2.69,2
NACA,2014-06,0.08,12,2.79,2.3
NACA,2014-07,0.08,5.1,2.34,2.1
NACA,2014-08,0.05,7.8,2.41,2
NACA,2014-09,0.06,5.8,2.49,2.8
NACA,2014-10,0.08,6.7,2.94,2.7
NACA,2014-11,0.05,6.3,2.48,2
NACA,2014-12,0.07,7,2.79,2.3
NACA,2015-01,0.09,6.4,2.57,3.1
NACA,2015-02,0.08,9.4,2.55,3.3
NACA,2015-03,0.07,9.6,3.4,2.8
NACA,2015-04,0.09,14.5,2.97,2
NACA,2015-05,0.07,8.2,3.84,2.1
NACA,2015-06,0.07,4.1,3.57,2.1
