SITE,DATE,EffTP,EffQ
ROGERS,2005-02-01,0.27,10.1
ROGERS,2005-02-02,0.32,11.1
ROGERS,2005-02-03,0.30,10.6
ROGERS,2005-02-04,NA,10.5
ROGERS,2005-02-05,NA,8.7
ROGERS,2005-02-06,0.44,8.9
ROGERS,2005-02-07,0.46,10.9
ROGERS,2005-02-08,0.35,11.3
ROGERS,2005-02-09,0.28,10.1
ROGERS,2005-02-10,0.31,10.4
ROGERS,2005-02-11,NA,9.0
ROGERS,2005-02-12,NA,9.5
ROGERS,2005-02-13,0.38,10.0
ROGERS,2005-02-14,0.45,10.3
ROGERS,2005-02-15,0.39,12.5
ROGERS,2005-02-16,0.34,12.7
ROGERS,2005-02-17,0.31,9.6
ROGERS,2005-02-18,NA,9.3
ROGERS,2005-02-19,NA,8.9
ROGERS,2005-02-20,NA,8.0
ROGERS,2005-02-21,0.53,9.5
ROGERS,2005-02-22,0.47,10.2
ROGERS,2005-02-23,0.36,12.6
ROGERS,2005-02-24,0.35,11.7
ROGERS,2005-02-25,NA,10.2
ROGERS,2005-02-26,NA,9.3
ROGERS,2005-02-27,0.42,9.2
ROGERS,2005-02-28,0.50,10.0
ROGERS,2005-03-01,0.48,9.8
ROGERS,2005-03-02,0.44,9.9
ROGERS,2005-03-03,0.52,9.5
ROGERS,2005-03-04,NA,9.5
ROGERS,2005-03-05,NA,8.2
ROGERS,2005-03-06,0.48,7.9
ROGERS,2005-03-07,0.57,9.6
ROGERS,2005-03-08,0.32,9.4
ROGERS,2005-03-09,0.36,9.9
ROGERS,2005-03-10,0.36,9.0
ROGERS,2005-03-11,NA,8.9
ROGERS,2005-03-12,NA,8.7
ROGERS,2005-03-13,0.70,7.8
ROGERS,2005-03-14,0.42,8.4
ROGERS,2005-03-15,0.38,10.0
ROGERS,2005-03-16,0.45,8.8
ROGERS,2005-03-17,0.44,8.9
ROGERS,2005-03-18,NA,9.3
ROGERS,2005-03-19,NA,8.3
ROGERS,2005-03-20,0.48,7.4
ROGERS,2005-03-21,0.66,10.4
ROGERS,2005-03-22,0.57,10.8
ROGERS,2005-03-23,0.57,10.1
ROGERS,2005-03-24,0.58,10.5
ROGERS,2005-03-25,NA,9.7
ROGERS,2005-03-26,NA,9.0
ROGERS,2005-03-27,0.26,9.3
ROGERS,2005-03-28,0.23,10.3
ROGERS,2005-03-29,0.30,10.7
ROGERS,2005-03-30,0.37,10.0
ROGERS,2005-03-31,0.33,10.2
ROGERS,2005-04-01,NA,13.6
ROGERS,2005-04-02,NA,9.8
ROGERS,2005-04-03,0.37,9.3
ROGERS,2005-04-04,0.30,11.1
ROGERS,2005-04-05,0.49,11.3
ROGERS,2005-04-06,0.51,12.7
ROGERS,2005-04-07,0.35,13.8
ROGERS,2005-04-08,NA,11.5
ROGERS,2005-04-09,NA,10.1
ROGERS,2005-04-10,0.64,11.3
ROGERS,2005-04-11,0.99,17.6
ROGERS,2005-04-12,0.23,18.5
ROGERS,2005-04-13,0.28,19.0
ROGERS,2005-04-14,0.36,13.3
ROGERS,2005-04-15,NA,11.0
ROGERS,2005-04-16,NA,9.6
ROGERS,2005-04-17,0.65,8.5
ROGERS,2005-04-18,0.50,9.6
ROGERS,2005-04-19,0.41,10.3
ROGERS,2005-04-20,0.46,9.8
ROGERS,2005-04-21,0.56,10.2
ROGERS,2005-04-22,NA,10.2
ROGERS,2005-04-23,NA,8.6
ROGERS,2005-04-24,0.50,7.9
ROGERS,2005-04-25,0.43,9.7
ROGERS,2005-04-26,0.22,10.5
ROGERS,2005-04-27,0.23,9.8
ROGERS,2005-04-28,0.25,10.0
ROGERS,2005-04-29,NA,10.0
ROGERS,2005-04-30,NA,8.4
ROGERS,2005-05-01,0.57,7.9
ROGERS,2005-05-02,0.25,9.7
ROGERS,2005-05-03,0.29,9.8
ROGERS,2005-05-04,0.32,9.2
ROGERS,2005-05-05,0.26,9.4
ROGERS,2005-05-06,NA,9.9
ROGERS,2005-05-07,NA,8.3
ROGERS,2005-05-08,0.97,8.8
ROGERS,2005-05-09,1.10,9.0
ROGERS,2005-05-10,0.82,9.5
ROGERS,2005-05-11,0.59,9.1
ROGERS,2005-05-12,0.48,8.8
ROGERS,2005-05-13,NA,10.5
ROGERS,2005-05-14,NA,9.2
ROGERS,2005-05-15,0.46,6.2
ROGERS,2005-05-16,0.34,9.3
ROGERS,2005-05-17,0.78,11.0
ROGERS,2005-05-18,0.40,9.8
ROGERS,2005-05-19,0.84,9.5
ROGERS,2005-05-20,NA,8.2
ROGERS,2005-05-21,NA,7.4
ROGERS,2005-05-22,1.98,9.4
ROGERS,2005-05-23,2.10,14.8
ROGERS,2005-05-24,0.48,9.1
ROGERS,2005-05-25,0.78,8.9
ROGERS,2005-05-26,1.33,8.2
ROGERS,2005-05-27,NA,9.1
ROGERS,2005-05-28,NA,8.6
ROGERS,2005-05-29,NA,7.9
ROGERS,2005-05-30,2.19,7.7
ROGERS,2005-05-31,2.98,9.8
ROGERS,2005-06-01,2.47,8.5
ROGERS,2005-06-02,1.30,8.4
ROGERS,2005-06-03,NA,9.8
ROGERS,2005-06-04,NA,9.0
ROGERS,2005-06-05,0.40,10.9
ROGERS,2005-06-06,1.83,10.1
ROGERS,2005-06-07,0.38,11.5
ROGERS,2005-06-08,0.44,9.4
ROGERS,2005-06-09,0.55,9.5
ROGERS,2005-06-10,NA,9.6
ROGERS,2005-06-11,NA,7.9
ROGERS,2005-06-12,0.82,8.5
ROGERS,2005-06-13,0.83,11.6
ROGERS,2005-06-14,0.29,9.3
ROGERS,2005-06-15,0.24,9.0
ROGERS,2005-06-16,0.25,10.6
ROGERS,2005-06-17,NA,11.1
ROGERS,2005-06-18,NA,9.3
ROGERS,2005-06-19,0.31,7.6
ROGERS,2005-06-20,0.25,8.5
ROGERS,2005-06-21,0.36,9.1
ROGERS,2005-06-22,0.55,9.1
ROGERS,2005-06-23,0.74,7.8
ROGERS,2005-06-24,NA,8.4
ROGERS,2005-06-25,NA,8.7
ROGERS,2005-06-26,1.69,9.2
ROGERS,2005-06-27,1.24,10.4
ROGERS,2005-06-28,3.08,9.4
ROGERS,2005-06-29,3.14,9.0
ROGERS,2005-06-30,1.27,7.9
ROGERS,2005-07-01,NA,9.7
ROGERS,2005-07-02,NA,9.0
ROGERS,2005-07-03,NA,8.3
ROGERS,2005-07-04,0.53,7.6
ROGERS,2005-07-05,0.26,8.4
ROGERS,2005-07-06,0.29,8.4
ROGERS,2005-07-07,0.28,8.0
ROGERS,2005-07-08,NA,8.4
ROGERS,2005-07-09,NA,7.9
ROGERS,2005-07-10,2.22,8.2
ROGERS,2005-07-11,0.53,10.9
ROGERS,2005-07-12,0.78,8.7
ROGERS,2005-07-13,1.84,6.2
ROGERS,2005-07-14,0.79,8.4
ROGERS,2005-07-15,NA,8.7
ROGERS,2005-07-16,NA,8.7
ROGERS,2005-07-17,1.18,9.5
ROGERS,2005-07-18,0.76,8.7
ROGERS,2005-07-19,0.34,8.9
ROGERS,2005-07-20,0.46,8.8
ROGERS,2005-07-21,0.47,8.0
ROGERS,2005-07-22,NA,8.5
ROGERS,2005-07-23,NA,9.9
ROGERS,2005-07-24,0.52,10.1
ROGERS,2005-07-25,0.48,8.9
ROGERS,2005-07-26,1.32,9.5
ROGERS,2005-07-27,0.70,8.6
ROGERS,2005-07-28,0.42,10.9
ROGERS,2005-07-29,NA,10.2
ROGERS,2005-07-30,NA,9.1
ROGERS,2005-07-31,0.56,7.2
ROGERS,2005-08-01,0.54,8.4
ROGERS,2005-08-02,0.88,9.3
ROGERS,2005-08-03,1.75,8.9
ROGERS,2005-08-04,1.58,8.7
ROGERS,2005-08-05,NA,8.1
ROGERS,2005-08-06,NA,8.5
ROGERS,2005-08-07,1.46,7.8
ROGERS,2005-08-08,1.83,9.9
ROGERS,2005-08-09,2.97,8.5
ROGERS,2005-08-10,3.39,9.8
ROGERS,2005-08-11,2.78,9.7
ROGERS,2005-08-12,NA,9.0
ROGERS,2005-08-13,NA,9.0
ROGERS,2005-08-14,3.07,10.5
ROGERS,2005-08-15,1.97,10.2
ROGERS,2005-08-16,2.74,11.5
ROGERS,2005-08-17,4.53,10.9
ROGERS,2005-08-18,4.27,11.0
ROGERS,2005-08-19,NA,9.2
ROGERS,2005-08-20,NA,9.0
ROGERS,2005-08-21,2.68,8.9
ROGERS,2005-08-22,0.97,9.7
ROGERS,2005-08-23,1.88,9.8
ROGERS,2005-08-24,3.27,10.4
ROGERS,2005-08-25,3.94,10.5
ROGERS,2005-08-26,NA,8.3
ROGERS,2005-08-27,NA,7.9
ROGERS,2005-08-28,2.11,7.9
ROGERS,2005-08-29,0.44,8.9
ROGERS,2005-08-30,0.27,8.5
ROGERS,2005-08-31,0.73,7.9
ROGERS,2005-09-01,0.39,8.7
ROGERS,2005-09-02,NA,8.1
ROGERS,2005-09-03,NA,9.5
ROGERS,2005-09-04,NA,8.7
ROGERS,2005-09-05,0.24,8.9
ROGERS,2005-09-06,0.23,9.5
ROGERS,2005-09-07,0.23,8.9
ROGERS,2005-09-08,0.36,8.8
ROGERS,2005-09-09,NA,9.0
ROGERS,2005-09-10,NA,7.9
ROGERS,2005-09-11,1.65,8.8
ROGERS,2005-09-12,0.35,10.0
ROGERS,2005-09-13,0.33,9.7
ROGERS,2005-09-14,0.40,12.6
ROGERS,2005-09-15,0.45,11.8
ROGERS,2005-09-16,NA,9.3
ROGERS,2005-09-17,NA,9.3
ROGERS,2005-09-18,0.78,9.3
ROGERS,2005-09-19,0.35,9.7
ROGERS,2005-09-20,0.85,9.8
ROGERS,2005-09-21,1.24,8.3
