SITE,Month,EffTP,EffQ
Springdale,01-2000,4.6,15.78166667
Springdale,02-2000,5.7,17.01944444
Springdale,03-2000,5.1,17.94777778
Springdale,04-2000,5.2,16.09111111
Springdale,05-2000,6.4,19.64972222
Springdale,06-2000,5.0,26.14805556
Springdale,07-2000,5.8,20.42333333
Springdale,08-2000,4.8,18.72138889
Springdale,09-2000,6.6,16.86472222
Springdale,10-2000,8.5,16.71
Springdale,11-2000,6.1,17.79305556
Springdale,12-2000,3.5,15.93638889
Springdale,01-2001,2.9,17.17416667
Springdale,02-2001,3.7,21.66111111
Springdale,03-2001,5.2,15.47222222
Springdale,04-2001,7.5,15.47222222
Springdale,05-2001,8.9,20.26861111
Springdale,06-2001,10.1,20.42333333
Springdale,07-2001,6.4,19.64972222
Springdale,08-2001,5.6,19.495
Springdale,09-2001,7.2,18.87611111
Springdale,10-2001,10.2,19.18555556
Springdale,11-2001,11.3,17.63833333
Springdale,12-2001,7.7,20.11388889
Springdale,01-2002,6.3,17.17416667
Springdale,02-2002,5.6,18.25722222
Springdale,03-2002,4.9,20.57805556
Springdale,04-2002,7.6,22.43472222
Springdale,05-2002,8.8,21.50638889
Springdale,06-2002,12.0,20.11388889
Springdale,07-2002,9.4,18.25722222
Springdale,08-2002,7.7,18.41194444
Springdale,09-2002,9.0,17.01944444
Springdale,10-2002,8.4,16.86472222
Springdale,11-2002,2.3,15.62694444
Springdale,12-2002,4.9,17.01944444
Springdale,01-2003,1.6,15.47222222
Springdale,02-2003,3.5,17.17416667
Springdale,03-2003,1.8,18.87611111
Springdale,04-2003,2.2,17.94777778
Springdale,05-2003,1.1,19.95916667
Springdale,06-2003,0.9,19.495
Springdale,07-2003,1.1,17.32888889
Springdale,08-2003,1.8,16.24583333
Springdale,09-2003,2.1,16.55527778
Springdale,10-2003,0.6,16.86472222
Springdale,11-2003,0.6,16.09111111
Springdale,12-2003,0.7,14.85333333
Springdale,01-2004,0.8,16.40055556
Springdale,02-2004,0.7,16.86472222
Springdale,03-2004,0.7,17.79305556
Springdale,04-2004,0.5,20.73277778
Springdale,05-2004,0.5,19.34027778
Springdale,06-2004,0.7,17.94777778
Springdale,07-2004,1.0,19.495
Springdale,08-2004,1.2,17.48361111
Springdale,09-2004,0.7,16.09111111
Springdale,10-2004,0.4,16.55527778
Springdale,11-2004,0.48,19.80444444
Springdale,12-2004,0.46,18.72138889
Springdale,01-2005,0.66,22.58944444
Springdale,02-2005,0.61,19.03083333
Springdale,03-2005,0.52,18.87611111
Springdale,04-2005,0.47,20.73277778
Springdale,05-2005,0.57,19.495
Springdale,06-2005,0.91,19.495
Springdale,07-2005,0.94,18.1025
Springdale,08-2005,0.62,19.18555556
Springdale,09-2005,1.11,18.56666667
Springdale,10-2005,0.91,16.40055556
Springdale,11-2005,3.16,15.78166667
Springdale,12-2005,1.34,16.24583333
Springdale,01-2006,0.32,16.86472222
Springdale,02-2006,0.48,17.32888889
Springdale,03-2006,0.46,18.25722222
Springdale,04-2006,0.60,18.87611111
Springdale,05-2006,0.78,19.495
Springdale,06-2006,0.39,18.25722222
Springdale,07-2006,0.43,17.63833333
Springdale,08-2006,1.00,18.56666667
Springdale,09-2006,0.79,19.95916667
Springdale,10-2006,0.70,18.1025
Springdale,11-2006,0.30,19.03083333
Springdale,12-2006,0.20,19.495
Springdale,01-2007,0.20,22.43472222
Springdale,02-2007,0.20,20.73277778
Springdale,03-2007,0.20,18.56666667
Springdale,04-2007,0.20,19.18555556
Springdale,05-2007,0.30,18.56666667
Springdale,06-2007,0.60,18.41194444
Springdale,07-2007,0.40,19.18555556
Springdale,08-2007,0.20,17.63833333
Springdale,09-2007,0.20,18.25722222
Springdale,10-2007,0.30,19.64972222
Springdale,11-2007,0.20,17.01944444
Springdale,12-2007,0.20,18.41194444
Springdale,01-2008,0.30,17.79305556
Springdale,02-2008,0.40,22.89888889
Springdale,03-2008,0.90,29.55194444
Springdale,04-2008,0.30,29.55194444
Springdale,05-2008,0.40,22.12527778
Springdale,06-2008,0.40,22.43472222
Springdale,07-2008,0.40,25.99333333
Springdale,08-2008,0.30,23.6725
Springdale,09-2008,0.60,25.83861111
Springdale,10-2008,0.40,19.34027778
Springdale,11-2008,0.30,18.1025
Springdale,12-2008,0.20,18.1025
Springdale,01-2009,0.40,17.17416667
Springdale,02-2009,0.30,21.97055556
Springdale,03-2009,0.40,20.11388889
Springdale,04-2009,0.60,22.58944444
Springdale,05-2009,0.50,26.4575
Springdale,06-2009,0.50,20.8875
Springdale,07-2009,0.40,17.63833333
Springdale,08-2009,0.50,17.01944444
Springdale,09-2009,0.60,18.41194444
Springdale,10-2009,0.40,22.89888889
Springdale,11-2009,0.20,18.87611111
Springdale,12-2009,0.20,17.48361111
Springdale,01-2010,0.20,19.03083333
Springdale,02-2010,0.20,22.89888889
Springdale,03-2010,0.20,21.04222222
Springdale,04-2010,0.30,19.495
Springdale,05-2010,0.20,21.66111111
Springdale,06-2010,0.30,19.34027778
Springdale,07-2010,0.30,22.58944444
Springdale,08-2010,0.30,18.56666667
Springdale,09-2010,0.40,22.28
Springdale,10-2010,0.30,17.48361111
Springdale,11-2010,0.20,17.63833333
Springdale,12-2010,0.20,17.63833333
Springdale,01-2011,0.20,17.17416667
Springdale,02-2011,0.10,21.04222222
Springdale,03-2011,0.20,20.11388889
Springdale,04-2011,0.20,27.69527778
Springdale,05-2011,0.40,26.61222222
Springdale,06-2011,0.60,19.18555556
Springdale,07-2011,0.60,18.1025
Springdale,08-2011,0.50,19.18555556
Springdale,09-2011,0.40,18.72138889
Springdale,10-2011,0.35,17.63833333
Springdale,11-2011,0.46,21.04222222
Springdale,12-2011,0.31,20.73277778
Springdale,01-2012,0.20,18.1025
Springdale,02-2012,0.30,20.26861111
Springdale,03-2012,0.39,21.66111111
Springdale,04-2012,0.49,18.41194444
Springdale,05-2012,0.26,12.68722222
Springdale,06-2012,0.28,16.71
Springdale,07-2012,0.74,15.16277778
Springdale,08-2012,0.50,18.41194444
Springdale,09-2012,0.52,17.63833333
Springdale,10-2012,0.41,17.63833333
Springdale,11-2012,0.38,16.24583333
Springdale,12-2012,0.36,16.24583333
Springdale,01-2013,0.30,17.17416667
Springdale,02-2013,0.22,14.85333333
Springdale,03-2013,0.19,21.04222222
Springdale,04-2013,0.18,24.29138889
Springdale,05-2013,0.14,25.52916667
Springdale,06-2013,0.22,20.8875
Springdale,07-2013,0.21,19.495
Springdale,08-2013,0.16,25.065
Springdale,09-2013,0.26,19.34027778
Springdale,10-2013,0.32,20.26861111
Springdale,11-2013,0.29,19.64972222
Springdale,12-2013,0.22,22.43472222
Springdale,01-2014,0.14,20.8875
Springdale,02-2014,0.16,19.18555556
Springdale,03-2014,0.17,21.19694444
Springdale,04-2014,0.19,21.50638889
Springdale,05-2014,0.17,21.35166667
Springdale,06-2014,0.22,21.19694444
Springdale,07-2014,0.15,19.495
Springdale,08-2014,0.46,19.95916667
Springdale,09-2014,0.36,20.73277778
Springdale,10-2014,0.48,20.8875
Springdale,11-2014,0.23,18.56666667
Springdale,12-2014,0.35,19.95916667
Springdale,01-2015,0.21,18.87611111
Springdale,02-2015,0.14,18.1025
Springdale,03-2015,0.20,22.74416667
Springdale,04-2015,0.19,20.11388889
Springdale,05-2015,0.28,27.07638889
Springdale,06-2015,0.16,24.44611111
Springdale,07-2015,0.18,24.60083333
Springdale,08-2015,0.22,20.42333333
Springdale,09-2015,0.34,19.34027778
Springdale,10-2015,0.33,18.87611111
Springdale,11-2015,0.26,18.56666667
Springdale,12-2015,0.35,27.38583333
Springdale,01-2016,0.16,21.04222222
Springdale,02-2016,0.20,18.72138889
