SITE,Date,TP,TN,TSS
NACA,2011-01-31,0.3,3.4,10
NACA,2011-02-28,0.1,21.7,4.9
NACA,2011-03-31,0.06,33.3,2.1
NACA,2011-04-30,0.06,40.4,2.7
NACA,2011-05-31,0.06,44.8,2.8
NACA,2011-06-30,0.07,48,3.9
NACA,2011-07-31,0.08,9.1,3.5
NACA,2011-08-31,0.11,1.7,3.7
NACA,2011-09-30,0.05,3.3,3
NACA,2011-10-31,0.09,2.4,2.3
NACA,2011-11-30,0.11,2.9,3.5
NACA,2011-12-31,0.1,5.6,2.3
NACA,2012-01-31,0.07,8.5,4.1
NACA,2012-02-29,0.1,12.7,5.9
NACA,2012-03-31,0.08,6.4,4.1
NACA,2012-04-30,0.07,5,3.7
NACA,2012-05-31,0.06,7,3.1
NACA,2012-06-30,0.04,5.7,3
NACA,2012-07-31,0.04,5.1,2.5
NACA,2012-08-31,0.02,5.6,2.2
NACA,2012-09-30,0.02,3.9,2
NACA,2012-10-31,0.03,7.4,2.6
NACA,2012-11-30,0.03,8.4,2.8
NACA,2012-12-31,0.05,8.4,2.5
NACA,2013-01-31,0.08,12,3.5
NACA,2013-02-28,0.08,10,7
NACA,2013-03-31,0.1,5.8,5
NACA,2013-04-30,0.1,5.2,2.5
NACA,2013-05-31,0.08,3.7,3.8
NACA,2013-06-30,0.07,2.6,3.9
NACA,2013-07-31,0.08,3.5,2.5
NACA,2013-08-31,0.05,3.9,2.2
NACA,2013-09-30,0.05,6.6,2.1
NACA,2013-10-31,0.05,5,2
NACA,2013-11-30,0.06,4.3,2.5
NACA,2013-12-31,0.07,6.5,2.5
NACA,2014-01-31,0.09,9.3,3.6
NACA,2014-02-28,0.08,10.9,2.7
NACA,2014-03-31,0.07,4,3.6
NACA,2014-04-30,0.08,3.8,2.5
NACA,2014-05-31,0.07,15,2
NACA,2014-06-30,0.08,12,2.3
NACA,2014-07-31,0.08,5.1,2.1
NACA,2014-08-31,0.05,7.8,2
NACA,2014-09-30,0.06,5.8,2.8
NACA,2014-10-31,0.08,6.7,2.7
NACA,2014-11-30,0.05,6.3,2
NACA,2014-12-31,0.07,7,2.3
NACA,2015-01-31,0.09,6.4,3.1
NACA,2015-02-28,0.08,9.4,3.3
NACA,2015-03-31,0.07,9.6,2.8
NACA,2015-04-30,0.09,14.5,2
NACA,2015-05-31,0.07,8.2,2.1
NACA,2015-06-30,0.07,4.1,2.1
