SITE,DATE,EffTP,MDL
NOLAND,2009-06-01,0.12,FALSE
NOLAND,2009-06-02,0.15,FALSE
NOLAND,2009-06-03,0.37,FALSE
NOLAND,2009-06-04,1.03,FALSE
NOLAND,2009-06-05,0.41,FALSE
NOLAND,2009-06-08,0.68,FALSE
NOLAND,2009-06-09,0.79,FALSE
NOLAND,2009-06-10,0.8,FALSE
NOLAND,2009-06-11,0.66,FALSE
NOLAND,2009-06-12,0.87,FALSE
NOLAND,2009-06-15,0.31,FALSE
NOLAND,2009-06-16,0.26,FALSE
NOLAND,2009-06-17,0.5,FALSE
NOLAND,2009-06-18,0.65,FALSE
NOLAND,2009-06-19,0.99,FALSE
NOLAND,2009-06-22,0.82,FALSE
NOLAND,2009-06-23,0.49,FALSE
NOLAND,2009-06-24,0.65,FALSE
NOLAND,2009-06-25,0.76,FALSE
NOLAND,2009-06-26,0.77,FALSE
NOLAND,2009-07-06,3.55,FALSE
NOLAND,2009-07-07,1.58,FALSE
NOLAND,2009-07-08,0.46,FALSE
NOLAND,2009-07-09,0.23,FALSE
NOLAND,2009-07-10,0.3,FALSE
NOLAND,2009-07-13,0.19,FALSE
NOLAND,2009-07-14,0.28,FALSE
NOLAND,2009-07-15,0.2,FALSE
NOLAND,2009-07-16,0.19,FALSE
NOLAND,2009-07-17,0.23,FALSE
NOLAND,2009-07-20,0.15,FALSE
NOLAND,2009-07-21,0.13,FALSE
NOLAND,2009-07-22,0.17,FALSE
NOLAND,2009-07-23,0.24,FALSE
NOLAND,2009-07-24,0.26,FALSE
NOLAND,2009-08-03,0.92,FALSE
NOLAND,2009-08-04,1.01,FALSE
NOLAND,2009-08-05,0.28,FALSE
NOLAND,2009-08-06,0.28,FALSE
NOLAND,2009-08-07,0.27,FALSE
NOLAND,2009-08-10,0.5,FALSE
NOLAND,2009-08-11,0.76,FALSE
NOLAND,2009-08-12,0.36,FALSE
NOLAND,2009-08-13,0.45,FALSE
NOLAND,2009-08-14,0.44,FALSE
NOLAND,2009-08-17,0.41,FALSE
NOLAND,2009-08-18,0.56,FALSE
NOLAND,2009-08-19,0.62,FALSE
NOLAND,2009-08-20,0.23,FALSE
NOLAND,2009-08-21,0.27,FALSE
NOLAND,2009-08-24,0.21,FALSE
NOLAND,2009-08-25,0.31,FALSE
NOLAND,2009-08-26,0.27,FALSE
NOLAND,2009-08-27,0.37,FALSE
NOLAND,2009-08-28,0.43,FALSE
NOLAND,2009-08-31,0.3,FALSE
NOLAND,2009-09-01,0.23,FALSE
NOLAND,2009-09-02,0.09,FALSE
NOLAND,2009-09-03,0.11,FALSE
NOLAND,2009-09-04,0.09,FALSE
NOLAND,2009-09-07,0.13,FALSE
NOLAND,2009-09-08,0.17,FALSE
NOLAND,2009-09-09,0.5,FALSE
NOLAND,2009-09-10,0.42,FALSE
NOLAND,2009-09-11,0.35,FALSE
NOLAND,2009-09-14,0.06,FALSE
NOLAND,2009-09-15,0.06,FALSE
NOLAND,2009-09-16,0.1,FALSE
NOLAND,2009-09-17,0.09,FALSE
NOLAND,2009-09-18,0.18,FALSE
NOLAND,2009-09-21,0.12,FALSE
NOLAND,2009-09-22,0.17,FALSE
NOLAND,2009-09-23,0.12,FALSE
NOLAND,2009-09-24,0.12,FALSE
NOLAND,2009-09-25,0.06,FALSE
NOLAND,2009-09-28,0.13,FALSE
NOLAND,2009-09-29,0.12,FALSE
NOLAND,2009-09-30,0.26,FALSE
NOLAND,2009-10-01,0.57,FALSE
NOLAND,2009-10-02,0.27,FALSE
NOLAND,2009-10-05,0.1,FALSE
NOLAND,2009-10-06,0.08,FALSE
NOLAND,2009-10-07,0.13,FALSE
NOLAND,2009-10-08,0.07,FALSE
NOLAND,2009-10-09,0.09,FALSE
NOLAND,2009-10-12,0.04,FALSE
NOLAND,2009-10-13,0.07,FALSE
NOLAND,2009-10-14,0.14,FALSE
NOLAND,2009-10-15,0.08,FALSE
NOLAND,2009-10-16,0.17,FALSE
NOLAND,2009-10-19,0.16,FALSE
NOLAND,2009-10-20,0.18,FALSE
NOLAND,2009-10-21,0.2,FALSE
NOLAND,2009-10-22,0.25,FALSE
NOLAND,2009-10-23,0.2,FALSE
NOLAND,2009-10-26,0.09,FALSE
NOLAND,2009-10-27,0.1,FALSE
NOLAND,2009-10-28,0.03,FALSE
